Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,
0,8.26777e-05,8.45376e-06,
1,8.88386e-05,5.36239e-06,
2,8.95897e-05,4.91639e-06,
3,9.13171e-05,7.17212e-06,
4,9.329e-05,5.267e-06,
5,9.61035e-05,5.09721e-06,
6,0.0001001,2.00055e-06,
7,9.76171e-05,4.52451e-06,
8,9.97462e-05,2.70149e-06,
9,9.97349e-05,2.85559e-06,
10,9.90946e-05,4.19919e-06,
11,0.000100065,3.6232e-06,
12,9.74237e-05,8.82298e-06,
13,0.000101849,4.40976e-06,
14,0.000101982,4.52515e-06,
15,0.000100606,5.98042e-06,
16,0.000103004,4.20943e-06,
17,0.000104034,3.61021e-06,
18,0.000104562,3.3142e-06,
19,0.000103916,4.16695e-06,
20,0.000102756,5.36807e-06,
21,0.000104094,4.22429e-06,
22,0.000103537,4.79002e-06,
23,0.000103126,5.61433e-06,
24,0.00010376,5.24497e-06,
25,0.000103716,5.37356e-06,
26,0.000102292,7.45111e-06,
27,0.000102734,7.10735e-06,
28,0.000106718,4.53181e-06,
29,0.000108499,2.92769e-06,
30,1.06536,0.990985,
31,9.57912e-05,6.52949e-06,
32,4.08895,3.60762,
33,0.000100454,6.88868e-06,
34,0.937662,3.77132,
35,2.04617,7.93028,
36,2.03373,7.99936,
37,6.09634,6.84643,
38,1.03397,8.17858,
39,1.51953,6.16616,
40,0.000100673,3.35488e-06,
41,1.46024,10.4687,
42,2.02234,16.6046,
43,0.704817,4.9049,
44,2.49153,2.52077,
45,1.63315,3.23389,
46,9.46398e-05,7.11879e-06,
47,0.000114568,3.67374e-06,
48,0.000105907,4.68914e-06,
49,8.03084e-05,2.89469e-06,
