Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,
0,0.330631,5.23979,2.74996,0.0631001,1.26811,3.97168,1.49964,3.49209,0.035654,0.108402,
1,0.330631,4.44128,3.31587,0.0744451,1.43238,3.0089,1.1131,3.041,0.0823954,0.108402,
2,0.330631,3.24881,2.49257,0.10177,1.21805,2.03076,0.802822,2.50206,0.0824051,0.108402,
3,0.330631,2.20893,1.69393,0.149679,0.925085,1.28385,0.605599,1.75943,0.0824051,0.0700715,
4,0.330631,1.87506,2.09295,0.176331,0.738613,1.13645,0.771264,1.54461,0.0824051,0.0700715,
5,0.249226,1.46775,1.67621,0.169801,0.541378,0.926376,0.511224,1.43909,0.0824051,0.0278976,
6,0.249226,1.08837,0.702689,0.22899,0.374322,0.714052,0.356114,0.713652,0.0394239,0.0278976,
7,0.249226,1.70289,3.39715,0.146355,0.527124,1.17577,1.12183,2.35036,0.0824051,0.0278976,
8,0.249226,1.12518,1.33738,0.221498,0.418214,0.70697,0.473777,1.13225,0.0824051,0.0278976,
9,0.206202,1.12104,2.11207,0.183938,0.424848,0.696197,0.751873,1.46515,0.0673502,0.0278976,
10,0.171966,1.10427,1.7319,0.155728,0.434272,0.67,0.785197,1.37643,0.0824051,0.0266766,
11,0.171966,1.00703,1.77692,0.170765,0.285391,0.721642,0.41181,1.43889,0.0603965,0.0177282,
12,0.171966,1.52722,3.33651,0.112601,0.318959,1.20826,0.382207,3.01686,0.0559232,0.0177282,
13,0.169632,1.6535,3.63967,0.102589,0.374611,1.27889,0.577357,3.11432,0.0590286,0.0177282,
14,0.169632,1.20935,3.13461,0.140267,0.318335,0.891016,0.522337,2.64661,0.0590286,0.0158164,
15,0.169632,1.66854,4.04436,0.101665,0.485245,1.1833,1.01576,3.04439,0.0590286,0.0158164,
16,0.169632,1.13996,2.39651,0.148805,0.360013,0.779944,0.77385,2.0235,0.0590286,0.0158164,
17,0.152857,1.4002,3.02025,0.109168,0.431185,0.969016,0.877862,2.33273,0.0478996,0.0158164,
18,0.135316,0.746661,1.8637,0.181228,0.322183,0.424478,0.596921,1.33363,0.0590286,0.00828124,
19,0.135316,1.7883,4.37548,0.0756674,0.476352,1.31195,1.04939,3.32018,0.0538803,0.00808547,
20,0.0969058,1.43915,3.05193,0.0673355,0.642763,0.796384,1.36088,2.03051,0.0501901,0.00708542,
21,0.0969058,0.960996,2.74763,0.100839,0.2595,0.701496,0.54082,2.40499,0.0501901,0.00708542,
22,0.0969058,2.38442,5.32135,0.0406412,0.66091,1.72351,1.49693,4.2356,0.0261165,0.00708542,
23,0.0330934,1.28144,3.78335,0.0258253,0.364546,0.91689,0.932185,3.11288,0.0261165,0.00306781,
24,0.0330934,0.708104,2.45059,0.0467353,0.226995,0.481109,0.50233,2.02365,0.0131433,0.00306781,
25,0.0311895,0.689271,2.51773,0.0452499,0.264723,0.424549,0.652527,1.92899,0.0131433,0.00306781,
26,0.0311895,0.366504,1.39817,0.0851001,0.107157,0.259347,0.159388,1.35555,0.0131433,0.00306781,
27,0.0311552,0.539924,2.14992,0.0577029,0.233716,0.306208,0.83485,1.69069,0.0131433,0.000421371,
28,0.0311552,0.12453,0.0747017,0.250183,0.0696272,0.0549026,0.140802,0.231808,0.0131433,0.000421371,
29,0.019383,0.576556,2.66156,0.0336187,0.228454,0.348102,1.10108,1.60907,0.0131433,0.000421371,
30,0.0178261,0.0664417,0.0355009,0.268297,0.0376732,0.0287685,0.191207,0.201967,0.000903699,0.000421371,
31,0.0178261,1.04685,3.68818,0.0170283,0.280341,0.76651,1.01175,2.85532,0.000903699,0.000421371,
32,0.0178261,0.476629,1.74204,0.0374003,0.152922,0.323707,0.499536,1.37494,0.000903699,0.000421371,
33,0.0178261,0.886066,3.39193,0.0201182,0.143123,0.742943,0.629749,2.89953,0.000903699,0.000421371,
34,0.0178261,0.766533,2.49246,0.0232555,0.2423,0.524233,0.886331,1.82149,0.000903699,0.000421371,
35,0.0169465,1.1003,3.7278,0.0154017,0.24056,0.859739,0.861609,3.13874,0.000903699,0.000421371,
36,0.0138328,1.33652,4.29358,0.0103499,0.466344,0.870172,1.41067,2.9705,0.000903699,0.000421371,
37,0.0138328,0.917892,2.71831,0.0150702,0.352409,0.565484,1.12699,2.05607,0.000903699,0.000421371,
38,0.0138328,2.32917,4.43856,0.00593893,0.432989,1.89619,0.887668,3.66393,0.000903699,0.000421371,
39,0.0138328,1.42466,3.51629,0.00970954,0.438635,0.986027,1.15339,2.78331,0.000903699,0.000421371,
40,0.0126299,1.06988,3.56894,0.011805,0.246681,0.823195,0.988309,2.92044,0.000903699,0.000421371,
41,0.00335901,1.29456,4.09351,0.00259471,0.183007,1.11155,0.632862,3.58326,0.000903699,0.000733602,
42,0.00335901,0.0311895,0.0230566,0.107697,0.0155461,0.0156434,0.166042,0.993904,0.000903699,0.00117464,
43,0.00335901,0.269319,1.73813,0.0124722,0.0755842,0.193735,0.440162,1.30162,0.000903699,0.000274747,
44,0.00335901,0.476283,2.21626,0.00705254,0.275145,0.201139,1.32586,1.00209,0.000984394,0.000274747,
45,0.00296562,0.413016,2.20571,0.00718041,0.124111,0.288905,0.661654,1.56614,0.000984394,0.000274747,
46,0.00296562,0.584714,2.86872,0.00507192,0.174016,0.410699,0.840554,2.03722,0.000854447,0.000274747,
47,0.00255681,0.0178956,0.0119271,0.142874,0.00734551,0.0105501,0.0798621,0.372305,0.000854447,0.000274747,
48,0.00255681,0.313487,2.0823,0.00815603,0.0806657,0.232822,0.529386,1.54653,0.000854447,0.000274747,
49,0.00255681,0.461135,2.17372,0.00554461,0.126175,0.334959,0.592878,1.58851,0.000823452,0.000274747,
50,0.00255681,0.455808,2.20472,0.00560941,0.13609,0.319718,0.700633,1.6542,0.000322426,0.000274747,
51,0.00255681,0.45078,2.2639,0.00567197,0.135184,0.315596,0.671513,1.76145,0.000322426,0.000274747,
52,0.00255681,0.00980563,0.00726606,0.260749,0.00292448,0.00688115,0.121165,0.0891573,0.000322426,0.000121241,
53,0.00205568,0.526785,2.67911,0.00390232,0.180669,0.346116,0.913943,1.74741,0.000322426,0.000121241,
54,0.00205568,0.836495,3.67709,0.0024575,0.188752,0.647742,0.957999,2.81957,0.000322426,0.000121241,
55,0.00205568,1.12223,3.90935,0.00183178,0.0970067,1.02523,0.363027,3.55202,0.000322426,0.000121241,
56,0.00184392,0.41495,1.68402,0.00444371,0.163031,0.251919,0.871418,1.16124,0.000322426,0.000121241,
57,0.00184392,0.701019,2.99319,0.00263034,0.227048,0.473971,0.865476,2.19625,0.000322426,0.000121241,
58,0.00184392,0.200238,1.08795,0.00920861,0.0432991,0.156939,0.273651,0.938456,0.000322426,0.000121241,
59,0.00115176,1.13441,3.65596,0.00101529,0.329715,0.804697,1.22037,2.77525,0.000322426,3.41622e-05,
60,0.00115176,0.00509079,0.0052741,0.226243,0.00144983,0.00364096,0.324953,0.621981,0.000108286,3.41622e-05,
61,0.00115176,0.485606,1.65973,0.0023718,0.228803,0.256803,0.832379,1.00915,0.000108286,3.41622e-05,
62,0.00115176,0.265188,1.08372,0.00434319,0.0930326,0.172155,0.415248,0.755287,0.000108286,3.41622e-05,
63,0.00115176,0.46095,2.35091,0.00249867,0.069289,0.391661,0.421955,1.95075,0.000108286,3.41622e-05,
64,0.00114066,0.464118,2.53022,0.00245769,0.198353,0.265765,1.00401,1.58672,0.000108286,3.41622e-05,
65,0.000571309,1.18857,3.12859,0.00048067,0.279685,0.908883,0.881913,2.47328,0.000108286,3.41622e-05,
66,0.000571309,0.566362,2.82625,0.00100873,0.0912266,0.475136,0.513922,2.50463,0.000108286,1.35391e-05,
67,0.000571309,0.22325,1.31265,0.00255906,0.0370052,0.186245,0.193758,1.18136,0.000108286,1.35391e-05,
68,0.000571309,0.784471,2.74301,0.000728273,0.226459,0.558012,0.875558,1.97523,0.000108286,1.35391e-05,
69,0.000571309,0.418303,2.08382,0.00136578,0.116997,0.301305,0.593074,1.53431,0.000108286,1.35391e-05,
70,0.000571309,1.17137,4.09816,0.000487725,0.214185,0.957189,0.758554,3.31113,0.000164663,1.35391e-05,
71,0.000532406,0.443192,2.08682,0.0012013,0.0663488,0.376844,0.295776,1.92497,9.03952e-05,1.35391e-05,
72,0.000532406,1.55906,4.73667,0.000341491,0.267808,1.29126,0.860473,4.06998,9.03952e-05,1.35391e-05,
73,0.000532406,1.88451,4.16184,0.000282517,0.577734,1.30677,1.46182,3.30635,9.03952e-05,1.35391e-05,
74,0.000427981,1.11642,3.49248,0.00038335,0.262883,0.853539,0.975549,2.64713,9.03952e-05,1.35391e-05,
75,0.000427981,0.406357,2.0379,0.00105321,0.168546,0.237811,0.985975,1.65388,9.03952e-05,9.83409e-06,
76,0.000411509,0.775991,3.08563,0.000530301,0.245689,0.530303,0.935546,2.31792,9.03952e-05,9.83409e-06,
77,0.000302569,1.2477,3.12118,0.000242502,0.283009,0.964688,0.638574,2.5556,9.03952e-05,9.83409e-06,
78,0.000302569,1.11055,3.19954,0.000272449,0.208778,0.901773,0.669099,2.65276,9.03952e-05,9.83409e-06,
79,0.000302569,1.23239,3.46511,0.000245514,0.318571,0.91382,0.982156,2.74876,9.03952e-05,9.83409e-06,
80,0.000246193,1.81958,4.64976,0.000135302,0.37686,1.44272,1.08756,3.62926,9.03952e-05,9.83409e-06,
81,0.000246193,0.457506,1.78351,0.000538119,0.15612,0.301386,0.689356,1.66875,0.000127023,9.83409e-06,
82,0.00014893,0.890261,2.95424,0.000167288,0.280591,0.609669,0.904951,2.06986,0.000127023,5.47115e-06,
83,0.00014893,0.000336578,7.9237e-05,0.442484,0.000271851,6.47266e-05,0.256916,0.243852,0.000127023,5.47115e-06,
84,0.000140596,1.06193,3.39466,0.000132397,0.160228,0.901701,0.459891,3.12781,0.000134917,3.36265e-06,
85,0.000140596,1.01283,3.07727,0.000138815,0.249021,0.763805,0.692217,2.49413,0.000105556,3.36265e-06,
86,0.000140596,2.17731,4.84742,6.45731e-05,0.555493,1.62182,1.34098,3.6288,0.000105556,3.36265e-06,
87,9.45061e-05,0.966591,3.10523,9.77725e-05,0.152001,0.81459,0.69103,2.6381,8.95897e-05,3.36265e-06,
88,9.45061e-05,0.955894,3.09831,9.88667e-05,0.158981,0.796913,0.533304,2.59783,8.95897e-05,2.78179e-06,
89,9.45061e-05,0.925134,3.26309,0.000102154,0.193013,0.732121,0.677091,2.68079,8.95897e-05,2.78179e-06,
90,9.45061e-05,1.38982,3.76397,6.79987e-05,0.468871,0.920951,1.31305,2.62903,8.95897e-05,2.34421e-06,
91,9.45061e-05,1.28854,3.45145,7.33435e-05,0.400554,0.887987,1.27107,2.55341,8.95897e-05,2.00055e-06,
