Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,
0,0.077053,0.00392799,
1,0.077053,0.003928,
2,0.0770529,0.0039281,
3,0.0770531,0.00392797,
4,0.077053,0.00392807,
5,0.0770529,0.00392814,
6,0.0770529,0.00392821,
7,0.077053,0.00392804,
8,0.0770531,0.00392798,
9,0.0770532,0.0039279,
10,0.0770531,0.00392799,
11,0.0770531,0.00392805,
12,0.0770531,0.00392797,
13,0.077053,0.0039281,
14,0.0770529,0.00392822,
15,0.0770532,0.00392792,
16,0.077053,0.00392814,
17,0.0770533,0.00392779,
18,0.077053,0.00392814,
19,0.0770532,0.00392795,
20,0.0770532,0.00392796,
21,0.077053,0.00392815,
22,0.0770533,0.0039278,
23,0.0770529,0.00392824,
24,0.0770529,0.00392823,
25,0.0770529,0.00392824,
26,0.0770532,0.00392798,
27,0.0770529,0.0039283,
28,0.0770531,0.00392801,
29,0.0770531,0.00392806,
30,0.733435,9.62224,
31,1.91354,0.92576,
32,5.02378,2.96918,
33,0.077053,0.00392809,
34,0.0770531,0.00392798,
35,3.21064,5.70779,
36,1.08215,22.4655,
37,0.077053,0.00392799,
38,1.82403,0.585472,
39,0.506152,7.49608,
40,0.0861239,2.46692,
41,0.497635,14.898,
42,0.629331,0.149033,
43,1.71088,2.51155,
44,0.501308,13.4251,
45,0.0770531,0.00392799,
46,0.166283,2.84441,
47,0.0770532,0.00392792,
48,3.10352,6.65895,
49,0.627124,15.2245,
