Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,
0,0.330631,5.18445,2.81666,0.0637736,1.44758,3.73688,1.68383,2.70796,0.0537386,0.248226,
1,0.330631,3.68358,2.13015,0.0897582,1.39104,2.29254,0.768313,2.31228,0.0824051,0.248226,
2,0.330631,2.66375,1.13976,0.124123,1.00009,1.66366,0.742124,1.16692,0.0824051,0.248226,
3,0.330631,2.30925,1.32924,0.143177,0.866953,1.4423,0.485556,1.29038,0.0824051,0.078985,
4,0.272549,2.41252,3.14027,0.112973,0.928424,1.48409,1.00632,2.31786,0.063909,0.078985,
5,0.272549,2.28601,3.34331,0.119225,0.777085,1.50892,0.98059,2.67214,0.063909,0.0589967,
6,0.272549,1.19887,0.734511,0.227338,0.569456,0.629415,0.47372,0.758601,0.063909,0.0464741,
7,0.272549,1.37344,2.27879,0.198442,0.648675,0.72477,0.720855,1.83416,0.063909,0.0464741,
8,0.157224,1.20794,1.52585,0.130158,0.549587,0.658357,0.847137,1.10417,0.063909,0.0263005,
9,0.157224,1.22873,2.93225,0.127956,0.430238,0.798496,0.749227,2.29906,0.0582287,0.0263005,
10,0.157224,1.00169,1.99982,0.156959,0.472936,0.528755,0.835846,1.37601,0.063909,0.0263005,
11,0.157224,0.943283,1.76384,0.166678,0.34883,0.594453,0.581685,1.29654,0.063909,0.0263005,
12,0.0972524,1.06513,2.44099,0.0913055,0.312951,0.752182,0.384647,2.20423,0.063909,0.0172935,
13,0.0972524,0.76533,2.23974,0.127073,0.244917,0.520413,0.268835,2.09049,0.063909,0.0172935,
14,0.0972524,1.36416,3.26213,0.071291,0.280429,1.08373,0.44674,2.90326,0.0623005,0.0172935,
15,0.0972524,1.08141,2.63545,0.0899314,0.385382,0.696024,0.839367,1.9296,0.0590163,0.0139204,
16,0.0753664,1.0101,3.06221,0.0746127,0.353909,0.656192,0.893024,2.2998,0.0590163,0.00454977,
17,0.0753664,0.616828,1.88572,0.122184,0.18588,0.430948,0.346763,1.64972,0.0590163,0.00454977,
18,0.0753664,0.870101,2.21215,0.086618,0.324646,0.545455,0.713809,1.54512,0.0590163,0.00454977,
19,0.0723477,0.553799,2.05322,0.130639,0.164634,0.389165,0.379908,1.90542,0.0590163,0.00454977,
20,0.0723477,0.865874,2.55609,0.0835546,0.248463,0.617411,0.461727,2.14357,0.0565249,0.00454977,
21,0.0723477,1.69027,3.51787,0.0428026,0.467442,1.22282,0.874117,2.87662,0.0565249,0.00454977,
22,0.0723477,1.40349,3.64748,0.0515485,0.443109,0.960381,1.07832,2.86009,0.0565249,0.00454977,
23,0.0723477,2.99813,5.54649,0.0241309,0.888108,2.11002,1.70474,4.14934,0.0565249,0.00358894,
24,0.0723477,1.24297,3.01125,0.0582054,0.445365,0.797608,1.3208,2.36278,0.0565249,0.00358894,
25,0.0723477,2.1772,4.28759,0.0332298,0.46992,1.70728,0.825494,3.53712,0.0565249,0.00337077,
26,0.0723477,2.28409,4.54599,0.0316747,0.793083,1.491,1.46101,3.42242,0.0565249,0.00337077,
27,0.0723477,1.5536,3.52305,0.0465679,0.717072,0.836525,1.74708,2.52953,0.0565249,0.00337077,
28,0.0723477,2.78881,5.05165,0.0259421,0.714685,2.07413,1.2011,3.70372,0.0565249,0.00337077,
29,0.0723477,2.79437,4.935,0.0258905,0.707552,2.08682,1.38924,4.01942,0.0565249,0.00337077,
30,0.0723477,3.10713,5.25394,0.0232844,0.902339,2.2048,1.58281,4.17583,0.0565249,0.00337077,
31,0.0685503,2.67763,4.78475,0.0256011,0.68079,1.99684,1.19666,3.8583,0.0565249,0.00327961,
32,0.0685503,2.56705,4.71725,0.0267039,0.93273,1.63432,1.95247,3.59198,0.054402,0.00327961,
33,0.0685503,2.17695,4.46977,0.0314892,0.602281,1.57467,1.32621,3.63777,0.0565249,0.00282478,
34,0.0685503,3.04996,5.34241,0.0224758,0.649176,2.40078,1.32584,4.36045,0.0632145,0.00282478,
35,0.0685503,2.37351,4.00688,0.0288814,0.447392,1.92612,0.712209,3.53537,0.0650507,0.00282478,
36,0.0685503,2.72865,4.86027,0.0251224,0.718789,2.00986,1.37291,3.7267,0.0650507,0.00282478,
37,0.0681842,1.90003,4.02137,0.0358858,0.491369,1.40866,1.052,3.48808,0.0640847,0.00206858,
38,0.0681842,2.08527,4.80196,0.032698,0.450506,1.63477,0.953023,3.91504,0.0648664,0.00206858,
39,0.0657627,3.27581,5.3066,0.0200753,0.821477,2.45433,1.21933,4.12708,0.063884,0.0018787,
40,0.0657627,2.65444,4.58996,0.0247746,0.690832,1.96361,1.31265,4.04641,0.063884,0.0018787,
41,0.0657627,2.73123,4.4933,0.0240781,0.806187,1.92504,1.34276,3.5998,0.063884,0.0018787,
42,0.0657627,2.98887,5.02693,0.0220026,0.871291,2.11757,1.59735,3.76416,0.063884,0.0018787,
43,0.0657627,3.3611,4.93321,0.0195658,0.970795,2.39031,1.61606,4.08793,0.063884,0.0018787,
44,0.0643338,2.21145,3.92259,0.0290912,0.665451,1.546,1.39585,3.52543,0.0625832,0.00175054,
45,0.0643338,2.96197,5.04232,0.02172,0.958924,2.00304,1.84813,3.80219,0.0625832,0.00175054,
46,0.0643338,3.33284,5.01189,0.019303,0.714014,2.61883,1.06222,4.08617,0.0625832,0.00175054,
47,0.0643338,2.89407,4.93853,0.0222295,0.725601,2.16847,1.30202,4.28869,0.0601145,0.00175054,
48,0.0643338,2.13363,4.07252,0.0301523,0.567628,1.566,1.25096,3.26628,0.0619487,0.00175054,
49,0.0643338,3.12434,5.25494,0.0205912,0.921498,2.20284,1.78983,3.81519,0.0619487,0.00175054,
50,0.0640602,2.19759,3.92728,0.0291502,0.671472,1.52612,1.23956,3.12522,0.0619487,0.00175054,
51,0.0640602,3.3477,5.67607,0.0191356,0.934912,2.41279,1.43627,4.57476,0.0619487,0.00175054,
52,0.0640602,2.48369,4.36447,0.0257923,0.791896,1.6918,1.47555,3.64094,0.0619487,0.00159512,
53,0.0637287,2.9445,5.05432,0.0216433,0.905117,2.03939,1.79474,3.75069,0.0615703,0.00159512,
54,0.0628343,2.79839,4.87051,0.0224537,0.685796,2.11259,1.24709,3.79884,0.0613375,0.00149679,
55,0.0628343,2.48852,5.46115,0.0252496,0.771804,1.71672,1.63391,4.06842,0.0613375,0.00149679,
56,0.0628343,2.74351,4.94271,0.0229029,0.558169,2.18534,1.06429,3.99373,0.0613375,0.00147479,
57,0.0628343,3.15625,5.01364,0.0199079,0.719183,2.43707,1.36035,4.09301,0.0613375,0.00147479,
58,0.0628343,3.08258,4.67371,0.0203837,0.867941,2.21464,1.2178,3.8876,0.0613375,0.00147479,
59,0.0628343,3.22775,5.67698,0.0194669,1.12196,2.10579,1.91066,4.09434,0.0613375,0.00147479,
60,0.0628343,3.60419,5.54992,0.0174337,1.16051,2.44368,1.87487,4.00415,0.053146,0.00147479,
61,0.0628343,2.73756,4.54578,0.0229527,0.543313,2.19424,1.12098,4.00113,0.0613375,0.00147479,
62,0.0628343,2.84975,4.8764,0.0220491,0.621862,2.22789,1.09188,4.17028,0.0613375,0.00142783,
63,0.0628343,3.54873,5.35522,0.0177061,1.03081,2.51792,1.60621,4.16828,0.0613375,0.00142783,
64,0.0628343,2.81065,5.00066,0.0223558,0.804752,2.00589,1.33909,3.96783,0.0613375,0.00142783,
65,0.0628343,2.59869,4.63767,0.0241793,0.691082,1.9076,1.28637,3.68433,0.0613375,0.00142783,
66,0.0628343,1.69322,3.2147,0.0371093,0.581758,1.11146,1.4322,2.40511,0.061137,0.00142783,
67,0.0628343,2.70005,4.60408,0.0232715,0.588617,2.11144,0.963559,3.69855,0.061137,0.00142783,
68,0.0628343,3.50051,5.63606,0.0179501,0.730392,2.77012,1.17494,4.55232,0.061137,0.00142783,
69,0.0628343,3.83215,5.79405,0.0163966,0.759448,3.0727,1.35021,4.74316,0.061137,0.00142783,
70,0.0628343,2.60686,4.28087,0.0241035,0.722786,1.88407,1.41567,3.86726,0.061137,0.00142783,
71,0.0625301,2.73567,4.68998,0.0228574,0.648404,2.08726,1.17808,3.96406,0.0610363,0.00142783,
72,0.0625301,3.1965,5.02741,0.0195621,0.669548,2.52695,0.982336,4.29812,0.0610363,0.00142783,
73,0.0625301,2.38031,3.90701,0.0262698,0.606154,1.77415,1.17728,3.3887,0.0610363,0.00142783,
74,0.0625301,2.14705,4.44584,0.0291237,0.627969,1.51908,1.34668,3.43198,0.0610363,0.00142783,
75,0.062087,2.76802,4.39673,0.0224301,0.971951,1.79607,1.86408,3.32081,0.0607004,0.00138668,
76,0.062087,2.64569,4.5851,0.0234672,0.718237,1.92746,1.37599,3.62396,0.0607004,0.00138668,
