Individual,Heave.front.roll_center.z,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.half_track_l,Heave.front.scrub_radius_l,Roll.front.camber_angle_l,Roll.front.roll_center.y,Steering.front.camber_angle_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,53.2529,0.910181,0.206901,2.02813,1.70681,2.37981,0.418402,26.2076,1.03114,2.246,1.27577,
1,41.5176,0.680281,0.15142,2.72726,1.27006,0.977212,0.459656,34.6279,1.21287,2.25151,1.15637,
2,42.6877,0.81827,0.162493,1.33814,1.30456,1.92751,0.462801,36.593,1.12284,2.48564,1.27539,
3,43.9546,0.246763,0.37791,2.31109,1.35956,5.24475,0.431311,30.4332,1.28011,2.05028,1.60831,
4,42.5924,1.34798,0.45231,1.22927,1.30156,2.45729,0.443434,34.2646,1.17269,2.72246,1.86819,
5,48.5633,1.12661,0.346399,0.674482,1.52611,2.19808,0.428448,29.7835,1.18809,2.11993,1.72917,
6,49.973,0.134369,0.367816,0.28322,1.57878,0.546997,0.414357,28.6821,1.07092,2.15588,1.75535,
7,34.6478,1.01581,0.104817,1.64554,1.00199,4.03849,0.496462,44.4079,1.1566,1.93932,1.17554,
8,44.0697,0.346475,0.396912,2.24998,1.35911,3.40682,0.418161,32.3419,1.09862,1.97473,1.37656,
9,53.1475,0.126332,0.39442,1.3861,1.69335,0.944731,0.391586,27.269,1.01617,2.47264,1.37359,
10,44.6463,0.398912,0.337384,1.6129,1.37664,1.95325,0.432029,34.7138,1.12912,1.92246,1.43425,
11,43.2701,2.34822,0.526967,0.626125,1.32485,2.1333,0.426683,34.7234,1.33521,2.76479,1.61603,
12,47.0258,0.411046,0.156198,1.61841,1.46761,1.81475,0.421501,32.2298,1.15973,2.11915,0.971884,
13,45.3323,0.0334854,0.398701,0.561801,1.40599,0.855961,0.42039,32.3741,1.16717,2.38951,1.45327,
14,47.7875,0.319512,0.116303,2.18249,1.50956,2.28344,0.422999,28.5038,1.1618,2.26323,1.27309,
15,45.1368,1.3087,0.356677,0.930212,1.39936,2.46856,0.423747,31.7095,1.09656,2.09845,1.38036,
16,44.1472,0.389038,0.457878,0.449607,1.36067,2.30785,0.430273,33.1948,1.16517,2.40084,1.77909,
17,48.0172,1.06011,0.326245,1.17456,1.50654,0.593755,0.411076,29.7679,1.17208,2.24454,1.23305,
18,48.1529,1.1499,0.291726,1.65846,1.51375,2.20922,0.416301,29.0707,1.05855,2.10304,1.22037,
19,44.638,0.954304,0.263933,0.917899,1.38095,2.45955,0.451486,32.6219,1.21198,2.30834,1.6734,
20,42.5288,0.153121,0.148683,2.13296,1.30343,0.0930499,0.451713,35.0615,1.15605,2.04225,1.08059,
21,41.2938,0.820134,0.144031,0.813838,1.254,1.49488,0.447855,36.5568,1.139,2.18971,1.00484,
22,50.4789,0.260982,0.145847,0.778414,1.60071,3.22285,0.417293,27.5781,1.10991,2.24147,1.13196,
23,49.0819,0.343861,0.40006,2.49002,1.5408,2.01634,0.402977,30.7473,1.1791,2.07989,1.38337,
24,45.9607,1.48307,0.629552,1.02171,1.42723,2.82223,0.422335,31,1.27684,2.05322,2.25015,
25,48.1056,1.12884,0.375324,0.811479,1.50672,0.285495,0.424453,30.8482,1.0805,1.75911,1.72256,
26,45.5439,0.555269,0.353012,0.4716,1.41601,2.80248,0.432732,31.1395,1.22531,2.27903,1.5767,
27,42.4635,3.65064,0.241258,1.62863,1.30239,3.27484,0.447867,33.0417,1.05375,2.03229,1.51289,
28,41.9601,0.389486,0.112427,1.54407,1.28735,5.19051,0.442751,33.0501,1.06438,2.22104,1.07128,
29,45.3317,0.110995,0.365858,3.19803,1.40714,3.4147,0.417559,31.2767,1.38072,2.34589,1.32712,
30,51.9305,0.296033,0.636541,1.00562,1.6477,1.08295,0.382865,27.5422,1.12542,2.11264,2.07256,
31,47.9958,0.0849325,0.695279,1.13485,1.51078,3.99162,0.406218,29.1607,1.02986,2.27739,2.61022,
32,43.6977,0.810134,0.448881,1.26951,1.34082,0.376512,0.43198,34.7734,1.26501,2.60208,1.70347,
33,39.6311,0.580197,0.294162,1.78171,1.18976,2.70807,0.475147,37.9761,1.21428,2.05255,1.92127,
34,49.7859,1.50341,0.476424,2.42034,1.57077,2.54672,0.398681,28.5485,1.27916,2.45861,1.66329,
35,30.8976,0.300135,0.376721,2.223,0.835542,0.398774,0.50905,57.5545,1.10345,1.89494,2.10246,
36,40.7461,1.11106,0.345604,1.03944,1.23356,3.20197,0.44093,35.9466,1.08341,1.99282,1.37913,
37,49.3637,0.703678,0.30495,1.29688,1.55683,1.65713,0.411082,28.8218,1.09843,2.06748,1.29775,
38,35.7601,0.121272,0.508697,1.30063,1.04235,7.83331,0.472264,41.7616,1.15032,2.07607,2.39095,
39,47.6135,0.622686,0.0896724,1.09099,1.49578,2.62646,0.42612,29.5821,1.06719,2.19472,1.14499,
40,39.8532,0.391493,0.215975,2.25237,1.20421,1.78197,0.466584,36.2508,1.15573,2.26899,1.39895,
41,41.4622,0.219438,0.283676,1.36878,1.25884,1.4358,0.445991,36.2971,1.14204,2.10615,1.29899,
42,33.6116,0.29836,0.193978,2.30187,0.961525,4.29621,0.499541,44.8683,1.25714,2.19016,1.5636,
43,54.4576,1.55276,0.52229,1.9279,1.74079,0.381525,0.373931,26.1463,1.05091,2.39035,1.36135,
44,44.3797,0.0600959,0.171073,1.5473,1.37573,2.89989,0.433083,31.527,1.1591,2.39438,1.09002,
45,29.3579,0.301229,0.214636,2.04143,0.783275,5.38317,0.518669,59.9556,1.23734,2.10587,1.52358,
46,52.0861,0.130752,0.279973,1.42341,1.65918,3.16183,0.38606,26.2502,1.03737,2.34169,1.04138,
47,51.8605,0.236773,0.189758,0.658976,1.64462,2.88089,0.400318,29.3122,1.04514,2.26678,0.981841,
48,46.5296,1.81654,0.364193,0.57358,1.44875,0.387153,0.414956,31.9909,1.0922,2.01725,1.27121,
49,46.0303,0.352832,0.43021,1.11909,1.43612,3.44102,0.419202,29.746,1.02791,2.15917,1.80866,
50,51.3699,2.01414,0.333921,0.166371,1.62921,1.98876,0.406036,28.2338,1.36792,2.23469,1.29169,
51,38.5747,0.13786,0.213295,1.2294,1.15045,3.33492,0.462684,39.1933,1.32387,2.5867,1.24642,
52,40.8153,0.126039,0.502675,0.582126,1.23441,1.8504,0.438105,36.3733,1.1434,2.20901,1.84624,
53,44.7709,0.657289,0.21073,1.61971,1.38341,0.79752,0.444174,33.9888,1.15612,2.17271,1.25671,
54,117.637,6.60067,1.16767,26.6409,3.97554,93.7149,0.048695,8.71258,2.93717,5.87414,4.24173,
55,43.6216,0.149371,0.30566,1.0316,1.339,0.483756,0.428107,34.7389,1.08904,2.00406,1.14386,
56,46.904,0.95208,0.421441,0.547294,1.46519,2.0248,0.403759,31.0498,1.14449,2.35013,1.26244,
57,35.0214,0.163863,0.174702,1.35892,1.00508,0.412947,0.490916,48.5655,1.08793,2.02907,1.3055,
58,42.6021,0.407054,0.321422,1.39081,1.30474,2.16548,0.443702,33.8496,1.23604,2.40032,1.49419,
59,37.092,0.480211,0.578164,1.40242,1.08931,2.6318,0.46286,39.5223,1.08383,2.15371,2.6383,
60,49.9399,0.00618536,0.322529,0.203941,1.57665,0.674984,0.411257,29.0808,1.1098,2.08699,1.38952,
61,50.3833,1.9701,0.360542,0.231597,1.59497,0.252099,0.393599,27.9521,1.00876,1.12823,1.26627,
62,40.1997,0.588845,0.176912,0.809206,1.21442,2.11516,0.440524,36.4037,1.13849,2.04113,1.03154,
63,52.5053,1.16485,0.296448,0.672811,1.66993,2.53667,0.390189,27.8559,0.960776,2.00422,1.05998,
64,39.8048,1.02333,0.593098,1.92395,1.19313,3.78434,0.44581,36.5259,1.26245,2.37245,2.27058,
65,45.7615,1.39296,0.391973,1.70771,1.42349,3.33761,0.424723,30.9981,1.17491,2.00687,1.73459,
66,43.8485,0.0205589,0.423068,0.476676,1.35054,2.22584,0.447932,33.6064,1.15351,2.23795,2.1087,
67,46.2523,0.0990781,0.368788,0.932329,1.43812,0.1797,0.431535,32.0947,1.08249,2.10502,1.66509,
68,43.6161,1.19524,0.36315,1.43713,1.3444,4.41377,0.437687,32.0967,1.26727,2.561,1.6263,
69,43.5977,2.4357,0.366068,0.965566,1.33817,0.839024,0.428241,34.4467,1.07702,2.37376,1.39541,
70,46.0767,0.923262,0.62533,0.882616,1.42761,0.139008,0.429069,32.5997,1.09798,1.84546,2.6937,
71,48.7068,0.894351,0.272154,1.86611,1.53212,2.36207,0.422266,29.9126,1.03518,2.05754,1.30365,
72,42.2254,0.714362,0.161843,1.70795,1.2994,3.46364,0.457259,33.897,1.06418,2.13688,1.23438,
73,40.2241,0.146415,0.199796,1.47936,1.21653,4.66378,0.460449,35.8852,1.30186,2.19192,1.32856,
74,200.902,11.3899,0.108632,67.4382,6.8275,33.4513,0.313329,10.8561,2.20205,3.03239,11.1828,
75,39.8027,1.25198,0.40071,2.85269,1.19793,1.81622,0.453677,35.7491,0.948619,2.00379,1.7512,
76,41.636,0.632315,0.212051,0.653837,1.2658,1.26911,0.456419,36.4365,1.09668,2.25325,1.23418,
77,47.9513,0.522698,0.29851,1.86758,1.50684,2.98389,0.41951,28.8961,1.0604,2.25282,1.34288,
78,41.1628,0.234973,0.259948,2.0842,1.24989,0.523703,0.464146,35.9365,1.02971,2.06133,1.58642,
79,39.9938,0.637505,0.288973,0.636167,1.20785,5.26165,0.459063,35.7808,1.1566,2.10375,1.5577,
80,44.7663,2.40549,0.266551,1.55121,1.38703,1.98069,0.431745,31.789,0.933707,1.90221,1.38883,
81,40.3749,1.53611,0.304823,1.62949,1.21412,0.632754,0.463537,39.012,1.28267,2.41191,1.56065,
82,44.583,0.801624,0.553537,1.73523,1.37946,3.30117,0.412391,30.4296,1.0408,2.03591,1.86237,
83,41.0161,1.37701,0.394567,2.96568,1.23913,1.72262,0.446741,37.0404,1.32079,2.17913,1.6372,
84,51.9398,1.71957,0.363487,1.65376,1.65164,2.44265,0.402615,27.008,1.1624,2.46785,1.56685,
85,46.267,0.99073,0.439648,1.54066,1.43701,1.23387,0.432332,32.2788,1.23186,2.28745,1.85499,
86,53.508,0.617952,0.477143,1.92587,1.70846,2.2857,0.387397,26.2064,1.00429,2.4127,1.59925,
87,42.9567,1.58273,0.322423,1.3282,1.31673,1.26169,0.431716,34.0978,1.17558,2.26574,1.15816,
88,49.5268,0.587536,0.44086,1.28302,1.56328,3.58655,0.409104,27.8296,1.16104,2.41278,1.7667,
89,40.711,0.829554,0.381933,0.321648,1.23341,3.59022,0.442563,35.7383,1.32638,2.39063,1.47501,
90,41.9383,0.628228,0.452407,2.33032,1.27911,3.79098,0.428354,34.1079,1.00844,2.27446,1.51356,
91,43.0721,0.0672585,0.350334,2.24079,1.32337,2.89331,0.438087,32.9219,1.06646,2.55674,1.39699,
92,46.9432,0.0596541,0.296512,1.29013,1.46655,2.63389,0.433474,30.902,1.10441,2.29323,1.4509,
93,44.6244,1.77401,0.216776,2.12346,1.38473,3.1841,0.445589,31.4545,1.27067,2.15352,1.35268,
94,48.734,0.47546,0.192317,0.706076,1.53132,0.610124,0.410032,30.5392,1.12237,2.39991,0.967359,
95,46.4811,1.27059,0.383356,0.327759,1.44641,1.23223,0.418394,32.2287,1.08975,2.188,1.4947,
96,48.5391,0.0346502,0.332985,1.06051,1.52613,2.31751,0.416424,29.3362,1.08388,2.36445,1.42012,
97,37.8181,0.276484,0.517114,1.09561,1.11231,0.799544,0.454278,42.2051,1.19868,2.37949,1.94514,
98,50.0379,0.575545,0.487963,1.25579,1.58445,2.85054,0.39358,27.4848,1.04126,2.0543,1.60893,
99,41.3997,0.0927243,0.218992,1.78622,1.25986,0.502556,0.451325,35.6,1.13789,2.12921,1.20937,
100,40.8351,0.241852,0.236991,1.655,1.23995,3.08635,0.462565,35.1762,1.15869,1.9195,1.5497,
101,54.057,0.03281,0.438646,0.316776,1.72922,4.58003,0.382909,25.7481,1.26809,2.74134,1.3981,
102,197.213,2.13152,2.42087,47.8719,6.82623,86.9398,0.180772,5.13866,0.905013,1.62739,7.27752,
103,42.4832,0.28912,0.433723,0.895023,1.29953,2.81016,0.429058,33.6995,1.15496,2.33158,1.54302,
104,56.5697,0.706508,0.440282,0.457083,1.8205,3.59428,0.375266,24.4401,1.04952,2.22453,1.56432,
105,48.008,0.0149058,0.512057,0.761351,1.50593,2.7019,0.393905,29.2614,1.13895,2.3499,1.43609,
106,37.4175,1.52134,0.12363,2.17164,1.11021,0.536474,0.486342,41.1499,1.099,2.25485,1.10208,
107,43.5891,0.476767,0.36381,2.59897,1.33928,1.71833,0.431497,33.8015,1.20108,2.06713,1.5095,
108,43.4849,0.720602,0.432605,1.83057,1.33772,1.28785,0.439087,32.163,1.17069,2.29384,1.91753,
109,48.3856,1.45282,0.47525,0.447253,1.5224,3.64766,0.411535,28.242,1.12067,2.18737,1.84287,
110,49.8665,0.146135,0.549246,0.393478,1.57364,1.32826,0.407951,28.6972,1.11514,2.0651,2.24977,
111,47.5931,0.796051,0.356037,0.736209,1.49323,3.88257,0.413625,29.3152,1.13811,2.18712,1.35869,
112,48.2629,0.200989,0.356489,2.05095,1.51882,1.89211,0.407412,28.1941,1.15721,2.21621,1.24724,
113,45.3002,0.567869,0.393344,0.116428,1.40436,1.83574,0.434115,32.4402,1.18273,2.55982,1.7986,
114,54.726,0.0125586,0.432905,1.2579,1.75111,1.50912,0.392665,26.3832,1.20722,2.15766,1.75926,
115,44.5589,0.187399,0.088512,0.548314,1.37223,2.84388,0.437973,35.7033,1.09053,2.26784,0.957753,
116,43.6309,0.761129,0.43008,1.21362,1.34063,0.364615,0.422887,34.4351,0.999142,2.15857,1.31014,
117,36.4575,0.450619,0.270448,2.69923,1.0734,2.29516,0.488566,39.8052,1.16937,2.24561,1.85102,
118,49.1518,0.122179,0.109509,1.63523,1.55768,3.69824,0.408755,27.5451,1.1227,2.1401,1.50492,
119,45.6565,0.88944,0.42303,1.34105,1.41529,0.295768,0.437372,33.398,1.2723,2.21325,1.9108,
120,47.1213,0.353092,0.324262,0.88826,1.47093,0.622086,0.419621,31.4403,1.1143,2.09964,1.27587,
121,40.3522,0.604835,0.420779,2.03943,1.21326,1.44415,0.459865,37.4381,1.07624,1.89787,2.09113,
122,47.6012,0.0856486,0.304549,1.74271,1.49212,0.615768,0.430851,29.9683,1.17088,2.12677,1.55476,
123,48.9885,0.64647,0.197063,1.75142,1.54115,1.2313,0.422151,30.4941,0.990367,2.35179,1.04626,
124,47.6954,0.744616,0.2921,1.33597,1.49375,0.659913,0.417249,30.6069,1.02385,2.3395,1.14491,
125,52.0465,0.560827,0.37853,0.783108,1.6531,0.491907,0.402656,27.9551,1.1679,2.47099,1.35495,
126,53.2709,1.13267,0.249716,1.27172,1.70026,0.281793,0.393125,26.9075,1.09846,2.32623,1.01226,
127,43.1754,1.66341,0.143235,1.69277,1.33245,4.64124,0.459792,32.5099,1.29885,2.36889,1.26084,
128,38.8672,0.94756,0.428034,2.12298,1.16163,5.62772,0.444935,37.7735,1.24603,2.18284,1.5365,
129,35.6528,0.191247,0.456525,1.13329,1.03379,4.05597,0.465008,43.0316,1.17371,2.14689,1.88135,
130,36.219,0.98943,0.194873,1.89943,1.06284,3.57414,0.472218,40.8546,1.10016,2.12741,1.18489,
131,56.0847,0.898676,0.378361,1.71504,1.80469,2.9208,0.360926,23.9777,1.01023,2.2531,1.04816,
132,48.9958,0.295027,0.163232,2.14048,1.54611,2.32016,0.434653,29.6426,1.09058,2.1293,1.20496,
133,44.7342,2.0234,0.396757,0.963594,1.38181,1.5333,0.434422,32.9925,1.13167,1.94472,1.71901,
134,46.4726,1.33726,0.361458,1.29828,1.44883,1.88843,0.433831,30.8914,1.08113,1.97318,1.74358,
135,39.6926,1.45952,0.395662,1.52001,1.1942,3.51822,0.448954,35.8639,1.18196,2.33757,1.71732,
136,201.195,2.30068,0.0909213,81.1448,6.83771,57.826,0.317592,10.787,3.57094,2.10211,3.8693,
137,46.6219,0.735433,0.442772,1.50465,1.45344,0.17541,0.40676,30.3548,0.982117,2.10893,1.5375,
138,48.0016,0.317292,0.707057,2.09075,1.50308,0.244823,0.416725,31.8634,1.36151,2.38268,2.68148,
139,43.4713,0.060671,0.442842,1.27194,1.33562,2.61482,0.425392,33.0972,1.0826,2.25245,1.53262,
140,36.7212,1.25679,0.386706,1.35829,1.07674,2.23131,0.479004,41.1298,1.04719,1.6988,2.38056,
141,49.015,0.304369,0.246229,0.510875,1.54457,2.86861,0.410709,28.9724,1.18558,2.52662,1.11732,
142,34.3052,1.14309,0.126917,2.69392,0.993932,0.818752,0.491874,44.7994,1.10237,2.43901,1.0522,
143,40.6943,0.384434,0.331551,1.19057,1.2333,5.28297,0.452472,35.0573,1.14969,1.89687,1.63567,
144,47.3637,1.94902,0.301211,0.874502,1.47888,1.16008,0.409042,31.7474,1.11637,1.53618,0.998965,
145,42.7798,0.0958762,0.394097,0.771448,1.30678,0.626522,0.443328,35.5695,1.26776,2.75179,1.64146,
146,39.0624,0.945572,0.431631,2.35801,1.16192,0.322658,0.466919,40.1365,1.26587,2.1981,2.05737,
147,46.8928,2.09111,0.159094,0.968657,1.46754,3.34482,0.427319,30.1646,1.07156,2.16555,1.06099,
148,51.5466,1.26779,0.383666,0.117325,1.63456,0.270919,0.399592,28.4614,1.16801,2.46886,1.37225,
149,44.9097,0.740327,0.351036,1.55067,1.38791,0.378295,0.443561,33.1592,1.12092,1.94347,1.80357,
150,48.0807,0.34785,0.273322,1.09793,1.50662,1.40169,0.426677,31.0424,1.06318,2.09331,1.31057,
151,52.1223,1.75957,0.165069,0.877716,1.65812,1.37409,0.408369,27.7565,1.18273,2.2648,1.05001,
152,53.7495,0.467186,0.454054,0.13348,1.71771,4.68187,0.379885,26.073,1.11336,2.06717,1.45315,
153,45.8788,0.935709,0.413385,2.40248,1.42614,2.61918,0.427277,31.8003,1.10915,1.88499,1.92064,
154,47.5176,0.706592,0.320984,1.24277,1.48911,1.81039,0.424301,29.6827,1.07146,1.90449,1.48532,
155,45.1743,0.09925,0.490048,1.17677,1.39908,2.98341,0.423279,31.5963,1.14267,2.43221,1.86307,
156,49.3223,0.102579,0.373556,2.39185,1.55814,4.91552,0.402609,27.3231,1.01806,2.36275,1.33734,
157,39.9197,0.270389,0.306452,1.39793,1.20651,3.51985,0.444282,34.8487,1.15871,2.53224,1.27408,
158,42.7086,0.500257,0.244847,1.24707,1.30707,1.20807,0.443376,34.8838,1.1661,2.40913,1.20712,
159,48.7714,0.509583,0.465803,0.909947,1.53353,1.44555,0.406608,29.154,1.12633,2.49736,1.62512,
160,59.0864,1.78308,0.254216,0.877283,1.91026,1.3764,0.376116,24.3315,0.874634,2.0888,1.16804,
161,40.4268,0.197377,0.403257,1.64405,1.22287,4.4249,0.459225,35.3102,1.25402,2.03242,2.1149,
162,49.9229,0.135518,0.388849,2.57905,1.57601,0.0533132,0.399595,28.6571,1.25988,2.33933,1.26922,
163,43.591,0.508374,0.157022,1.24688,1.34083,0.928307,0.44655,34.2346,1.01,2.08248,1.07223,
164,49.09,0.815504,0.452747,1.07772,1.54624,2.94848,0.403389,28.441,1.07306,2.15846,1.59733,
165,48.5836,1.45848,0.455252,1.18963,1.52582,0.701127,0.40675,29.7092,1.0242,1.95207,1.58974,
166,41.873,0.0125452,0.633536,0.343971,1.27197,0.647266,0.429863,35.9539,1.15278,2.37697,2.2652,
167,46.9388,0.289484,0.29699,0.822161,1.46556,1.26882,0.429538,31.1323,1.07578,2.16298,1.45317,
168,52.1773,0.0817424,0.229957,1.19283,1.6587,0.761521,0.396113,28.1489,1.00204,2.44391,0.971373,
169,48.0698,0.93058,0.30397,0.495169,1.50769,0.0819603,0.422334,30.2242,1.08486,1.96126,1.40929,
170,38.5804,0.781509,0.387029,1.4007,1.14656,1.2241,0.451345,39.5489,1.12875,2.50772,1.48438,
171,46.8021,0.439521,0.326042,0.98543,1.45859,0.847874,0.427716,31.9456,1.11205,2.20258,1.49901,
172,38.841,0.151349,0.247153,0.83438,1.16167,2.52576,0.462564,38.0422,0.979032,1.85579,1.40866,
173,43.3956,0.615517,0.191914,2.18652,1.33671,0.334502,0.449706,33.799,1.05825,2.09162,1.21023,
174,44.0276,0.555655,0.305166,0.335119,1.35741,1.98998,0.437242,33.3106,1.05449,2.32017,1.36682,
175,51.1106,0.452978,0.372027,0.770702,1.61971,1.52096,0.403491,28.1532,1.10274,2.0677,1.5806,
176,50.8508,1.10168,0.378929,0.310805,1.61094,2.05975,0.413915,28.0633,1.09237,1.77915,1.70594,
177,40.8876,0.835985,0.190205,0.977524,1.24056,3.44847,0.447859,35.7844,1.14094,2.26571,1.10436,
178,44.8027,0.604844,0.435077,1.08416,1.38732,4.35871,0.418563,31.4709,1.16397,2.35193,1.51314,
179,44.0102,0.988918,0.372311,0.354234,1.35536,0.4331,0.427327,33.595,1.0489,2.25933,1.43057,
180,49.6984,0.245213,0.218347,1.76169,1.56826,1.53992,0.413679,29.3208,0.951343,2.09443,1.08597,
181,50.3527,0.70542,0.357517,1.71294,1.59215,0.768572,0.40734,28.6916,0.987792,2.01747,1.42213,
182,52.0381,0.581811,0.439052,0.842916,1.65217,1.33029,0.392517,27.888,1.1235,2.37077,1.48387,
183,38.0931,0.661754,0.305808,2.7763,1.13009,1.56452,0.475339,40.0665,1.18218,2.34966,1.74234,
184,37.1423,0.178187,0.310781,2.44114,1.09336,4.49,0.467234,41.109,1.32167,2.32668,1.52668,
185,41.9877,0.546683,0.352665,1.37978,1.27794,0.791355,0.459217,35.6826,1.05989,2.04263,1.99725,
186,50.0097,0.340315,0.220255,1.96286,1.58465,2.62883,0.414435,27.2177,1.0034,2.00935,1.16133,
187,46.0079,1.0281,0.276542,1.052,1.43285,1.66261,0.424857,31.1166,1.12007,2.35492,1.18654,
188,46.4314,0.480936,0.182612,2.14647,1.45688,5.37614,0.420941,27.95,1.07217,2.25018,1.16259,
189,47.3996,0.546164,0.351582,0.847434,1.48364,3.02308,0.427733,30.3821,1.17203,2.16663,1.73099,
190,52.8369,0.403819,0.469595,1.00484,1.68364,0.919639,0.396956,26.7765,1.0024,2.14907,1.82082,
191,33.5591,0.52459,0.150905,1.71841,0.96513,7.15549,0.501214,42.6037,1.24979,2.07314,1.4591,
192,46.5709,0.0412976,0.416209,0.925437,1.45189,2.22379,0.419184,30.8867,1.17064,2.26203,1.62709,
193,39.1386,0.692587,0.154147,3.22002,1.18934,4.82933,0.464718,33.8239,1.11799,2.18248,1.08645,
194,46.0602,0.318989,0.48092,1.88842,1.42683,2.1892,0.429533,33.6046,1.21932,2.25902,2.00712,
195,44.8235,0.0679553,0.771985,1.1082,1.38258,2.28968,0.427639,31.5772,1.14154,2.18871,3.34215,
196,44.5953,0.729827,0.234204,1.06935,1.37898,0.793605,0.436756,32.7923,1.1526,1.95052,1.24262,
197,38.3791,1.68223,0.535624,0.553564,1.13951,1.24711,0.453409,40.099,1.13357,1.95835,2.12742,
198,35.3715,0.292161,0.48001,1.47925,1.02215,4.4733,0.463473,43.0954,1.11007,2.24997,1.81089,
199,44.41,0.442931,0.275172,1.14827,1.37634,6.35641,0.433782,30.9304,1.19151,2.20664,1.35545,
200,47.716,0.377652,0.39071,1.21857,1.49604,2.19537,0.419145,29.8831,1.12169,2.47753,1.55887,
201,52.8747,0.609886,0.313364,1.24035,1.68626,0.468922,0.395229,26.5059,1.08139,2.26299,1.28514,
202,41.3332,0.184106,0.396463,1.41781,1.25299,0.56646,0.452382,36.1734,1.00568,1.49641,1.90644,
203,43.1955,0.140448,0.58616,1.03884,1.32508,3.05106,0.438327,33.4622,1.15832,1.96688,2.55682,
204,34.4153,0.0545664,0.509498,3.57437,0.976848,1.49838,0.476235,50.437,1.4415,2.62036,2.09612,
205,43.4778,0.2215,0.40683,1.3594,1.33667,1.83605,0.44101,32.8034,1.13217,2.15666,1.92439,
206,51.6125,0.497081,0.28474,0.945177,1.6382,0.173945,0.399579,28.0965,1.16956,2.28277,1.10075,
207,46.7466,1.064,0.283429,1.78381,1.45976,0.226631,0.418979,30.9141,1.18712,2.40062,1.09025,
208,42.6747,0.629046,0.306223,0.591985,1.30792,2.75377,0.437791,33.9219,0.960286,2.13162,1.37771,
209,34.7362,0.545189,0.400918,2.85928,0.992791,3.55962,0.487326,47.9123,1.34018,3.11771,2.06684,
210,37.7434,0.890414,0.539779,0.250603,1.11768,3.20334,0.456723,39.5117,1.12453,2.03655,2.24005,
211,38.746,0.34558,0.270805,1.23461,1.1559,2.03963,0.455228,39.2285,1.17036,1.79923,1.28466,
212,46.5631,0.462423,0.254855,1.49274,1.45715,2.81858,0.431719,29.4288,1.11078,2.05357,1.35763,
213,32.3848,10.4738,2.704,22.093,1.70123,93.2195,0.326507,42.0841,2.24654,2.97808,5.50123,
214,54.0731,0.642665,0.229941,1.73312,1.72905,0.379451,0.407145,26.6748,1.03817,2.25058,1.25593,
215,46.547,0.662312,0.285024,1.42653,1.45698,4.27468,0.423091,29.0514,1.11332,2.64712,1.36916,
216,55.8798,0.117486,0.127146,1.42771,1.79769,1.5438,0.391106,24.9663,1.01311,2.01838,1.03633,
217,51.0279,0.128472,0.342557,1.16983,1.61466,1.37218,0.401437,29.2199,1.0768,1.99075,1.31471,
218,45.4795,0.522483,0.378426,0.496833,1.40909,0.468191,0.432348,32.938,1.07028,2.12823,1.71209,
219,45.7444,0.537775,0.227534,1.4589,1.41823,0.0657957,0.439774,33.5313,1.18293,2.26422,1.28832,
220,52.5851,0.133118,0.212229,1.65639,1.67808,1.69714,0.395973,26.414,1.04259,1.95211,1.05625,
221,44.5658,0.379617,1.1674,1.10616,1.37461,1.54926,0.441955,34.2301,1.11103,2.32283,5.07949,
222,47.3091,2.29693,0.301703,1.4471,1.4823,4.19471,0.411323,29.4877,1.00634,2.29119,1.30283,
223,49.2616,2.13063,0.449795,1.50292,1.5491,0.206084,0.403281,29.803,1.17846,2.2086,1.49062,
224,52.4508,0.494319,0.146739,1.45977,1.67645,4.65185,0.409698,25.5655,1.09574,2.13906,1.10458,
225,50.0448,0.890179,0.349948,0.697019,1.57986,0.497084,0.405413,29.0677,1.09795,2.41404,1.35103,
226,45.3683,0.352873,0.290841,1.25513,1.40794,1.10456,0.425744,32.0049,1.16954,1.6837,1.24635,
227,41.3991,1.1477,0.431554,1.37964,1.25482,1.05677,0.449916,36.034,1.11896,2.08338,1.88624,
228,33.9641,0.0689413,0.243857,1.45375,0.968721,2.76325,0.481373,46.7784,1.12211,2.03928,1.33166,
