Individual,Heave.front.roll_center.z,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.half_track_l,Heave.front.scrub_radius_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_l,Roll.front.roll_center.y,Steering.front.camber_angle_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,162.611,2.55435,0.134991,18.4954,5.53354,67.1119,11.6424,0.0623425,8.40446,1.31689,1.66813,13.087,
1,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
2,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
3,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
4,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
5,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
6,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
7,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
8,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
9,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
10,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
11,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
12,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
13,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
14,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
15,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
16,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
17,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
18,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
19,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
20,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
21,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
22,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
23,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
24,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
25,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
26,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
27,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
28,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
29,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
30,44.305,0.0124665,0.318572,0.135242,1.37017,0.18568,0.419707,0.412564,32.1606,1.00416,0.731198,1.14039,
