Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Heave.front.toe_angle_l.avg,Heave.front.half_track_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.half_track_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Heave.front.toe_angle_l.best,Heave.front.half_track_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Steering.front.tie_rod_angle_front_view_l.best,
0,95.7087,205.059,119.022,0.466737,19.3403,4.13402,117.575,1.30895,3.94212,18.8215,0.238896,30.0081,2.08267,3.10694,4.50096,16.7394,4.94576,127.223,1.62368,4.28838,26.408,0.304329,117.676,2.46618,3.53111,5.20625,0.372907,0.0365689,16.4773,0.0262464,0.425482,0.0987976,0.00173988,0.576013,0.0666052,0.671008,0.443801,
1,95.7087,197.938,118.757,0.483529,18.2301,3.93091,113.419,1.24439,3.80561,18.2942,0.233114,29.4547,1.96227,2.88699,4.47661,16.1404,2.75845,47.8815,0.932296,1.66055,19.638,0.180372,113.778,1.21183,1.54152,2.59356,0.372907,0.0365689,16.4773,0.0262464,0.425482,0.0987976,0.00173988,0.185048,0.0666052,0.671008,0.443801,
2,95.7087,197.462,118.707,0.484695,18.1763,3.92404,113.104,1.24219,3.79486,18.1915,0.233309,29.4734,1.96232,2.88978,4.47021,15.9302,2.75683,47.5109,0.931274,1.64837,19.6176,0.180277,113.774,1.20578,1.54681,2.59504,0.372907,0.0365689,16.4773,0.0262464,0.425482,0.0987976,0.00173988,0.185048,0.0666052,0.671008,0.443801,
3,95.3817,168.742,44.1986,0.565251,16.3496,3.98287,98.667,1.06875,3.31302,16.3095,0.205384,20.2348,1.8556,2.98796,3.7676,12.0491,2.56904,36.2455,0.755293,1.2549,15.2788,0.15093,33.6678,1.08215,1.65532,2.44975,1.13525,0.044885,18.4454,0.0352778,0.360866,0.0536001,0.00132525,0.489111,0.236208,0.676907,0.385948,
4,95.3817,165.861,41.2436,0.575071,16.1354,3.95388,97.3649,1.06073,3.26716,15.539,0.198848,19.9528,1.82889,2.89047,3.66878,12.7868,2.58905,31.9826,0.719703,1.12123,14.588,0.137633,32.0783,1.09308,1.59013,2.20709,1.13525,0.044885,18.4454,0.0352778,0.360866,0.0536001,0.00132525,0.489111,0.236208,0.676907,0.385948,
5,91.2717,156.043,51.4117,0.584915,13.839,3.60325,93.9017,1.00899,3.14478,11.2462,0.216945,21.084,1.75783,2.75684,3.48306,11.2769,2.59086,28.1776,0.759338,0.985113,11.5034,0.125076,45.2692,0.88976,1.47839,2.36162,0.893333,0.00777519,24.6273,0.0309336,0.469599,0.123375,0.0068108,2.37517,0.200093,0.68119,0.398341,
6,91.2717,154.896,51.2858,0.589246,13.2389,3.49433,93.8851,0.963756,3.14459,10.9114,0.217106,21.3093,1.69966,2.70898,3.32265,10.6169,2.53431,29.3634,0.721833,1.02527,10.7457,0.129476,45.6774,0.844403,1.44348,2.21363,0.893333,0.00777519,24.6273,0.0309336,0.469599,0.123375,0.0068108,2.37517,0.200093,0.663898,0.398341,
7,91.2717,154.903,51.2813,0.589219,13.2375,3.46056,93.8488,0.961773,3.14321,11.0363,0.216872,21.2741,1.69906,2.70739,3.31717,10.5263,2.50575,29.404,0.720288,1.02707,10.8073,0.129166,45.6801,0.842641,1.44387,2.20568,0.893333,0.00777519,24.6273,0.0309336,0.469599,0.123375,0.0068108,2.37517,0.200093,0.663898,0.398341,
8,64.5928,144.923,63.3978,0.445703,11.7025,3.07592,83.8382,0.932961,2.78134,10.0096,0.26369,24.5757,1.76827,2.74203,3.23315,11.9711,2.40895,32.9265,0.655648,1.13341,11.1004,0.125239,52.2402,0.857091,1.35213,2.2437,0.176011,0.0668781,24.6228,0.0291167,0.566319,0.131815,0.012938,3.3052,0.322195,0.708935,0.369447,
9,64.5928,141.3,57.8548,0.457131,10.9767,3.02907,81.7519,0.917536,2.70801,9.25138,0.264731,24.8765,1.72216,2.67175,3.13078,10.5125,2.26195,28.0842,0.626582,0.992396,9.47018,0.115034,52.1648,0.799398,1.29912,2.0715,0.176011,0.0668781,24.6228,0.0291167,0.566319,0.131815,0.012938,3.3052,0.322195,0.708935,0.369447,
