Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Heave.front.toe_angle_l.avg,Heave.front.half_track_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.half_track_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Heave.front.toe_angle_l.best,Heave.front.half_track_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,87.8832,209.055,120.442,0.420382,21.2119,4.0551,115.862,1.34545,3.88343,19.2033,0.233547,3.51652,1.36182,31.7649,2.25012,4.36715,26.4231,4.87154,124.73,1.7045,4.21241,26.3662,0.300589,3.65698,2.01145,123.124,2.63305,5.05818,0.576545,0.0148743,17.0968,0.0258242,0.453015,0.0165656,0.00125641,0.667979,0.00262694,0.577847,0.219277,0.424043,
1,87.8832,202.666,120.408,0.433636,20.0487,3.871,112.016,1.23454,3.75138,18.2426,0.228768,3.37226,1.78098,31.8091,2.15705,4.15316,18.6088,2.6764,47.0042,0.961909,1.63458,18.9904,0.171394,1.9125,2.67741,118.933,1.32918,2.51576,0.576545,0.0148743,17.0968,0.0258242,0.453015,0.0165656,0.00125641,0.667979,0.00262694,0.577847,0.219277,0.424043,
2,87.8832,202.43,120.479,0.434142,20.0165,3.86121,111.895,1.23554,3.74718,18.1854,0.228869,3.37769,1.76065,31.8149,2.15458,4.15224,18.4418,2.67364,46.8608,0.955815,1.62969,19.0013,0.1713,1.90474,2.72677,118.932,1.32948,2.50583,0.576545,0.0148743,17.0968,0.0258242,0.453015,0.0165656,0.00125641,0.667979,0.00262694,0.577847,0.219277,0.424043,
3,87.8832,173.825,39.7407,0.505585,15.9427,3.63559,100.031,1.16017,3.36154,15.749,0.201806,3.04702,6.01416,18.8567,1.97764,3.8469,13.2548,2.62287,37.6037,0.775111,1.29227,15.5386,0.155947,1.74054,6.45736,24.1819,1.17006,2.64485,1.2282,0.119434,20.3945,0.0325443,0.536189,0.14001,0.000389356,0.672184,0.0306844,0.24993,0.326013,0.309413,
4,87.8832,173.403,40.376,0.506816,16.0156,3.5757,100.007,1.14853,3.36013,15.3743,0.19865,3.05825,6.00772,18.844,1.97044,3.84204,13.102,2.55247,36.0877,0.776053,1.24606,14.925,0.147453,1.7428,5.38218,20.451,1.15581,2.56855,1.2282,0.119434,20.3945,0.0325443,0.536189,0.14001,0.000389356,0.672184,0.0306844,0.24993,0.326013,0.309413,
5,87.8832,172.272,38.2914,0.510141,15.6767,3.55688,99.4891,1.14948,3.34121,15.1659,0.199539,3.04585,5.91381,18.9575,1.95737,3.81909,12.5532,2.53034,35.8395,0.768408,1.24106,14.6985,0.148497,1.7397,5.20951,20.5453,1.1442,2.52852,1.2282,0.119434,20.3945,0.0325443,0.536189,0.14001,0.000389356,0.672184,0.0306844,0.24993,0.326013,0.309413,
6,87.8832,160.992,67.245,0.545886,14.628,3.41433,86.699,1.07396,2.88596,12.3404,0.242993,2.92003,5.65405,25.6034,1.96542,3.56413,14.323,2.52646,31.2173,0.750494,1.10211,13.8672,0.140575,1.62573,4.78475,61.2903,1.0974,2.44053,0.667948,0.126606,22.9141,0.039148,0.399875,0.0758313,0.00739003,0.674086,0.0146061,0.626926,0.215646,0.513448,
7,87.8832,159.908,64.5422,0.549587,14.3934,3.41597,86.6657,1.05926,2.88832,12.0293,0.240371,2.9024,5.59129,25.2525,1.94527,3.52403,13.7125,2.52178,28.3937,0.708523,1.00293,12.7333,0.127751,1.61559,4.67745,60.6948,1.06836,2.36403,0.667948,0.126606,22.9141,0.039148,0.399875,0.0758313,0.00739003,0.674086,0.0146061,0.626926,0.215646,0.513448,
8,87.8832,159.65,65.1353,0.550475,14.3738,3.38628,86.6843,1.04667,2.88802,11.9802,0.23782,2.85748,5.61128,25.1673,1.92035,3.49628,13.9795,2.51292,28.6337,0.706371,1.01138,13.045,0.126921,1.6054,4.6904,60.6806,1.01619,2.35518,0.667948,0.126606,22.9141,0.039148,0.399875,0.0758313,0.000561921,0.674086,0.0146061,0.626926,0.215646,0.513448,
9,87.8832,153.857,165.017,0.5712,11.5408,2.98691,79.2808,0.958783,2.63491,9.77648,0.268734,2.67218,4.72115,33.9752,1.7415,3.29965,11.0784,2.34042,26.4879,0.738297,0.947321,11.6092,0.105737,1.2843,5.06258,164.585,0.765543,2.19459,0.441971,0.0451981,22.3848,0.0164742,0.370536,0.398927,0.0516825,0.686817,0.0734053,7.11868,0.185922,0.603125,
