Individual,Heave.rear.toe_angle_l,Heave.rear.half_track_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.motion_ratio_heave_l,Heave.rear.roll_center.z,Heave.rear.side_view_swing_arm_angle_l,
0,0.534234,2.92646,1.93922,0.0407686,10.452,0.2427,
1,0.534271,2.92662,1.93939,0.0407708,10.4516,0.242819,
2,0.534361,2.9267,1.93945,0.0406004,10.4515,0.242858,
3,0.534178,2.92646,1.93945,0.0406806,10.452,0.242724,
4,0.534179,2.92644,1.93946,0.0408292,10.4519,0.242709,
5,0.534201,2.92644,1.93964,0.0405715,10.452,0.242683,
6,0.534121,2.92644,1.93951,0.0405906,10.4522,0.242706,
7,0.534123,2.9263,1.9394,0.0408544,10.4523,0.242595,
8,0.534253,2.92645,1.93951,0.040598,10.4521,0.242673,
9,0.534121,2.9264,1.93946,0.0406778,10.4522,0.242687,
10,0.534234,2.92651,1.93947,0.0406935,10.452,0.242723,
11,0.534251,2.92651,1.93951,0.0407955,10.4518,0.242735,
12,0.534334,2.92669,1.93941,0.040739,10.4516,0.242848,
13,0.534413,2.927,1.93952,0.0405874,10.451,0.243101,
14,0.534185,2.92645,1.9394,0.0408749,10.4521,0.242677,
15,0.534222,2.92643,1.93953,0.0407106,10.4521,0.242671,
16,0.534345,2.92682,1.93937,0.0410092,10.4512,0.242981,
17,0.53425,2.92651,1.93946,0.0406977,10.4521,0.24271,
18,0.533983,2.92602,1.93957,0.0408602,10.4529,0.242424,
19,0.534344,2.92661,1.93955,0.0407125,10.4517,0.242775,
20,0.534222,2.9265,1.93974,0.0406495,10.4519,0.24275,
21,0.534433,2.92702,1.93936,0.0407175,10.4512,0.243087,
22,0.534221,2.92643,1.9395,0.0407908,10.4522,0.242679,
23,0.534135,2.9263,1.93958,0.040854,10.4523,0.242597,
24,0.534214,2.92649,1.93967,0.0406701,10.452,0.242737,
25,0.534371,2.92696,1.93946,0.040768,10.4511,0.243091,
26,0.534199,2.9265,1.93968,0.0406742,10.452,0.242733,
27,0.53423,2.92637,1.93945,0.040828,10.4523,0.242617,
28,0.534186,2.92652,1.93939,0.0410205,10.4519,0.242763,
29,0.534238,2.92644,1.93953,0.0409723,10.452,0.242676,
30,9.62479,6.4572,9.90805,2.33788,122.83,22.7888,
31,0.534266,2.92647,1.9394,0.0408865,10.4519,0.242704,
32,0.534192,2.92649,1.93947,0.0408107,10.4518,0.242737,
33,0.534211,2.92646,1.93947,0.0408321,10.4519,0.242695,
34,5.29832,5.10246,4.24873,0.356117,68.0466,27.2855,
35,0.534136,2.92645,1.93949,0.0407042,10.4521,0.242712,
36,0.534139,2.92648,1.93945,0.0407824,10.452,0.242756,
37,6.76679,6.71065,4.21956,2.06076,119.22,16.6297,
38,5.7135,1.15764,10.1328,1.53015,80.2969,14.4032,
39,0.534114,2.92644,1.93945,0.040715,10.4522,0.242726,
40,5.22303,3.82516,3.23117,2.09888,19.6128,5.11053,
41,0.5342,2.92647,1.93961,0.0408924,10.452,0.242688,
42,1.02593,4.98708,4.06434,1.80973,60.2467,7.35449,
43,0.0254802,6.99116,2.63212,1.24805,118.226,0.135365,
44,0.534245,2.92645,1.93947,0.0407388,10.4522,0.24269,
45,0.534191,2.92642,1.93946,0.0408602,10.4523,0.242674,
46,0.534223,2.9265,1.93949,0.0407796,10.4517,0.242748,
47,5.53505,1.24624,8.03163,1.89144,71.0691,14.3597,
48,0.534116,2.92644,1.93962,0.0408467,10.452,0.24272,
49,0.53416,2.92639,1.9395,0.0407746,10.4522,0.242662,
