Individual,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center.z,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.toe_angle_l,Heave.rear.motion_ratio_heave_l,
0,3.40782,0.225282,0.107384,4.91214,0.298555,
1,3.40792,0.225309,0.107256,4.9122,0.298526,
2,3.40782,0.225312,0.107374,4.91219,0.298529,
3,3.40735,0.225143,0.108594,4.91161,0.298556,
4,3.40766,0.225244,0.107856,4.91195,0.298548,
5,3.40782,0.225317,0.107369,4.91221,0.298558,
6,3.40783,0.225312,0.107406,4.91217,0.298555,
7,3.40781,0.2253,0.107513,4.9121,0.298557,
8,3.40789,0.225318,0.107332,4.91219,0.298558,
9,3.40779,0.225328,0.107422,4.91219,0.298561,
10,3.40784,0.225323,0.107296,4.91228,0.298552,
11,3.40778,0.225351,0.107389,4.91223,0.298555,
12,3.40781,0.225301,0.10763,4.912,0.298564,
13,3.40783,0.225307,0.107475,4.91214,0.298554,
14,3.40771,0.225279,0.107682,4.91208,0.298555,
15,3.40787,0.2253,0.107403,4.91219,0.298552,
16,3.40782,0.22536,0.107319,4.91229,0.298521,
17,3.40783,0.225339,0.107386,4.9122,0.298556,
18,3.40747,0.225183,0.108438,4.91166,0.298557,
19,3.40783,0.225336,0.107419,4.91218,0.298553,
20,3.40777,0.22533,0.107495,4.91217,0.298559,
21,3.40787,0.225331,0.107308,4.91226,0.298556,
22,3.40777,0.225342,0.107447,4.9122,0.298571,
23,3.40781,0.225343,0.107473,4.91215,0.298552,
24,3.40783,0.225351,0.107428,4.91217,0.29856,
25,3.40735,0.225189,0.108618,4.91162,0.298558,
26,3.40782,0.22536,0.107422,4.91218,0.298557,
27,3.40777,0.225316,0.107508,4.91218,0.298558,
28,3.40778,0.225317,0.107619,4.91207,0.298555,
29,3.40781,0.225354,0.10739,4.91224,0.298555,
30,3.40783,0.225339,0.10742,4.91215,1.26366,
31,3.40779,0.225309,0.107476,4.91217,0.298559,
32,2.56099,3.00575,109.011,8.11864,5.76319,
33,9.65734,117.535,32.8573,7.81595,6.70354,
34,6.96335,133.107,110.795,26.958,3.15902,
35,3.40781,0.225332,0.107515,4.91213,0.29852,
36,10.4056,37.8797,28.9989,26.0081,0.349678,
37,4.08734,66.8107,96.8888,4.68,6.39728,
38,3.40781,0.225327,0.107432,4.91219,0.502295,
39,5.01549,68.0219,78.2994,0.390813,2.22964,
40,7.71737,10.8233,124.308,9.97686,0.574866,
41,3.40782,0.225344,0.107325,4.91227,1.33981,
42,3.40785,0.225351,0.107407,4.91219,0.298556,
43,3.40774,0.225325,0.107664,4.9121,0.298554,
44,3.4078,0.225312,0.107416,4.91219,0.298532,
45,3.40782,0.225301,0.107509,4.91209,1.3683,
46,3.40786,0.22536,0.107262,4.91226,0.991953,
47,3.40776,0.225318,0.107577,4.91208,0.298556,
48,3.40786,0.22533,0.107385,4.91217,0.298555,
49,3.40782,0.225345,0.107509,4.91215,0.298554,
