Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.half_track_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.half_track_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.half_track_l.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,
0,29.9917,83.9248,25.8918,0.357364,7.20573,2.631,4.32225,1.83441,61.2688,6.66254,4.90824,3.17659,3.07179,1.27333,42.9191,6.74426,3.04026,0.11411,1.36793,0.3463,14.6682,0.239008,
1,29.575,68.7574,26.2037,0.430135,7.40336,3.30378,3.82182,1.85368,44.3741,8.00074,2.2786,1.96929,1.42599,0.862535,28.548,5.14147,2.84077,0.0138999,1.41857,0.418835,12.8229,0.021445,
2,25.4491,56.8042,25.8244,0.448014,7.91877,3.06713,3.63533,1.70403,32.6442,7.83477,2.05966,1.67708,0.995344,0.777644,25.0128,5.47783,2.96254,0.0705221,1.86693,0.418835,10.9635,0.458192,
3,25.4491,55.8349,30.031,0.455792,7.29335,3.6937,3.56644,1.91965,32.7283,6.63341,2.01481,3.56859,1.42985,1.11173,25.6721,5.15147,2.78933,0.0320685,1.20545,0.562052,10.9635,0.0207134,
4,25.2378,46.4409,21.0385,0.543439,7.34733,2.75069,3.31547,1.62385,25.704,5.69954,2.2447,2.36724,1.04914,0.852665,19.1897,4.4879,2.27118,0.047112,1.6451,0.421488,10.3178,0.178427,
5,19.4159,38.2446,12.3949,0.507678,7.34692,1.88426,3.17836,1.60572,20.3109,3.91843,2.17339,1.23959,0.581563,0.675106,10.2833,3.62634,2.78933,0.0856711,1.89487,0.421488,10.3178,0.265788,
6,19.4159,41.5735,25.4417,0.467027,7.57439,2.00033,3.05332,1.33632,22.7729,4.83622,2.23232,1.4236,0.853828,0.598246,20.7809,4.74001,2.78933,0.0856711,1.07644,0.421488,10.3178,0.265788,
7,19.4159,45.5306,39.4875,0.426438,7.45956,1.82087,3.43768,1.47831,26.4251,4.90908,2.05917,1.91391,1.21549,0.979696,30.7789,6.42266,2.64297,0.120634,2.41903,0.534399,10.2806,0.0848919,
8,19.4159,40.3702,32.6093,0.480947,6.8172,1.32938,3.27479,1.41384,23.9382,3.59683,2.12884,1.41468,1.14613,1.02252,28.2365,5.54787,2.52927,0.0313334,1.01369,0.362902,10.2806,0.0848919,
9,19.2156,37.8034,30.2591,0.508302,6.31852,1.29409,3.15113,1.49887,22.6553,2.88556,2.09139,1.20762,1.10949,1.09867,27.958,4.47625,2.60464,0.0517568,0.992908,0.205463,10.2806,0.0848919,
10,19.2156,39.5201,33.9301,0.486222,6.17927,1.80529,3.16378,1.32627,23.0185,4.02697,2.33975,1.88309,1.01572,0.530549,27.2968,6.54263,2.25023,0.0640565,1.41842,0.362902,10.2806,0.0848919,
11,19.2156,35.3068,29.3493,0.544245,6.08851,1.35959,3.06417,1.32703,20.3543,3.11319,2.3612,1.75973,0.857463,0.892888,23.4756,6.63345,2.1158,0.0840984,0.870882,0.362902,10.2806,0.0848919,
12,18.7781,32.9551,27.8487,0.569807,5.20588,1.39664,3.10209,1.39679,18.7152,3.13849,2.36581,1.73897,0.811348,1.07768,21.0112,6.14185,2.59641,0.101082,0.924142,0.326774,10.3178,0.0848919,
13,17.8147,36.0062,38.6601,0.494768,4.38839,1.47029,3.1666,1.2737,22.1468,3.56044,2.08224,1.94725,1.00741,1.16021,28.4557,5.72607,2.60464,0.15444,1.12312,0.238662,10.324,0.0848919,
14,17.8147,31.3375,34.0617,0.568479,3.69961,1.29353,3.17078,1.17489,18.6575,3.3412,1.43081,1.84773,0.850099,0.757293,25.8434,6.22659,2.60464,0.0160814,0.99954,0.261689,10.2782,0.0848919,
15,17.8147,29.5123,30.6438,0.603637,3.69484,1.32057,3.05931,1.15385,17.3685,2.91521,1.84269,2.17409,0.651472,1.01951,21.238,5.56552,2.54458,0.0178671,1.09552,0.261689,10.3096,0.0525289,
16,17.8147,34.4255,34.6012,0.517485,3.78323,0.939807,3.33202,0.98414,22.3634,3.02296,1.96921,1.56371,1.07317,0.891821,27.136,5.39047,2.17109,0.022658,1.22958,0.238557,10.324,0.0525289,
17,17.8147,29.5896,32.9029,0.602059,3.37175,0.927793,3.05145,1.08775,18.4131,2.73773,1.17778,1.51422,0.844789,0.831106,25.8327,5.44223,2.54458,0.022658,0.938025,0.326774,10.3282,0.0488538,
18,17.8147,32.262,36.2414,0.552189,3.49476,1.33598,3.08323,1.2449,20.1197,2.98341,1.51534,2.41665,0.869858,1.21185,26.8166,6.46062,2.54458,0.022658,0.99565,0.326774,10.3282,0.0488538,
19,17.7377,37.9617,41.4762,0.467251,3.94852,1.11018,3.38371,1.17142,24.5509,3.79697,2.3211,1.8922,1.1228,1.1184,32.0564,6.80318,2.54458,0.022658,0.993628,0.238406,10.3282,0.0525289,
20,17.7377,36.0056,37.9816,0.492636,3.50384,1.20467,3.09952,1.26466,24.3747,2.55821,1.75291,1.8883,1.14341,1.21112,30.8191,5.02352,2.2123,0.0186984,0.891748,0.326774,10.3665,0.0411989,
21,17.7377,35.3242,37.7379,0.502139,3.93367,1.57886,3.17931,1.05735,20.8143,4.76072,2.42012,2.48046,0.760925,0.900589,25.1831,9.6881,2.52179,0.0518199,2.23874,0.326774,10.3665,0.0814685,
22,17.5399,37.4608,41.797,0.468219,3.57358,1.23816,3.46648,1.1986,25.8937,2.09032,1.91962,2.05593,1.30715,1.36279,34.713,5.58898,2.52179,0.0449747,1.02408,0.258545,10.3665,0.0814685,
23,17.5399,34.1849,37.6733,0.513088,3.37545,1.31579,3.22104,1.2233,22.4532,2.59615,1.64572,2.13268,1.17712,1.40914,30.2475,4.76216,1.8555,0.0355604,1.09224,0.255425,10.4081,0.0284354,
24,17.5204,28.8718,31.7235,0.606836,3.33648,0.953043,3.18094,1.11366,18.1023,2.18535,1.89031,1.80119,0.810813,1.32999,23.5397,5.57846,2.52179,0.0847257,0.921644,0.258545,10.3731,0.0547778,
25,17.4215,31.0956,31.4093,0.560256,3.25612,1.17479,2.91404,1.06632,20.7699,1.91438,1.67177,1.83326,0.84368,1.24141,24.7737,4.30992,2.21569,0.284178,0.9356,0.258545,10.3731,0.041119,
26,17.4215,37.6791,37.8391,0.462366,3.2394,1.49988,3.38082,0.944411,24.4102,4.20436,1.51828,2.24388,1.11291,1.06464,27.4336,8.03883,2.347,0.0576578,1.02372,0.258545,10.3731,0.041119,
27,17.4213,26.9016,24.4733,0.647593,3.09737,1.01935,3.21519,0.854767,16.5575,2.15737,1.2036,1.63545,0.685193,1.12722,17.879,5.88472,2.51652,0.0793964,2.10308,0.258545,10.3731,0.041119,
