Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,
0,26.5704,104.417,27.5868,0.254465,8.4101,7.21236,51.3045,35.4658,2.02377,7.44147,7.54936,40.8476,34.8821,2.25234,0.342329,3.04026,4.49492,1.19504,0.511717,
1,25.1967,82.7573,25.7971,0.304465,7.32871,6.99385,36.8899,29.5142,2.03068,3.94682,1.66709,29.3152,18.4674,0.938706,0.135363,3.04026,4.49492,0.691891,0.585601,
2,22.9692,79.4921,57.351,0.28895,8.6402,6.53723,28.2502,34.1261,1.93846,5.22337,1.72269,29.5631,30.1391,1.10726,0.828383,2.39974,4.49492,1.69337,0.426853,
3,22.9692,51.6746,18.7792,0.444497,7.30666,6.40639,15.9902,20.3469,1.62441,3.68215,1.18887,15.8617,16.2483,1.04415,0.828383,3.04026,2.28935,1.69337,0.426853,
4,19.979,43.3953,25.5869,0.460397,6.66765,6.41241,14.9748,13.4328,1.90762,3.89129,1.54812,18.77,13.2139,1.27171,0.205996,3.30144,2.28935,0.250166,0.426853,
5,14.9497,41.4769,38.5581,0.360435,6.23561,6.35753,11.5184,15.6239,1.74147,3.97901,1.28142,13.1608,24.4197,1.10369,0.145439,2.76186,1.24211,0.797661,0.426853,
6,14.9497,40.0454,35.3242,0.37332,5.4589,6.00702,12.7791,14.1409,1.65953,2.83567,1.3235,18.1156,20.4017,1.01728,0.145439,2.15656,1.24211,0.797661,0.426853,
7,14.9497,46.4767,59.4335,0.321661,6.42592,6.14652,17.7821,14.2052,1.91696,6.19043,1.69505,32.7334,25.2371,1.04888,0.0248484,2.04505,1.82683,0.797661,0.426853,
8,14.9497,33.8662,51.3227,0.441436,5.90505,6.21361,9.2494,10.7942,1.70391,4.60439,1.30606,28.82,20.1796,0.860544,0.828383,3.73608,0.830778,0.797661,0.426853,
9,14.9497,34.9525,42.4469,0.427715,5.38417,6.1113,8.3613,13.2472,1.84854,3.83098,1.16353,12.8244,28.632,1.07438,0.559159,3.82594,0.73959,0.797661,0.454249,
