Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.half_track_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,0.337137,0.00367191,1.38113,44.6801,0.00974781,34.1911,0.0263631,0.317851,
1,0.336654,0.00372185,1.38106,44.6782,0.00975679,34.1931,0.0264414,0.318176,
2,0.337143,0.00373985,1.38113,44.6801,0.00971,34.191,0.0264184,0.317845,
3,0.337015,0.00366403,1.38111,44.6794,0.00971681,34.1918,0.0263873,0.317936,
4,0.336654,0.00374805,1.38105,44.6781,0.00978532,34.1932,0.0264296,0.318172,
5,0.336905,0.00373188,1.3811,44.6793,0.00975463,34.192,0.0263712,0.318,
6,0.33726,0.00371745,1.38116,44.6807,0.00974091,34.1903,0.0263925,0.317766,
7,0.337142,0.00374648,1.38113,44.6801,0.00971349,34.191,0.0264127,0.317847,
8,0.337057,0.00374801,1.38111,44.6796,0.00970049,34.1916,0.0264375,0.317905,
9,0.337187,0.00375615,1.38113,44.6801,0.00969894,34.1909,0.026416,0.317814,
10,0.33723,0.00370649,1.38115,44.6805,0.00971406,34.1907,0.0263625,0.317787,
11,0.336987,0.00376394,1.38111,44.6794,0.0097055,34.1917,0.0264178,0.317947,
12,0.336622,0.00380782,1.38104,44.6779,0.00975646,34.1934,0.0264139,0.318191,
13,0.336981,0.00367464,1.3811,44.6793,0.00971363,34.192,0.0263787,0.317958,
14,0.33722,0.00374092,1.38114,44.6803,0.00969096,34.1908,0.0264237,0.317794,
15,0.336642,0.00378147,1.38104,44.6778,0.00970662,34.1935,0.0263986,0.318181,
16,0.337148,0.00375629,1.38113,44.6802,0.00971589,34.191,0.0264048,0.317839,
17,0.337144,0.00372495,1.38114,44.6802,0.00972689,34.1909,0.0264313,0.317846,
18,0.337046,0.00379289,1.38112,44.6798,0.00975247,34.1913,0.02641,0.317906,
19,0.337065,0.00384151,1.38112,44.6798,0.00973792,34.1913,0.0264014,0.31789,
20,0.336765,0.00370106,1.38107,44.6784,0.0097406,34.1929,0.0263737,0.3181,
21,0.336854,0.00374009,1.38109,44.679,0.00976388,34.1923,0.0264004,0.318035,
22,0.337156,0.00373304,1.38114,44.6803,0.00975127,34.1908,0.0263309,0.317832,
23,0.336486,0.00373544,1.38102,44.6774,0.00977763,34.194,0.0264316,0.318286,
24,0.336901,0.00382416,1.38109,44.679,0.00972899,34.1922,0.0263518,0.317998,
25,0.336583,0.00380726,1.38104,44.6778,0.00974496,34.1935,0.0264141,0.318216,
26,0.336676,0.00376185,1.38106,44.6782,0.00974807,34.1931,0.0264326,0.318157,
27,0.337084,0.00379747,1.38113,44.68,0.00974981,34.1911,0.0264122,0.317879,
28,0.337171,0.00375614,1.38114,44.6802,0.00971726,34.1909,0.0264283,0.317825,
29,0.337111,0.00373442,1.38113,44.6801,0.00971492,34.1911,0.0264378,0.317865,
30,2.68365,3.26553,0.93325,30.9106,0.610778,52.9057,2.43825,3.42864,
31,0.300548,3.39682,5.18948,152.06,20.561,8.29522,3.76562,1.45218,
32,0.146855,3.8145,5.24601,154.151,20.6845,8.22932,1.85701,3.53729,
33,0.336912,0.00373154,1.3811,44.6793,0.00973831,34.192,0.026349,0.317994,
34,4.05731,3.68899,5.98897,178.687,1.00573,12.1589,2.45613,2.23688,
35,3.9253,1.43231,4.87683,134.398,20.0094,8.87064,2.4402,4.50569,
36,2.71565,4.44694,4.97765,141.388,20.2936,8.17567,6.15022,2.04791,
37,4.28942,3.42565,5.95686,177.905,0.705875,12.1722,3.27187,2.41224,
38,0.673484,4.62887,3.23335,82.9675,32.9949,10.406,6.10525,2.06544,
39,4.28911,4.05028,5.39857,157.693,8.88785,11.922,3.15447,4.5483,
40,0.280582,0.0358483,1.50864,47.9414,1.9388,31.1229,0.0239496,0.317141,
41,0.286375,3.17096,2.85435,79.9288,33.6049,19.8717,3.09449,1.42799,
42,0.672319,4.07423,6.61797,194.878,0.264496,11.1631,4.64751,2.57962,
43,1.59117,3.04563,3.52618,90.067,32.9893,12.3034,5.26648,2.65267,
44,4.13592,4.19988,5.99928,179.105,0.847426,12.1939,2.56796,4.23548,
45,0.336555,0.00371873,1.38104,44.6778,0.00976596,34.1936,0.0263818,0.318238,
46,0.518437,1.84226,1.41092,45.4199,0.0348159,33.1565,0.322086,0.367657,
47,2.57628,5.33115,0.919695,30.726,0.49818,56.7947,0.579711,3.48463,
48,0.489836,0.409199,3.00232,86.5905,23.0443,2.55749,0.0382343,0.311702,
49,0.33711,0.00370513,1.38107,44.6786,0.00935605,34.1939,0.0264098,0.317886,
