Individual,Heave.front.half_track_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_gain_roll_r,Roll.front.roll_center.y,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,0.914075,0.662725,0.139733,20.2957,22.857,0.133189,0.758529,0.831971,0.320569,
1,0.948314,0.517382,0.0801874,29.3792,0.132007,0.114361,19.9525,0.240684,0.418778,
2,0.906432,0.264144,0.0423383,28.2814,0.412786,0.0822937,21.0883,0.617202,0.256335,
3,0.860984,0.2977,0.00679248,27.5653,0.345044,0.0495373,22.262,0.277658,0.341599,
4,0.87364,2.94316,0.477596,15.4275,23.2597,0.0688182,3.80433,2.07896,3.16186,
5,0.943295,0.372032,0.0849751,29.3488,0.315909,0.109522,20.5375,0.070087,0.454341,
6,0.947626,0.520598,0.0174608,29.3493,0.688159,0.114011,19.9111,0.470443,0.317458,
7,0.899744,0.177542,0.0689948,28.1846,1.27046,0.0779391,21.3292,0.0521588,0.369245,
8,0.963512,0.457605,0.0121495,30.0217,0.347869,0.125221,20.0763,0.178332,0.296638,
9,0.921911,0.632163,0.0894257,28.7135,0.0120149,0.0935899,20.9081,0.683683,0.481267,
10,0.885432,0.310597,0.0913513,27.9456,0.800064,0.0660097,21.8696,0.0578424,0.538555,
11,0.960175,0.017793,0.054398,29.8176,0.889373,0.122836,19.8989,0.511396,0.39892,
12,0.902387,0.365516,0.134094,28.0453,1.34829,0.0789786,20.8432,0.482468,0.509122,
13,0.88992,0.258603,0.026393,27.921,1.51766,0.0708242,21.3554,0.371595,0.303511,
14,0.921693,1.43392,0.00524076,28.6784,0.404862,0.0938159,20.8003,0.136542,0.306121,
15,0.963809,0.0352931,0.140425,29.8764,0.796862,0.125446,19.6223,0.65152,0.579238,
16,0.931229,0.432515,0.010483,28.8925,1.58944,0.101332,20.4491,0.091571,0.295455,
17,0.94374,0.0500313,0.115577,29.3481,0.0776357,0.110188,20.4686,1.2154,0.483728,
18,0.942146,0.901172,0.0319397,29.308,0.518175,0.108841,20.5422,0.269249,0.300338,
19,0.888293,0.597146,0.0936437,27.8669,1.11823,0.068607,21.4017,0.396914,0.534389,
20,0.870089,0.519256,0.00865231,27.6182,1.1757,0.0560704,21.8851,0.593937,0.373498,
21,0.96959,0.178031,0.00581358,30.1959,1.17989,0.130388,19.7522,0.487429,0.283558,
22,0.96483,0.417738,0.0402495,29.9565,1.57046,0.126495,19.7362,0.0521458,0.354833,
23,0.928294,0.0462413,0.0875441,28.8105,1.72352,0.100236,20.3881,0.665923,0.477098,
24,0.941381,0.64982,0.160267,29.292,0.367504,0.107552,20.6465,0.528405,0.591094,
25,0.991501,0.510385,0.110402,31.0924,0.114164,0.146587,19.5219,0.262422,0.606516,
26,0.931125,2.5911,0.0370953,28.8728,0.148492,0.101337,20.3659,0.0739254,0.307093,
27,0.926875,1.74833,0.00974283,28.839,0.130849,0.0975318,20.7644,0.788293,0.267947,
28,0.896205,0.028198,0.013883,28.0226,1.36055,0.0754002,21.1551,1.66823,0.367058,
29,0.969765,1.15789,0.0649398,30.2003,0.349278,0.13015,19.7741,0.653581,0.30913,
30,0.901856,0.511064,0.032806,28.1569,2.13704,0.0790024,21.1667,0.193601,0.33186,
31,0.976347,1.86824,0.018434,30.3908,1.33644,0.135818,19.4119,0.262045,0.348688,
32,0.990506,1.71261,0.0815215,31.0512,0.100793,0.145923,19.4796,1.38248,0.300395,
33,2.30344,3.36054,0.404469,130.771,3.0175,1.14057,11.0315,4.88217,1.53607,
34,0.885949,0.354459,0.0908646,27.8907,0.624076,0.0668921,21.6455,0.26772,0.353914,
35,0.238221,3.61859,0.722915,68.2341,0.256714,0.647326,730.385,3.69932,3.5184,
36,0.247718,4.81329,0.167065,62.311,0.117327,0.471104,258.843,1.0047,2.00946,
37,0.911943,0.38512,0.0196152,28.3926,0.636374,0.0868333,20.8689,0.388054,0.303161,
38,1.0308,1.88399,0.301604,23.8042,33.4845,0.266564,16.7947,1.13769,0.513448,
39,0.916278,0.47109,0.0183983,28.5464,0.172292,0.0896276,20.948,0.14862,0.28801,
40,0.904383,0.78051,0.111645,28.151,0.437175,0.0808989,20.8666,1.00644,0.577621,
41,2.37689,4.05552,0.386168,137.539,0.344699,1.20081,11.1399,1.63337,3.03416,
42,2.38804,4.80351,0.353126,138.443,0.0524927,1.20899,11.1001,5.48907,1.66513,
43,0.918368,0.713001,0.0331946,28.5385,1.20962,0.0919856,20.6641,0.448322,0.31643,
44,2.37061,4.47905,0.420022,136.974,0.231545,1.19563,11.1951,6.64031,1.4877,
45,0.988777,0.372123,0.156149,30.9362,2.17701,0.147026,19.0133,0.148792,0.61622,
46,0.230628,2.57191,0.584208,65.2115,0.199463,0.643334,1329.01,2.45344,3.21465,
47,0.938057,0.681382,0.284739,29.0883,1.02997,0.107805,20.1246,1.0014,0.97378,
48,0.509704,4.54623,0.631369,38.3238,3.2276,0.225986,35.6507,2.03562,1.07707,
49,0.935816,0.574078,0.117462,28.9739,2.3973,0.103238,20.4502,0.0281171,0.481875,
