Individual,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Roll.front.camber_angle_gain_roll_r,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.581505,24.4411,0.47963,0.00242127,0.147092,0.0682631,14.1708,0.340983,0.0595213,0.984505,
1,0.581529,24.4409,0.479624,0.00241945,0.146354,0.0682495,14.1715,0.341049,0.059886,0.984489,
2,0.581114,24.4413,0.479723,0.00243853,0.147616,0.0682563,14.1709,0.340921,0.0592157,0.984598,
3,0.58204,24.4409,0.479486,0.0023898,0.146524,0.0682331,14.1717,0.341021,0.0595139,0.984459,
4,0.581787,24.4413,0.479551,0.00230279,0.146918,0.0682867,14.1707,0.340999,0.0597926,0.984517,
5,0.58164,24.4413,0.479805,0.00239064,0.147418,0.0682709,14.1706,0.340962,0.0595834,0.984469,
6,0.581666,24.441,0.48,0.00238366,0.148105,0.0682259,14.1706,0.340889,0.059119,0.984624,
7,0.58176,24.441,0.479644,0.00241348,0.146987,0.0682231,14.1718,0.340991,0.0594567,0.984407,
8,0.58135,24.4414,0.479974,0.00241283,0.148077,0.0682633,14.1705,0.34091,0.0593698,0.984492,
9,0.581446,24.4413,0.479948,0.00235785,0.147593,0.0682556,14.1711,0.340933,0.0592348,0.984455,
10,0.581615,24.4414,0.479748,0.00239164,0.146399,0.0682799,14.1718,0.341017,0.0595749,0.984465,
11,0.581208,24.4415,0.479713,0.00242752,0.147134,0.0682639,14.1719,0.340953,0.059326,0.98441,
12,0.581929,24.4409,0.479828,0.00240564,0.147579,0.0682271,14.1709,0.340951,0.0596281,0.98454,
13,0.581894,24.4412,0.479554,0.00240332,0.146565,0.0682439,14.1721,0.341022,0.059576,0.984373,
14,0.581832,24.4412,0.479602,0.00236336,0.14622,0.0682528,14.1722,0.34106,0.0598261,0.984333,
15,0.582045,24.441,0.479912,0.00239401,0.146371,0.0682381,14.1719,0.341036,0.0596428,0.984442,
16,0.581808,24.4411,0.480101,0.00239114,0.14813,0.0682534,14.1701,0.340914,0.0596072,0.984563,
17,0.58227,24.4411,0.479548,0.0024052,0.146902,0.0682508,14.1714,0.340981,0.0594679,0.984546,
18,0.582029,24.4412,0.47973,0.00237653,0.147017,0.068254,14.1714,0.34098,0.0594637,0.984438,
19,0.581794,24.4414,0.479706,0.00240696,0.147614,0.0682686,14.171,0.340945,0.0594189,0.984407,
20,0.581341,24.4414,0.480277,0.00238587,0.148906,0.0682459,14.1703,0.340817,0.0587338,0.984654,
21,0.581817,24.4416,0.479664,0.00237065,0.147337,0.0682887,14.1711,0.34095,0.0593696,0.984468,
22,0.581675,24.4413,0.480131,0.00238211,0.148565,0.0682491,14.1703,0.340847,0.0589131,0.984626,
23,0.581873,24.4415,0.479747,0.00237659,0.147872,0.0682651,14.1711,0.340906,0.0589918,0.984421,
24,0.58206,24.4412,0.479476,0.00227593,0.146752,0.0682241,14.1726,0.340987,0.0591386,0.984393,
25,0.581316,24.4415,0.479943,0.00238514,0.148319,0.0682537,14.171,0.340872,0.0589903,0.984488,
26,0.581258,24.4415,0.479524,0.00240444,0.146438,0.0682582,14.1727,0.341015,0.0596358,0.984354,
27,0.580878,24.442,0.480111,0.00234155,0.149304,0.0682862,14.1703,0.340787,0.0585156,0.984559,
28,0.581627,24.4412,0.480191,0.00239443,0.148845,0.0682273,14.1704,0.340826,0.0587445,0.984625,
29,0.581892,24.4415,0.479646,0.00238417,0.148061,0.0682654,14.1709,0.340895,0.059048,0.984473,
30,0.581044,24.4416,0.479875,0.00238061,0.148445,0.0682602,14.1709,0.340844,0.0585148,0.98454,
