Individual,Heave.front.side_view_swing_arm_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.00117901,0.00365871,0.0845919,0.0272214,0.0204402,0.0263748,29.9392,0.326789,22.1263,0.0285125,0.0152337,1.47681,
1,0.00119142,0.00364122,0.0845743,0.027139,0.0207075,0.0263646,29.94,0.326779,22.1254,0.028512,0.0152125,1.47684,
2,0.00118335,0.0036634,0.0846183,0.0271043,0.0203554,0.0264087,29.9396,0.326784,22.1261,0.0285118,0.0152041,1.47683,
3,0.00119286,0.0036768,0.0846089,0.0272066,0.020276,0.026467,29.9397,0.326783,22.1259,0.0285088,0.0152318,1.47679,
4,0.00124578,0.00372548,0.0845687,0.0270961,0.0206666,0.0263884,29.9399,0.326779,22.1254,0.0285102,0.0151935,1.47684,
5,0.001213,0.00368221,0.084589,0.0271056,0.0207222,0.0264236,29.9397,0.326781,22.1256,0.0285154,0.0152126,1.47682,
6,0.0012217,0.00368994,0.0845836,0.0271285,0.0204666,0.0265234,29.9394,0.326787,22.1261,0.0285117,0.0152214,1.47681,
7,0.00120887,0.0036677,0.0845636,0.0271233,0.0202724,0.0265279,29.9394,0.326788,22.1263,0.0285059,0.0152358,1.47684,
8,0.00117399,0.0036715,0.0845608,0.0272489,0.0210192,0.0263853,29.9397,0.32678,22.1254,0.0285146,0.0151849,1.47677,
9,0.00123933,0.00364566,0.0845552,0.027111,0.0204109,0.0265478,29.9395,0.326786,22.1261,0.0285075,0.0152472,1.47685,
10,0.00117382,0.00363241,0.0845976,0.0271414,0.0203162,0.0266119,29.9398,0.326782,22.1258,0.0285084,0.0152349,1.47684,
11,0.00115803,0.00367421,0.0845948,0.0270918,0.0207044,0.0265325,29.9399,0.326781,22.1255,0.0285165,0.0152153,1.47683,
12,0.00119593,0.003677,0.0846092,0.0270884,0.0203329,0.0265831,29.9399,0.326781,22.1258,0.0285107,0.0152181,1.47683,
13,0.00118582,0.0036421,0.0845816,0.0270911,0.0204645,0.026524,29.9395,0.326787,22.1261,0.0285122,0.0152363,1.47686,
14,0.0012245,0.00365453,0.0846295,0.0271211,0.020356,0.0265905,29.9398,0.326781,22.1257,0.0285141,0.0152372,1.47683,
15,0.00119213,0.00380373,0.0846391,0.0270732,0.0206448,0.0264297,29.9398,0.326782,22.1257,0.0285228,0.0151979,1.4768,
16,0.00121164,0.0037125,0.0845969,0.0270691,0.0204766,0.0264789,29.9395,0.326787,22.126,0.0285146,0.0152428,1.47685,
17,0.00122699,0.00365501,0.0845756,0.027122,0.0209479,0.0264848,29.9398,0.32678,22.1254,0.0285177,0.0152336,1.47682,
18,0.0011914,0.00366311,0.0845929,0.02729,0.0206869,0.0265295,29.9397,0.326781,22.1256,0.028514,0.0151966,1.47678,
