Individual,Heave.front.side_view_swing_arm_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.king_pin_inclination_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.0280554,0.0227699,0.0902653,0.342524,5.82011,0.0154529,0.0504337,29.4944,0.338782,21.7037,0.24345,0.0136371,1.64303,
1,0.0265067,0.0223074,0.0896255,0.344044,5.82091,0.0161522,0.0506232,29.5298,0.338223,21.6707,0.242487,0.0134275,1.64178,
2,0.0281359,0.0226011,0.0894042,0.344654,5.8214,0.0157639,0.0498582,29.5202,0.338354,21.6781,0.243055,0.0134803,1.64174,
3,0.0277623,0.0226697,0.0898349,0.346679,5.82034,0.0158419,0.0499292,29.5021,0.338637,21.6949,0.243445,0.0134686,1.64152,
4,0.0249825,0.0227216,0.0902389,0.344058,5.81991,0.0177967,0.050154,29.5169,0.338433,21.6843,0.242289,0.0135509,1.64196,
5,0.0272039,0.022761,0.0897769,0.34269,5.81886,0.0189636,0.0500363,29.4939,0.338795,21.704,0.243989,0.013568,1.64293,
6,0.0284958,0.0223534,0.088644,0.344928,5.82053,0.0163741,0.0504497,29.522,0.338343,21.6767,0.243679,0.0134864,1.64157,
7,0.0257761,0.0223098,0.0910638,0.343236,5.81912,0.0169511,0.0505319,29.4919,0.338823,21.7092,0.242837,0.0134187,1.64286,
8,0.025289,0.0222522,0.0904238,0.343518,5.81951,0.0183229,0.0512845,29.5128,0.338471,21.6883,0.242292,0.0134908,1.64218,
9,0.0270276,0.0225718,0.0903244,0.343124,5.81913,0.0182319,0.0505741,29.4942,0.338777,21.7047,0.243326,0.0134519,1.6428,
10,0.0273033,0.0227539,0.0898665,0.345277,5.82103,0.0156641,0.0498409,29.5125,0.338502,21.6869,0.243093,0.0134702,1.642,
11,0.026953,0.0227523,0.0897569,0.343456,5.81931,0.0176847,0.0508098,29.4931,0.3388,21.7056,0.243964,0.0134716,1.64271,
12,0.0259016,0.0227563,0.0898362,0.342604,5.8199,0.0176417,0.0504588,29.5053,0.338628,21.6955,0.243502,0.0135599,1.64282,
13,0.0297826,0.0226085,0.0892653,0.345816,5.82074,0.0161041,0.0503021,29.5213,0.33836,21.6755,0.243426,0.0135295,1.6417,
14,0.0295495,0.0228788,0.0914794,0.345693,5.82084,0.0161422,0.0505493,29.5317,0.338165,21.6658,0.240523,0.0136824,1.64142,
15,0.0265705,0.0223343,0.0882499,0.343922,5.82029,0.0171499,0.0496534,29.5215,0.338387,21.6809,0.24455,0.0134154,1.64177,
16,0.0258223,0.0223132,0.0891212,0.342607,5.819,0.0184777,0.0507632,29.4884,0.338853,21.7126,0.244566,0.013423,1.64285,
17,0.0245699,0.0223139,0.0893855,0.341649,5.8191,0.0184264,0.0516211,29.4926,0.338825,21.7091,0.244365,0.0137003,1.64315,
18,0.0291518,0.0228392,0.0905881,0.344496,5.82039,0.0166065,0.0503877,29.5198,0.338373,21.6787,0.241943,0.0137688,1.64184,
19,0.0258036,0.0225852,0.0909684,0.344264,5.81899,0.0179996,0.0504554,29.4979,0.338724,21.703,0.242397,0.0134484,1.64236,
20,0.0264998,0.0225621,0.0911308,0.342438,5.81852,0.0194701,0.0505704,29.4723,0.339127,21.7264,0.243345,0.0136337,1.64334,
21,0.0239829,0.0226212,0.0917928,0.344548,5.82115,0.0134477,0.0518586,29.494,0.338767,21.7097,0.24169,0.0134115,1.64243,
22,0.0257937,0.022668,0.0896794,0.3451,5.82162,0.0152172,0.0501275,29.5242,0.338337,21.679,0.242805,0.0134785,1.64148,
23,0.0295457,0.0224175,0.091841,0.345061,5.81878,0.0178961,0.0503002,29.4936,0.338785,21.7033,0.241868,0.013527,1.64254,
24,0.0245281,0.0223066,0.0917699,0.343757,5.81799,0.0198398,0.0502507,29.4833,0.338957,21.7182,0.242225,0.0134552,1.64284,
25,0.0238489,0.0228291,0.0916963,0.345838,5.82035,0.0169061,0.0497095,29.5288,0.338262,21.6748,0.240783,0.0137849,1.64198,
26,0.027601,0.0222094,0.0907757,0.343785,5.8192,0.0178963,0.0497905,29.4941,0.338782,21.7066,0.242841,0.0134062,1.64277,
27,0.0253351,0.0230236,0.0941935,0.345581,5.82157,0.0147781,0.0504113,29.526,0.338251,21.677,0.238398,0.0135059,1.64173,
28,0.0253738,0.0228345,0.0904107,0.345846,5.82047,0.0170695,0.0510169,29.5336,0.338179,21.6681,0.241742,0.0135985,1.64158,
