Individual,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.king_pin_inclination_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.roll_center.z,Roll.front.roll_center.y,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.camber_angle_l,Steering.front.ackerman_angle,
0,0.002735,0.272742,0.106326,0.974816,0.409705,0.538176,1.79031,7.76271,17.8665,0.453787,0.312671,1.25047,0.0367562,
1,0.00275305,0.272968,0.10657,0.970749,0.418605,0.538109,1.7898,7.75927,17.8655,0.453818,0.312703,1.25052,0.036394,
2,0.0027577,0.272779,0.10668,0.969043,0.422426,0.538226,1.78988,7.75996,17.8627,0.453806,0.312756,1.25052,0.036326,
3,0.00271851,0.272782,0.106073,0.97144,0.41716,0.538137,1.79106,7.76103,17.864,0.453796,0.312717,1.25049,0.0365196,
4,0.00272005,0.272747,0.106296,0.976608,0.40574,0.538191,1.79046,7.76248,17.8689,0.453794,0.312677,1.25045,0.0368394,
5,0.00272923,0.272726,0.10646,0.974054,0.41136,0.538139,1.79032,7.76167,17.8667,0.453799,0.312729,1.25047,0.0366998,
6,0.00273844,0.27303,0.106344,0.971268,0.417506,0.538201,1.79032,7.75996,17.8651,0.453809,0.312644,1.25051,0.0364283,
7,0.00273812,0.272899,0.106507,0.969115,0.422214,0.538184,1.79029,7.75913,17.8633,0.453814,0.31274,1.25051,0.0364557,
8,0.00272389,0.272633,0.106326,0.974575,0.410226,0.538273,1.79042,7.76208,17.8669,0.453794,0.312738,1.25047,0.036784,
9,0.0027162,0.272801,0.106297,0.967924,0.42491,0.538275,1.7905,7.76054,17.8605,0.453795,0.312735,1.25053,0.0364226,
10,0.00272583,0.272949,0.106369,0.988509,0.379422,0.538274,1.78961,7.76207,17.8838,0.453828,0.312574,1.25042,0.0374414,
11,0.00270805,0.272695,0.106168,0.97465,0.410069,0.538163,1.79074,7.76282,17.8663,0.453787,0.312703,1.25048,0.0366776,
12,0.00271395,0.272677,0.106345,0.967994,0.424751,0.538261,1.79067,7.76066,17.8604,0.453794,0.312787,1.2505,0.036424,
13,0.0027216,0.272711,0.106389,0.970859,0.418422,0.538232,1.7904,7.76037,17.8642,0.453804,0.312766,1.25051,0.0365759,
14,0.0027032,0.272689,0.106262,0.970649,0.418883,0.538129,1.79082,7.76133,17.8629,0.453793,0.312755,1.25048,0.0366299,
15,0.00274335,0.272905,0.106504,0.997783,0.359055,0.538229,1.78922,7.76457,17.8924,0.453823,0.312487,1.25034,0.0379152,
16,0.00276108,0.272949,0.106673,0.968905,0.422712,0.538194,1.78983,7.75973,17.8628,0.453808,0.312694,1.25052,0.0363988,
17,0.00272868,0.272667,0.106371,0.969806,0.420781,0.53819,1.79054,7.76145,17.8621,0.453789,0.312747,1.25051,0.0363426,
18,0.00274697,0.272901,0.1063,0.971025,0.418032,0.538184,1.79031,7.76075,17.8642,0.453801,0.312688,1.25051,0.0365137,
19,0.00271499,0.272821,0.10621,0.971522,0.416955,0.538183,1.79083,7.76145,17.8638,0.453794,0.312701,1.25048,0.0365224,
20,0.00272473,0.272882,0.106281,0.974744,0.409841,0.538175,1.79047,7.76244,17.8668,0.453791,0.312637,1.25048,0.0367467,
21,0.00274933,0.272859,0.106548,0.974344,0.410688,0.538278,1.78998,7.76042,17.8685,0.453814,0.312705,1.25047,0.0366686,
22,0.00271061,0.2731,0.106192,0.967261,0.42633,0.538222,1.79073,7.75947,17.8607,0.453807,0.31267,1.25053,0.0362892,
23,0.00274854,0.273104,0.106624,0.974534,0.410226,0.538123,1.78977,7.7596,17.8697,0.453824,0.312634,1.25048,0.0366903,
24,0.00270811,0.272549,0.106016,0.965075,0.431265,0.538223,1.7914,7.76275,17.8547,0.453763,0.312783,1.25052,0.0362416,
25,0.00273899,0.273086,0.106713,0.967897,0.424904,0.538243,1.78985,7.75823,17.8629,0.453822,0.312695,1.25052,0.0364214,
26,0.00274675,0.272768,0.106865,0.969581,0.421207,0.538231,1.78966,7.75907,17.8643,0.453817,0.312782,1.25051,0.0365089,
27,0.00270906,0.272862,0.106163,0.970877,0.418404,0.538136,1.79086,7.76186,17.8626,0.453786,0.312664,1.2505,0.0365782,
28,0.00272225,0.272841,0.10631,0.966806,0.427395,0.538241,1.7907,7.76045,17.8592,0.453793,0.312728,1.25052,0.0363611,
29,0.00273423,0.272629,0.106477,0.968932,0.422713,0.538172,1.7905,7.76256,17.86,0.453776,0.312739,1.25051,0.0362944,
30,0.0027239,0.273058,0.106216,0.971439,0.417111,0.538277,1.79077,7.76056,17.8648,0.453804,0.312638,1.25049,0.0364389,
31,0.00271901,0.272722,0.106097,0.97171,0.41653,0.538181,1.79098,7.76054,17.865,0.453804,0.312764,1.2505,0.0364592,
32,0.00274394,0.273808,0.106428,0.971287,0.417453,0.538186,1.79019,7.7617,17.8637,0.453792,0.312309,1.2505,0.0364876,
33,0.00274597,0.272717,0.106504,0.971398,0.417272,0.53822,1.79013,7.76152,17.864,0.453792,0.312712,1.25051,0.0363501,
34,0.882975,13.801,67.0642,7.52441,28.5297,0.965031,30.4355,784.297,27.6825,1.516,0.819124,4.14365,3.12101,
35,0.0027177,0.272688,0.106193,0.971288,0.417495,0.538272,1.79064,7.76091,17.864,0.453798,0.312754,1.25051,0.0365215,
36,4.1984,1.85513,21.7663,9.63854,24.8047,3.55455,126.706,548.351,14.0324,0.875655,2.40582,1.74452,1.18052,
37,0.0027127,0.272673,0.106082,0.971422,0.417208,0.538138,1.79095,7.76173,17.8633,0.453788,0.312737,1.2505,0.0365124,
38,0.00273193,0.272659,0.106112,0.971173,0.417788,0.538232,1.79096,7.76232,17.8625,0.453781,0.312721,1.25049,0.0364721,
39,0.00273115,0.272555,0.106241,0.971467,0.417135,0.538203,1.7907,7.76279,17.8627,0.453778,0.312747,1.2505,0.0363241,
40,0.00275392,0.273669,0.106535,0.97138,0.417231,0.538236,1.79008,7.76024,17.8651,0.453808,0.312403,1.25049,0.0365121,
41,0.00274063,0.272978,0.106374,0.971225,0.417553,0.538107,1.79023,7.75807,17.8671,0.453831,0.312731,1.25052,0.0364357,
42,0.00274323,0.273151,0.106715,0.968689,0.423163,0.53812,1.78989,7.75843,17.8637,0.453823,0.312667,1.25052,0.0363593,
43,0.00273112,0.272941,0.106103,0.969054,0.422425,0.538175,1.79112,7.76119,17.8609,0.45379,0.312666,1.2505,0.0364638,
44,0.00273561,0.273942,0.106385,0.971489,0.416989,0.538132,1.79026,7.75967,17.8655,0.453812,0.312302,1.25048,0.0365757,
45,0.00273352,0.272918,0.106487,0.971286,0.417506,0.538236,1.79009,7.76076,17.8642,0.453798,0.312649,1.2505,0.0366038,
46,0.00271737,0.272888,0.105992,0.971176,0.417769,0.538163,1.79107,7.76223,17.8624,0.453781,0.312637,1.2505,0.0366041,
47,3.34042,5.22941,54.3552,2.95041,56.1333,2.35081,105.051,183.456,10.568,0.19601,3.24766,3.3836,1.54404,
48,0.00275501,0.272628,0.106545,0.971746,0.41644,0.538187,1.78995,7.7592,17.8664,0.453818,0.312819,1.2505,0.0366388,
49,0.00271599,0.272786,0.106462,0.968791,0.422991,0.538122,1.79036,7.76013,17.862,0.453801,0.312744,1.25051,0.0365034,
