Individual,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.king_pin_inclination_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.camber_angle_l,Steering.front.ackerman_angle,
0,0.151216,0.201022,0.231281,2.55125,0.905762,0.288447,3.44353,8.58284,0.343356,39.791,0.443433,1.31769,0.545285,
1,0.137528,0.197919,0.231954,2.55137,0.905463,0.288584,3.44324,8.58953,0.343305,39.7912,0.446334,1.32006,0.550555,
2,0.140043,0.20291,0.231113,2.55123,0.90609,0.288324,3.44339,8.58329,0.34336,39.795,0.44303,1.31975,0.550333,
3,0.140957,0.201116,0.231383,2.5511,0.90668,0.288427,3.44347,8.58445,0.343347,39.7935,0.444077,1.31952,0.549901,
4,0.139849,0.202492,0.231422,2.55115,0.906528,0.288617,3.44343,8.58415,0.343355,39.794,0.443281,1.31982,0.550172,
5,0.142215,0.199732,0.231748,2.55128,0.905929,0.288596,3.44341,8.58774,0.343324,39.791,0.444956,1.31942,0.549037,
6,0.143625,0.199706,0.231745,2.55107,0.906822,0.288049,3.44341,8.58708,0.343329,39.7917,0.444823,1.31896,0.548153,
7,0.128446,0.203087,0.231473,2.55082,0.90831,0.288976,3.44336,8.58398,0.343354,39.7964,0.443731,1.32179,0.55471,
8,0.140424,0.199121,0.231981,2.55117,0.906517,0.288626,3.44329,8.59083,0.343308,39.7889,0.445396,1.31946,0.549431,
9,0.141,0.200285,0.231708,2.5511,0.906682,0.288343,3.44337,8.58664,0.343335,39.7928,0.444643,1.31939,0.549336,
10,0.139889,0.202725,0.231213,2.5512,0.906402,0.288521,3.44372,8.58328,0.343354,39.7951,0.443158,1.31971,0.550354,
11,0.147682,0.199128,0.231911,2.55138,0.905372,0.288914,3.44324,8.58928,0.343317,39.789,0.444932,1.31822,0.546492,
12,0.141897,0.200896,0.231583,2.55132,0.905765,0.288613,3.44341,8.58779,0.343331,39.7921,0.444187,1.3193,0.548844,
13,0.141699,0.204859,0.231278,2.55118,0.90661,0.288366,3.44316,8.58657,0.34336,39.7915,0.44164,1.31937,0.549473,
14,0.144569,0.201684,0.231538,2.55122,0.906223,0.288654,3.44344,8.58836,0.343336,39.7893,0.443516,1.31876,0.548469,
15,0.139763,0.203065,0.231476,2.55076,0.90845,0.288398,3.44348,8.58351,0.34336,39.7938,0.442957,1.31964,0.550411,
16,0.129324,0.201006,0.231173,2.55043,0.910144,0.288249,3.44333,8.58698,0.343336,39.7946,0.444828,1.32169,0.554099,
17,0.133116,0.201407,0.231556,2.55119,0.906294,0.288972,3.4435,8.58575,0.343343,39.796,0.444353,1.32099,0.552709,
18,0.137299,0.201471,0.231487,2.55125,0.90614,0.288908,3.44328,8.58749,0.343334,39.7929,0.444117,1.32014,0.551367,
19,0.140044,0.202995,0.230945,2.55132,0.905952,0.288315,3.44368,8.58466,0.34335,39.7949,0.443029,1.31978,0.550339,
20,0.140626,0.203766,0.231109,2.55085,0.908051,0.28895,3.44356,8.58405,0.343362,39.7929,0.442428,1.31964,0.550008,
21,0.129163,0.201149,0.231697,2.55082,0.908224,0.288368,3.4432,8.59075,0.343326,39.7922,0.444723,1.32158,0.554134,
22,0.139575,0.204957,0.231258,2.55079,0.90837,0.288719,3.44339,8.58406,0.343371,39.793,0.441683,1.31973,0.55044,
23,0.138744,0.204483,0.231192,2.55144,0.905253,0.288373,3.44369,8.58433,0.343361,39.7958,0.442119,1.31991,0.550695,
24,0.13846,0.207428,0.230754,2.55055,0.90972,0.28838,3.44351,8.57954,0.343397,39.7958,0.440336,1.32003,0.551591,
25,0.141243,0.200522,0.231696,2.55052,0.909993,0.28831,3.44324,8.59056,0.343313,39.7869,0.444638,1.31936,0.549223,
26,0.143113,0.199723,0.231359,2.55127,0.906045,0.288684,3.44364,8.58777,0.343322,39.7925,0.444845,1.31914,0.5482,
27,0.141009,0.202892,0.231069,2.55133,0.905917,0.288384,3.44361,8.58525,0.343346,39.7941,0.443038,1.31962,0.550048,
28,0.13582,0.202934,0.231238,2.5507,0.908747,0.288523,3.44353,8.58594,0.343354,39.7931,0.443183,1.32056,0.552053,
29,0.141782,0.200241,0.231355,2.55126,0.905945,0.288357,3.44357,8.58802,0.34333,39.793,0.444559,1.31938,0.548947,
30,0.140002,0.204041,0.230907,2.55053,0.909588,0.288402,3.44344,8.58129,0.343373,39.7942,0.442354,1.31979,0.550138,
31,0.139777,0.20528,0.23076,2.55096,0.907518,0.288761,3.44329,8.5796,0.343385,39.796,0.441593,1.31986,0.550418,
32,0.137335,0.201792,0.231396,2.55117,0.906565,0.288417,3.44328,8.58615,0.343341,39.7942,0.444001,1.32021,0.55068,
33,4.44391,3.68117,51.0099,27.0503,116.149,0.527293,261.468,270.292,0.0419796,46.1523,0.396668,1.5005,0.112171,
34,2.89551,2.88716,12.7299,1.4324,59.8921,2.1336,19.8904,119.758,0.204241,41.1789,3.04724,0.574832,0.670669,
35,0.140362,0.202429,0.231513,2.5511,0.906838,0.288508,3.44333,8.58796,0.343343,39.7914,0.443255,1.31959,0.550223,
36,0.142005,0.202611,0.231551,2.55123,0.906252,0.288387,3.44335,8.58754,0.343342,39.7901,0.443086,1.31925,0.549112,
