Individual,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.king_pin_inclination_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.camber_angle_l,Steering.front.ackerman_angle,
0,0.00612962,0.133801,0.131146,2.48313,0.0246844,0.0654977,0.000473588,10.939,0.493156,0.604463,1.09982,0.0233687,
1,0.00611989,0.133828,0.131148,2.48317,0.0245452,0.0655249,0.000473532,10.9391,0.493151,0.604463,1.09981,0.0233723,
2,0.00607472,0.133794,0.13114,2.48314,0.0246632,0.0655187,0.000474462,10.939,0.493156,0.60447,1.09987,0.0234088,
3,0.00609913,0.133803,0.131142,2.48315,0.024629,0.0655263,0.000473588,10.9391,0.493153,0.604467,1.09984,0.0233868,
4,0.00616473,0.133797,0.131142,2.48315,0.0246391,0.0655341,0.000474917,10.9391,0.493154,0.604465,1.09981,0.0233651,
5,0.00616941,0.133793,0.131145,2.48315,0.0246332,0.065529,0.000475215,10.9391,0.493154,0.604472,1.09982,0.0233551,
6,0.00610686,0.133813,0.131144,2.48315,0.0246459,0.0655301,0.000474409,10.9391,0.493154,0.604461,1.09984,0.02338,
7,0.00610777,0.13381,0.131134,2.48316,0.0245908,0.0655078,0.000476784,10.9391,0.493153,0.604469,1.09985,0.0233887,
8,0.00608561,0.133798,0.131143,2.48314,0.0246482,0.0655255,0.000474887,10.9391,0.493155,0.60447,1.09985,0.0234044,
9,0.00613697,0.133828,0.131154,2.48317,0.0245327,0.0655209,0.000475097,10.9391,0.49315,0.60447,1.09981,0.0233761,
10,0.0061128,0.13379,0.131152,2.48313,0.0247151,0.0655322,0.000481941,10.939,0.493158,0.604466,1.09984,0.0233782,
11,0.00612561,0.133822,0.131144,2.48318,0.0245234,0.0655037,0.000487005,10.9392,0.49315,0.604472,1.09982,0.0233741,
12,0.00615091,0.133808,0.131143,2.48314,0.0246476,0.0655325,0.000473804,10.9391,0.493154,0.604465,1.09982,0.0233733,
13,0.00614441,0.133826,0.131147,2.48318,0.0245224,0.0655251,0.000482939,10.9392,0.49315,0.604462,1.0998,0.0233735,
14,0.00614169,0.133804,0.131137,2.48315,0.0246402,0.0655311,0.000482705,10.9391,0.493155,0.604467,1.09982,0.0233806,
15,0.00612062,0.133827,0.131144,2.48318,0.0245175,0.0655192,0.000479506,10.9392,0.49315,0.604466,1.09982,0.0233855,
16,0.0061758,0.133832,0.131137,2.48319,0.0244583,0.0655115,0.00048083,10.9392,0.493147,0.604474,1.0998,0.0233459,
17,0.00607386,0.133801,0.131151,2.48317,0.024566,0.0655351,0.00048429,10.9391,0.493152,0.604475,1.09985,0.0234051,
18,0.00616379,0.133821,0.131137,2.48316,0.024578,0.0655329,0.000474895,10.9391,0.493152,0.604463,1.09982,0.0233623,
19,0.00613324,0.133804,0.131147,2.48315,0.024634,0.0655192,0.000480259,10.9391,0.493154,0.604466,1.09984,0.023363,
20,0.00609179,0.133813,0.131155,2.48317,0.0245679,0.0655159,0.000478841,10.9391,0.493152,0.604466,1.09985,0.0233981,
21,0.00610515,0.133867,0.131134,2.48322,0.0243369,0.0655313,0.00047341,10.9393,0.493142,0.604467,1.09984,0.0233865,
22,0.00609819,0.133791,0.131149,2.48314,0.0246496,0.0654997,0.000483513,10.9391,0.493155,0.604479,1.09985,0.0233989,
23,0.0060954,0.133797,0.13115,2.48315,0.024624,0.0655064,0.000483688,10.9391,0.493153,0.604471,1.09984,0.0234001,
24,0.00609972,0.133805,0.13114,2.48315,0.0246386,0.0655136,0.000492847,10.9391,0.493155,0.604467,1.09984,0.0233866,
25,0.00616467,0.133864,0.13114,2.48321,0.0243855,0.0655121,0.00047515,10.9393,0.493142,0.60446,1.0998,0.0233556,
26,0.00614617,0.133815,0.131129,2.48315,0.0246072,0.0655224,0.00049037,10.9391,0.493153,0.604467,1.09982,0.0233744,
27,0.00615309,0.133817,0.131144,2.48317,0.02456,0.0655315,0.000483503,10.9391,0.493152,0.604467,1.09982,0.0233687,
28,0.0060879,0.133794,0.131151,2.48314,0.0246618,0.0655288,0.000480815,10.9391,0.493155,0.60447,1.09985,0.0234037,
29,0.00614151,0.133799,0.131142,2.48316,0.0246067,0.0655242,0.000488736,10.9391,0.493152,0.604474,1.09982,0.0233667,
30,0.00614726,0.133794,0.131144,2.48314,0.0246441,0.0655206,0.000472812,10.939,0.493155,0.604472,1.09982,0.0233822,
31,0.00609331,0.13381,0.131127,2.48315,0.024608,0.0655211,0.000481325,10.9391,0.493154,0.604467,1.09986,0.0233884,
32,0.00607367,0.133826,0.131138,2.48317,0.0245564,0.0655057,0.0004808,10.9392,0.493151,0.604464,1.09987,0.0233915,
33,3.23806,13.3313,73.8216,44.3637,192.405,2.95446,249.723,933.482,1.89965,1.10639,3.8125,1.37672,
34,2.49013,4.26944,56.1719,1.15193,44.3421,2.01514,300.565,109.655,0.232832,0.88068,1.1361,0.820554,
35,0.0061543,0.133805,0.131151,2.48316,0.0245716,0.0655157,0.000498323,10.9391,0.493152,0.604475,1.0998,0.0233592,
36,0.00610545,0.133807,0.131136,2.48315,0.0246268,0.0655243,0.000496311,10.9391,0.493154,0.604467,1.09984,0.0234039,
37,0.00612499,0.133794,0.131147,2.48314,0.0246687,0.0654921,0.000485666,10.939,0.493156,0.604465,1.09983,0.0233875,
38,2.60514,5.52962,125.16,7.31282,63.7283,0.410339,314.447,440.671,0.749748,2.11138,6.85876,1.77023,
39,0.00613681,0.133814,0.131136,2.48316,0.0245892,0.0655214,0.000486014,10.9391,0.493152,0.604465,1.09982,0.023373,
40,2.72682,0.575943,46.6007,5.39207,46.0826,3.13122,279.463,438.28,0.760803,0.0718107,0.98223,0.178971,
41,0.00610598,0.133816,0.131155,2.48316,0.0245807,0.0655211,0.000473861,10.9391,0.493152,0.604461,1.09982,0.0233821,
42,0.00610751,0.133816,0.131159,2.48315,0.0246157,0.0655177,0.000477356,10.939,0.493153,0.604462,1.09982,0.0233729,
43,0.00611135,0.13381,0.131138,2.48315,0.0246308,0.0655171,0.000478277,10.9391,0.493154,0.604464,1.09984,0.0233753,
44,0.00610181,0.133789,0.131147,2.48314,0.0246764,0.0655165,0.000480747,10.939,0.493155,0.60447,1.09984,0.0233958,
45,0.00615816,0.133796,0.131146,2.48313,0.0246935,0.0655076,0.000475114,10.939,0.493156,0.604463,1.09982,0.0233566,
46,0.00613094,0.133813,0.131158,2.48315,0.0246115,0.0655211,0.000476713,10.9391,0.493153,0.604464,1.0998,0.0233657,
47,0.00619059,0.133802,0.13114,2.48314,0.0246555,0.0655472,0.000474693,10.939,0.493155,0.604466,1.0998,0.0233571,
48,0.00609876,0.133816,0.131144,2.48317,0.0245636,0.0655146,0.000473693,10.9391,0.49315,0.604466,1.09984,0.0233769,
49,0.00613896,0.133804,0.131126,2.48314,0.0246541,0.0655392,0.000480012,10.9391,0.493155,0.604464,1.09984,0.0233697,
