Individual,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.camber_angle_l,Steering.front.ackerman_angle,
0,0.00159874,0.122191,0.0293355,0.0125681,0.0828928,0.000861785,10.8391,0.448958,0.23583,1.58071,0.0148841,
1,0.00159789,0.122088,0.0292938,0.0126384,0.0828303,0.000889956,10.8391,0.448961,0.235923,1.58077,0.0148856,
2,0.0016004,0.122165,0.0292222,0.0125754,0.0828979,0.000865086,10.8391,0.44896,0.235861,1.58083,0.0148784,
3,0.00160075,0.122164,0.0293665,0.012631,0.0828748,0.000828586,10.8391,0.448959,0.235857,1.58072,0.0148881,
4,0.00159213,0.1221,0.0293667,0.0126114,0.082876,0.00075335,10.8392,0.448961,0.235908,1.58075,0.014885,
5,0.00159591,0.122106,0.0294804,0.012594,0.0828214,0.000877635,10.8392,0.448961,0.235906,1.58066,0.0148817,
6,0.00159676,0.122084,0.0293924,0.0126505,0.0828485,0.000851576,10.8391,0.448961,0.235923,1.58072,0.014885,
7,0.00160073,0.122101,0.029363,0.0125933,0.0828695,0.000763162,10.8393,0.44896,0.23591,1.58074,0.0148818,
8,0.0015959,0.122146,0.0292889,0.0125691,0.0829049,0.000857136,10.8392,0.44896,0.235876,1.58077,0.014883,
9,0.00159745,0.122098,0.0293271,0.012644,0.0828966,0.000848677,10.8391,0.448961,0.235915,1.58076,0.0148908,
10,0.00159423,0.122201,0.0293616,0.0125438,0.0828935,0.000768441,10.8393,0.448959,0.235825,1.58073,0.0148836,
11,0.00160192,0.122145,0.0294514,0.0125667,0.0829939,0.00079657,10.8392,0.44896,0.23587,1.58064,0.0148851,
12,0.00160009,0.12205,0.0294163,0.0125946,0.0828997,0.00084911,10.8391,0.448962,0.235953,1.58072,0.0148885,
13,0.00159948,0.122127,0.029335,0.0126201,0.0829014,0.000753551,10.8392,0.44896,0.23589,1.58076,0.014892,
14,0.00159669,0.12206,0.0293578,0.0126729,0.0828404,0.000797277,10.8392,0.448961,0.235944,1.58078,0.0148891,
15,0.00159934,0.122094,0.0293251,0.0125765,0.0829742,0.000826268,10.8392,0.448961,0.235917,1.58077,0.0148835,
16,0.00160654,0.122062,0.0294087,0.0125799,0.0829971,0.000777842,10.8392,0.448962,0.235941,1.58069,0.0148828,
17,0.0015981,0.122133,0.0294717,0.0125789,0.0829861,0.000803212,10.8392,0.44896,0.235883,1.58064,0.0148829,
18,0.00160645,0.122106,0.0294061,0.0125637,0.0830054,0.000827859,10.8391,0.448961,0.235906,1.5807,0.0148775,
19,0.00160747,0.122109,0.0292917,0.0125773,0.0829716,0.000804415,10.8392,0.448961,0.235903,1.5808,0.0148811,
20,0.00159696,0.122102,0.0293469,0.012539,0.0829574,0.00077281,10.8393,0.448961,0.235914,1.58076,0.0148866,
21,0.00159806,0.122107,0.0294937,0.0125784,0.082903,0.000841432,10.8392,0.448961,0.235903,1.58064,0.0148831,
22,0.00159556,0.122092,0.0294916,0.0126309,0.0828852,0.000770728,10.8392,0.448961,0.235915,1.58066,0.0148892,
23,0.00160035,0.122304,0.0293398,0.012537,0.0829925,0.000931065,10.8391,0.448956,0.235739,1.58071,0.0148708,
24,0.00159849,0.122114,0.0292834,0.0126153,0.0828875,0.000971078,10.8391,0.448959,0.235908,1.58075,0.0148923,
25,0.00159852,0.122207,0.02927,0.0125631,0.0830298,0.000830788,10.8392,0.448959,0.23582,1.58079,0.0148852,
26,0.00159755,0.122084,0.0294654,0.012598,0.0829955,0.000795792,10.8392,0.448961,0.235922,1.58065,0.0148889,
27,0.00160176,0.122218,0.0293389,0.0125241,0.0830356,0.000823196,10.8392,0.448958,0.235811,1.58073,0.0148819,
28,0.00159419,0.122063,0.029487,0.0125465,0.0829893,0.000793716,10.8392,0.448962,0.235938,1.58066,0.0148953,
29,0.00159862,0.122094,0.0295024,0.0125542,0.0829821,0.000856211,10.8391,0.448961,0.235916,1.58063,0.0148867,
30,4.47166,14.2019,34.437,92.2681,2.14381,195.4,160.807,0.26694,1.7399,1.4181,1.68459,
31,0.0015965,0.122186,0.0294184,0.0125412,0.0830049,0.000759441,10.8392,0.448959,0.235835,1.58069,0.0148812,
32,0.00160679,0.122149,0.0293783,0.0125481,0.0829112,0.000868069,10.8391,0.448959,0.235864,1.58071,0.0148761,
33,0.00161243,0.122089,0.0293903,0.0125624,0.0830069,0.000917622,10.8391,0.448961,0.235918,1.58071,0.0148832,
34,0.00160015,0.122147,0.0292986,0.0126466,0.0828971,0.000825349,10.8391,0.44896,0.235875,1.58078,0.0148878,
35,0.00159777,0.122133,0.0293446,0.0126192,0.0829054,0.000874206,10.8391,0.44896,0.235881,1.58073,0.0148819,
36,0.00160082,0.122106,0.0293368,0.0126162,0.0829027,0.000762648,10.8393,0.448959,0.235916,1.58075,0.0148903,
