Individual,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.0329003,0.146976,0.0737603,0.039933,0.0141336,0.00104654,9.18304,0.470045,0.432195,0.487644,3.73492,
1,0.0331782,0.14698,0.0742016,0.0402734,0.0141246,0.00103639,9.18249,0.470056,0.43242,0.487758,3.73418,
2,0.0332331,0.146973,0.0742688,0.0394516,0.01415,0.0010918,9.18325,0.470041,0.432384,0.487751,3.73417,
3,0.0330506,0.14698,0.0735395,0.0402395,0.0141301,0.00100802,9.1827,0.470048,0.432432,0.487698,3.73497,
4,0.0330589,0.146978,0.0740339,0.039274,0.014123,0.00106314,9.18355,0.470036,0.432353,0.487743,3.7346,
5,0.0330982,0.146981,0.0736852,0.0396229,0.0141135,0.00107731,9.18323,0.470042,0.432416,0.487703,3.73494,
6,0.0331738,0.146982,0.0736551,0.0395979,0.0141204,0.00130306,9.18301,0.470043,0.432555,0.487614,3.73493,
7,0.0333332,0.146961,0.0738324,0.0385111,0.01415,0.00101141,9.18442,0.470022,0.432448,0.487614,3.73471,
8,0.0330505,0.146983,0.0741255,0.0401472,0.0141286,0.00119154,9.18277,0.470052,0.432635,0.487701,3.73423,
9,0.0332703,0.146979,0.0737018,0.0396019,0.0141264,0.00111592,9.18325,0.470038,0.432416,0.487691,3.73486,
10,0.0330929,0.146979,0.0737278,0.0398261,0.0141306,0.00110281,9.18311,0.47005,0.43238,0.487705,3.73497,
11,0.033057,0.146977,0.0737786,0.0388526,0.0141396,0.0010148,9.18409,0.470038,0.432454,0.487763,3.73491,
12,0.0332732,0.146974,0.0740903,0.038746,0.014112,0.00100797,9.18416,0.470036,0.432515,0.487815,3.73439,
13,0.0331312,0.146987,0.0735878,0.0400277,0.0141267,0.00102848,9.18298,0.470046,0.432414,0.487914,3.73493,
14,0.0330877,0.146993,0.0736386,0.0394518,0.0141037,0.00100475,9.18345,0.470039,0.432528,0.487975,3.73491,
15,0.0331967,0.146985,0.073754,0.0391526,0.0141455,0.00104953,9.18367,0.47004,0.432461,0.487835,3.73489,
16,0.0330485,0.146987,0.073776,0.0396707,0.0141561,0.0011113,9.18333,0.470044,0.432307,0.487797,3.73497,
17,0.0330436,0.146991,0.0735243,0.0401811,0.0141179,0.00105817,9.18285,0.470054,0.432575,0.487816,3.735,
18,0.0334044,0.146982,0.0738337,0.0395381,0.0141287,0.00104124,9.18352,0.470031,0.432256,0.487804,3.73467,
19,0.0331248,0.147004,0.074331,0.0394359,0.0141159,0.0011198,9.18341,0.470032,0.432419,0.488076,3.73416,
20,0.0331835,0.146985,0.0737034,0.0393867,0.0141322,0.00101903,9.18361,0.47003,0.432442,0.487889,3.73485,
21,0.0333162,0.146976,0.0738205,0.0391362,0.0141292,0.00104281,9.18379,0.470038,0.432421,0.487779,3.73479,
22,0.0331358,0.146996,0.0736474,0.0400785,0.0141498,0.00100938,9.18283,0.470051,0.432579,0.487996,3.73477,
23,0.0333121,0.146975,0.0736712,0.0394464,0.0141103,0.00104916,9.18356,0.470033,0.432478,0.487805,3.7348,
24,0.0331216,0.146991,0.0738292,0.0393185,0.0141745,0.00119679,9.18352,0.470028,0.432318,0.487894,3.73487,
25,0.0331065,0.146997,0.0735,0.0404168,0.0141346,0.0010452,9.18251,0.470056,0.432538,0.487961,3.73502,
26,0.0331309,0.146984,0.0737098,0.0389423,0.0141206,0.00102677,9.18411,0.47003,0.432499,0.48788,3.73486,
27,0.0328851,0.14699,0.0741692,0.0385712,0.0141362,0.00104035,9.18464,0.470018,0.432106,0.487975,3.73477,
28,0.0331283,0.14699,0.0736526,0.0396687,0.0141464,0.00101299,9.18338,0.470041,0.43247,0.487933,3.73488,
29,0.0332835,0.146981,0.0739499,0.0393942,0.0141631,0.00102399,9.18361,0.470042,0.432508,0.487863,3.7345,
30,2.67664,7.72682,59.5317,115.541,2.46722,285.911,245.856,0.0589416,0.770741,0.595808,0.926998,
31,0.0332141,0.146971,0.0736074,0.0394282,0.0141286,0.00103108,9.18351,0.470043,0.432528,0.487782,3.73495,
32,0.0334305,0.146974,0.0736249,0.0395787,0.0141728,0.00109176,9.18316,0.470038,0.432491,0.48764,3.73479,
33,2.5024,12.7862,68.7199,60.8817,1.43543,247.936,994.039,1.37791,1.0796,0.0217591,2.08892,
34,0.0330622,0.146984,0.0737677,0.0390834,0.0141316,0.00105472,9.1838,0.470043,0.432519,0.487776,3.73495,
35,0.033394,0.146973,0.0738292,0.0384128,0.0141311,0.00110458,9.18455,0.47002,0.432391,0.487794,3.73472,
36,0.0334397,0.146978,0.0738231,0.0390341,0.0141433,0.00102029,9.18388,0.470035,0.432434,0.48779,3.73469,
37,0.0334172,0.146972,0.074385,0.0388962,0.014143,0.00106211,9.18409,0.470029,0.432501,0.487841,3.734,
38,0.0334396,0.146977,0.0735427,0.0393715,0.0141439,0.00109279,9.18344,0.47005,0.432695,0.487754,3.7348,
39,0.0332375,0.146958,0.0737067,0.0392402,0.0141604,0.00122322,9.18378,0.47004,0.432372,0.487624,3.73486,
40,0.0334501,0.146965,0.0736835,0.0393486,0.0141081,0.00114618,9.18359,0.470042,0.432442,0.487788,3.73473,
41,0.0331216,0.146986,0.0740119,0.0390264,0.0141147,0.00120448,9.18374,0.470036,0.432558,0.48778,3.73456,
42,0.0334071,0.146968,0.0734262,0.0398585,0.0141422,0.00103327,9.1829,0.470059,0.432715,0.487594,3.73485,
43,0.0332607,0.146979,0.073712,0.0394345,0.0141326,0.00105527,9.18338,0.470046,0.432457,0.487803,3.73484,
44,0.0330373,0.146979,0.0737155,0.0392054,0.0141363,0.00104843,9.18378,0.47004,0.432444,0.487713,3.73496,
45,0.033317,0.146977,0.0737648,0.0386645,0.0141586,0.00119931,9.18428,0.470017,0.432506,0.487803,3.73475,
46,0.0334082,0.146987,0.0738591,0.0397817,0.014132,0.00120181,9.18293,0.470034,0.432538,0.487782,3.73439,
47,0.0334091,0.146978,0.0735968,0.0397227,0.0141455,0.00106645,9.18326,0.470047,0.432446,0.487811,3.73486,
48,0.0334452,0.146978,0.0737161,0.0391526,0.0141239,0.00117745,9.18356,0.470042,0.432575,0.487783,3.73473,
49,0.0333063,0.146976,0.0736968,0.0395118,0.0141527,0.00118715,9.18333,0.470038,0.432481,0.487689,3.73482,
