Individual,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
0,0.0856641,0.157744,1.28612,0.0149205,0.107413,0.0154029,11.6486,0.485217,0.527922,0.0108472,
1,0.0856686,0.158013,1.28616,0.0149124,0.107409,0.0158533,11.6483,0.485215,0.527549,0.0108514,
2,0.0856672,0.158,1.2861,0.0148905,0.107413,0.0159926,11.6482,0.485205,0.527645,0.0108669,
3,0.0856655,0.158021,1.28603,0.0148784,0.107432,0.0160577,11.6481,0.485187,0.527741,0.0108499,
4,0.0856647,0.158256,1.28612,0.014856,0.107472,0.015982,11.6482,0.485209,0.52732,0.0108552,
5,0.0856661,0.15816,1.2861,0.0148906,0.107441,0.0166814,11.6475,0.485207,0.527492,0.0108749,
6,0.0856652,0.157802,1.28617,0.0149321,0.107423,0.0151965,11.6489,0.485211,0.527869,0.0108485,
7,0.0856696,0.158433,1.28604,0.0148312,0.107376,0.0165607,11.6479,0.485196,0.527179,0.0108675,
8,0.0856674,0.158019,1.28609,0.0148813,0.107437,0.0155073,11.6487,0.485187,0.527726,0.0108546,
9,0.0856768,0.158582,1.28618,0.0148064,0.107503,0.0154506,11.6488,0.48518,0.527039,0.0108445,
10,0.0856632,0.157718,1.28617,0.0149222,0.107406,0.0159712,11.6483,0.485219,0.527928,0.0108462,
11,0.08567,0.158121,1.28602,0.0148858,0.107468,0.0159189,11.6484,0.485179,0.527645,0.0108677,
12,0.0856682,0.157967,1.286,0.0149266,0.107496,0.0157499,11.6485,0.48519,0.527749,0.010857,
13,0.0856676,0.157983,1.2862,0.0149033,0.107405,0.0157376,11.6485,0.485209,0.527708,0.0108807,
14,0.0856722,0.158299,1.28614,0.0148708,0.10755,0.0154501,11.6488,0.485187,0.52737,0.0108598,
15,0.0856727,0.158004,1.28603,0.0148855,0.107467,0.0156548,11.6487,0.485191,0.527735,0.0108204,
16,0.0856604,0.158034,1.28601,0.0149015,0.107488,0.0157659,11.6486,0.485182,0.527736,0.0108666,
17,0.0856702,0.158082,1.28605,0.0148962,0.107422,0.0160531,11.6483,0.485176,0.52773,0.0108464,
