Individual,Heave.front.side_view_swing_arm_angle_l,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
0,0.0163864,1.47937,0.097736,0.0353198,0.0222186,0.160968,8.55495,0.413695,0.103233,0.0115617,
1,0.033184,1.47559,0.101946,0.0328929,0.0225721,0.15478,8.55525,0.413461,0.107102,0.0116378,
2,0.0126305,1.47926,0.0969681,0.0413587,0.0320426,0.15532,8.56037,0.413954,0.105247,0.0116167,
3,0.0290518,1.48047,0.0969898,0.0387736,0.0238578,0.147255,8.56779,0.414124,0.104531,0.0119774,
4,0.0225084,1.47924,0.09674,0.0311438,0.0219452,0.161325,8.57802,0.413492,0.101866,0.0118586,
5,0.0216426,1.48392,0.0970909,0.0327016,0.0244557,0.168667,8.56164,0.413116,0.103656,0.0117773,
6,0.0195167,1.48414,0.0969196,0.0389796,0.0263189,0.156357,8.57093,0.413393,0.10162,0.011674,
7,0.026513,1.47748,0.0969622,0.035993,0.0240952,0.162449,8.56583,0.414023,0.106074,0.0115825,
8,0.019866,1.48157,0.0975557,0.0373036,0.022459,0.161758,8.57154,0.413466,0.104578,0.0115408,
9,0.0229849,1.49187,0.101181,0.0269066,0.0295004,0.154236,8.56125,0.414307,0.107192,0.012931,
10,0.0141483,1.48579,0.0976275,0.0435031,0.0313538,0.154624,8.56703,0.414021,0.102123,0.0123835,
11,0.0465108,1.49215,0.0970473,0.0278788,0.0216925,0.161505,8.54412,0.413266,0.108868,0.0123202,
12,0.027492,1.47606,0.0992948,0.0331767,0.0303346,0.157821,8.57133,0.413504,0.104501,0.0122335,
13,0.0208769,1.48071,0.0970048,0.0306557,0.0229974,0.160754,8.58484,0.413524,0.10236,0.0126103,
14,0.0478989,1.47991,0.0983727,0.0298155,0.0257222,0.147615,8.56641,0.413046,0.106114,0.0117001,
15,0.0239,1.49805,0.100361,0.0330714,0.0220082,0.150966,8.56687,0.413243,0.105873,0.0132426,
16,0.0266657,1.47841,0.0986216,0.0287272,0.0314999,0.165519,8.56627,0.413395,0.104551,0.0146068,
17,0.028433,1.49492,0.0972676,0.0473374,0.0283778,0.159707,8.54547,0.414406,0.101165,0.011592,
18,0.0434467,1.48626,0.0972889,0.0341287,0.0218689,0.158962,8.55542,0.413385,0.106136,0.0117915,
19,0.0145792,1.49902,0.0999031,0.027911,0.0249324,0.168936,8.56457,0.413865,0.103602,0.0114588,
20,0.0317153,1.48271,0.098164,0.0346634,0.0223737,0.161726,8.56846,0.413419,0.102952,0.0144691,
21,0.034147,1.48219,0.0975732,0.0412548,0.0262275,0.15712,8.56532,0.414232,0.10185,0.0116131,
22,0.0360813,1.49339,0.0977587,0.0357218,0.0220903,0.159372,8.55621,0.413388,0.105644,0.0121638,
23,0.0380501,1.48336,0.0990162,0.030854,0.0225822,0.156688,8.57093,0.414095,0.106049,0.0115522,
24,0.0358724,1.48082,0.0975669,0.0350303,0.0230188,0.161506,8.56818,0.41375,0.106008,0.0117455,
25,0.0109129,1.48011,0.0978354,0.0399072,0.0254779,0.162834,8.58008,0.414826,0.107192,0.0150545,
26,0.0179203,1.48866,0.0995882,0.0245062,0.0354625,0.162314,8.57577,0.414135,0.106861,0.0114993,
27,0.0382053,1.48873,0.0969337,0.0378338,0.0229452,0.154897,8.56794,0.413481,0.104148,0.0118531,
28,0.0224909,1.47909,0.096935,0.0325181,0.0322606,0.170284,8.57346,0.413515,0.106065,0.0116931,
29,0.0355594,1.48025,0.0973504,0.0350465,0.0351175,0.157649,8.568,0.413575,0.104295,0.0115831,
30,0.168144,1.54598,0.096546,0.0296398,0.0236263,0.163839,8.55663,0.413361,0.106979,0.0123295,
31,0.0334566,1.47413,0.0967769,0.0279104,0.0240157,0.150858,8.57341,0.412972,0.109485,0.0116971,
32,0.0377067,1.47315,0.0968087,0.0289703,0.0375566,0.162346,8.57375,0.413035,0.107705,0.0115434,
33,0.0202402,1.47582,0.100431,0.0292447,0.0217302,0.147276,8.57288,0.413068,0.106642,0.0133703,
34,292.816,96.1893,2.11958,0.616378,130.012,1.93275,364.622,0.261168,1.76119,0.744694,
35,273.249,58.0028,3.24999,6.72091,109.264,2.50277,256.91,0.0843182,0.634273,0.834552,
36,0.0974588,1.47028,0.0984265,0.0307927,0.0308936,0.1512,8.56843,0.41322,0.106325,0.0124742,
37,0.0333954,1.47591,0.0993417,0.0281905,0.0219744,0.168862,8.57063,0.414338,0.107564,0.0128863,
38,226.158,19.586,3.70942,10.3868,90.3174,2.77834,361.259,0.319595,3.1528,0.256446,
39,117.449,68.4091,4.23296,0.718473,66.2994,2.19187,96.3053,0.147108,0.891168,2.10818,
40,0.0969145,1.49248,0.0987299,0.0445232,0.0255196,0.158602,8.56408,0.414405,0.100461,0.0128912,
41,0.0769076,1.47886,0.0967173,0.0291021,0.0243624,0.165657,8.56156,0.413048,0.107285,0.011573,
42,0.0975515,1.48492,0.0975859,0.0282575,0.0253914,0.15852,8.58469,0.412598,0.105693,0.0119846,
43,248.451,20.7079,3.62641,17.3863,63.3002,3.03878,381.081,0.493544,1.13149,3.02469,
44,0.053578,1.52291,0.0969801,0.0251985,0.0242666,0.162303,8.57756,0.413212,0.108008,0.0115022,
45,0.0186063,1.47906,0.0981669,0.0298842,0.0301179,0.153886,8.57859,0.413146,0.107119,0.0126049,
46,0.0348209,1.47847,0.0996619,0.043094,0.0238603,0.148071,8.55058,0.413582,0.101456,0.0123094,
47,0.0321082,1.47752,0.096865,0.0361584,0.0257678,0.165985,8.56217,0.414232,0.105179,0.0121359,
48,0.00718256,1.47433,0.10152,0.0286337,0.0218295,0.152578,8.56637,0.413198,0.106328,0.0137669,
49,0.0802181,1.48361,0.0985061,0.0380598,0.0261535,0.15891,8.57899,0.412862,0.0998306,0.011816,
