Individual,Heave.front.side_view_swing_arm_angle_l,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.728651,3.7179,0.250116,0.346875,0.028368,0.104431,7.97754,0.448179,19.7825,0.281647,0.0170729,1.24853,
1,0.729717,3.71642,0.24996,0.345247,0.0282922,0.104446,7.95827,0.448399,19.8012,0.284465,0.0171692,1.24917,
2,0.728681,3.71085,0.250203,0.346333,0.0286261,0.104171,7.97944,0.448154,19.7887,0.28174,0.0171882,1.24967,
3,0.728379,3.71553,0.250088,0.344959,0.0267466,0.10474,7.97946,0.448166,19.7866,0.283717,0.0172709,1.24876,
4,0.731093,3.70943,0.250286,0.346915,0.0282209,0.103816,7.96883,0.448283,19.7979,0.281786,0.0171786,1.25077,
5,0.72803,3.70764,0.249908,0.343622,0.0266956,0.103828,7.97593,0.44821,19.7983,0.28524,0.017214,1.24994,
6,0.727025,3.71048,0.250223,0.34586,0.0281069,0.104001,7.98614,0.448061,19.7865,0.281725,0.0171942,1.24941,
7,0.727866,3.70753,0.249968,0.34513,0.0280866,0.103648,7.98015,0.44816,19.7945,0.283208,0.0172205,1.24973,
8,0.729957,3.70697,0.250025,0.343607,0.0286516,0.103476,7.98057,0.448138,19.7919,0.2848,0.0172905,1.25007,
9,0.725679,3.70521,0.250132,0.344832,0.0281579,0.104505,7.9804,0.448172,19.7979,0.283374,0.0173883,1.25009,
10,0.729225,3.71097,0.249945,0.345362,0.0272071,0.103382,7.97942,0.448159,19.7919,0.283298,0.0172212,1.24979,
11,0.72838,3.71089,0.250064,0.345871,0.0291068,0.104661,7.97747,0.448165,19.7927,0.28237,0.0171517,1.24943,
12,0.73053,3.71023,0.249843,0.344309,0.0264863,0.104796,7.9776,0.448144,19.7934,0.284192,0.0172025,1.24974,
13,0.726218,3.70927,0.250233,0.346044,0.0284777,0.10342,7.98744,0.44806,19.7892,0.281431,0.0171885,1.24958,
14,0.728818,3.70801,0.249927,0.343709,0.0279309,0.103748,7.97686,0.448144,19.7974,0.284664,0.0172709,1.25012,
15,0.728495,3.7057,0.249907,0.345042,0.0279979,0.103096,7.99006,0.448064,19.7889,0.283024,0.0170666,1.25019,
16,0.729432,3.71055,0.249998,0.345273,0.0290823,0.103979,7.96988,0.448237,19.8011,0.283328,0.0172232,1.24993,
17,0.729405,3.71319,0.250198,0.347154,0.0281364,0.10391,7.97987,0.448137,19.791,0.280726,0.0171093,1.2492,
18,0.728911,3.70891,0.24998,0.344577,0.0266009,0.10343,7.98499,0.448101,19.7922,0.28366,0.0172487,1.24958,
19,0.732393,3.71661,0.250242,0.346963,0.0271134,0.105086,7.98381,0.448105,19.78,0.281333,0.0171379,1.24944,
20,0.727636,3.71194,0.250241,0.344782,0.0269867,0.10341,7.96462,0.448354,19.8084,0.284515,0.0174275,1.25006,
21,0.728206,3.71003,0.249914,0.344869,0.027535,0.103573,8.01581,0.447738,19.764,0.281758,0.0170838,1.24822,
22,0.729744,3.71196,0.25027,0.344721,0.0281581,0.104349,7.97648,0.448207,19.794,0.283909,0.0174296,1.24964,
23,0.728185,3.70931,0.250259,0.346943,0.0271414,0.104468,7.98682,0.44807,19.7903,0.280597,0.0171108,1.24989,
24,0.728049,3.71585,0.250069,0.345689,0.0276647,0.104218,7.99668,0.447917,19.7765,0.281476,0.0171116,1.24797,
25,0.728481,3.71491,0.250072,0.34491,0.0281633,0.104584,7.97216,0.448259,19.7974,0.28414,0.0172462,1.24891,
26,0.726812,3.70743,0.250153,0.344536,0.0282454,0.102606,7.98616,0.448099,19.795,0.283367,0.0173273,1.24965,
