Individual,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_l,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,4.27383,0.30242,1.10274,0.396868,0.0924059,4.41052,0.24457,0.539935,7.2605,0.731467,0.374058,1.80851,
1,4.26568,0.298905,1.07383,0.400049,0.0880273,4.42442,0.249134,0.540443,7.26776,0.745166,0.374178,1.81025,
2,4.27713,0.307935,1.11329,0.407716,0.0909096,4.40881,0.230765,0.539793,7.25823,0.72722,0.372439,1.80857,
3,4.27294,0.303708,1.09567,0.405779,0.0930306,4.41761,0.239254,0.540115,7.25809,0.734932,0.374215,1.80819,
4,4.27611,0.305587,1.11103,0.407349,0.0893538,4.41034,0.238311,0.539869,7.25468,0.727767,0.374985,1.8086,
5,4.27518,0.302029,1.10558,0.406977,0.0917171,4.41261,0.24491,0.53998,7.24987,0.729604,0.377178,1.80836,
6,4.27264,0.306297,1.094,0.406152,0.0934707,4.41301,0.243116,0.540094,7.2527,0.736864,0.377521,1.80917,
7,4.27363,0.304792,1.09692,0.413571,0.0942201,4.41001,0.249888,0.540067,7.24634,0.7351,0.372894,1.80797,
8,4.27273,0.302963,1.10421,0.415379,0.087492,4.41419,0.24824,0.540045,7.24403,0.730494,0.377191,1.80928,
9,4.27569,0.302378,1.10594,0.40645,0.0912369,4.41283,0.246306,0.539957,7.25736,0.729545,0.371146,1.80827,
10,4.27338,0.305266,1.10639,0.408692,0.0879909,4.41804,0.229334,0.540025,7.26133,0.73003,0.376747,1.81013,
11,4.27654,0.30636,1.11097,0.407009,0.0933506,4.41021,0.244799,0.539921,7.24475,0.728259,0.376462,1.80898,
12,4.27439,0.305394,1.10692,0.405056,0.0899353,4.41235,0.239221,0.539856,7.26344,0.729505,0.373138,1.809,
13,4.26472,0.299158,1.0751,0.426689,0.0923842,4.42524,0.242065,0.540449,7.2505,0.744035,0.377517,1.81089,
14,4.27371,0.304742,1.10008,0.416219,0.0936941,4.41378,0.242241,0.540047,7.24903,0.733012,0.374016,1.80869,
