Individual,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.roll_center.z,Heave.front.motion_ratio_heave_l,Heave.front.scrub_radius_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,1.02738,0.0678551,0.213397,21.9586,0.333663,0.0305606,0.0133691,25.3713,0.346843,0.113177,0.0241553,1.08375,
1,1.02817,0.067711,0.214314,21.9641,0.332481,0.031332,0.0149961,25.3572,0.346779,0.113492,0.0250315,1.08933,
2,1.02791,0.0660248,0.214196,21.9359,0.331997,0.0317931,0.0173719,25.3933,0.346883,0.113004,0.0291397,1.08327,
3,1.02653,0.067683,0.211847,21.9529,0.341355,0.0325141,0.015849,25.3763,0.346836,0.113937,0.0260312,1.0841,
4,1.02835,0.0678165,0.212111,21.9922,0.329208,0.0318971,0.0158499,25.3514,0.346719,0.113678,0.0257473,1.08323,
5,1.02809,0.0647691,0.209255,21.9828,0.326851,0.0400003,0.0261479,25.3457,0.346729,0.114523,0.0306883,1.08353,
6,1.02701,0.0674475,0.213344,21.9351,0.336701,0.0400274,0.0270901,25.3843,0.346883,0.113692,0.0276563,1.08411,
7,1.02509,0.0704996,0.213092,21.9213,0.326056,0.0316068,0.0684362,25.3793,0.34689,0.114372,0.0265366,1.08477,
8,1.02823,0.0714541,0.210057,21.9722,0.328665,0.0437143,0.0267904,25.3598,0.346818,0.114466,0.025487,1.08096,
9,1.02663,0.0656729,0.212107,21.987,0.331747,0.032195,0.0323016,25.3466,0.346744,0.113411,0.0294752,1.08477,
10,1.02653,0.0760743,0.214081,21.9775,0.334549,0.0313972,0.0198451,25.3612,0.346768,0.113594,0.0227217,1.08461,
11,1.02775,0.0644629,0.211643,22.0014,0.325845,0.0322378,0.0286629,25.3446,0.3467,0.113471,0.0283502,1.08425,
12,1.02724,0.0644783,0.210077,21.9944,0.334006,0.0333668,0.032749,25.3406,0.346729,0.113901,0.0284607,1.08431,
13,1.0283,0.0805343,0.215784,21.9393,0.33355,0.0402497,0.0336435,25.3685,0.346851,0.113624,0.0263235,1.0837,
14,1.02663,0.0653429,0.213333,21.9573,0.338955,0.0406495,0.0354123,25.3572,0.34676,0.113912,0.030349,1.08459,
15,1.02744,0.0644987,0.209086,21.9712,0.341525,0.0338626,0.0248576,25.3626,0.346883,0.113625,0.0316043,1.08374,
16,1.02868,0.0646706,0.210008,21.9558,0.332675,0.0393561,0.0493495,25.3581,0.346886,0.113928,0.028113,1.08473,
17,1.02589,0.0658045,0.211918,21.9858,0.336541,0.0371876,0.0389807,25.3391,0.346713,0.113874,0.0294947,1.08407,
18,1.02647,0.0727315,0.212552,21.9653,0.330887,0.0323021,0.0403549,25.3686,0.346838,0.113707,0.0223406,1.08448,
19,1.02546,0.0675577,0.213677,21.9619,0.328231,0.0311537,0.0545183,25.3578,0.346768,0.11366,0.0288042,1.08764,
20,1.02751,0.0657203,0.212576,21.977,0.334964,0.0468232,0.0228596,25.3551,0.346732,0.113744,0.0302961,1.08392,
21,1.02765,0.0650101,0.210926,21.9482,0.327793,0.071154,0.0224998,25.3728,0.346855,0.11406,0.0273298,1.0833,
22,1.0281,0.0645904,0.210769,21.9929,0.327617,0.0335926,0.0290431,25.3569,0.346742,0.113661,0.0289919,1.08479,
23,1.02646,0.0691405,0.213232,21.9963,0.330141,0.0306606,0.042722,25.3429,0.346709,0.113218,0.0219067,1.08473,
24,1.02927,0.0647894,0.209047,21.9818,0.331941,0.032449,0.040479,25.3546,0.346772,0.11427,0.0302593,1.08286,
25,1.02678,0.0679466,0.212837,21.9445,0.345919,0.0492875,0.0227321,25.369,0.346921,0.113333,0.0298968,1.0894,
26,1.02813,0.0648002,0.210933,22.0112,0.337459,0.0311071,0.0222049,25.3471,0.346658,0.113518,0.0238856,1.08294,
27,1.02552,0.0650891,0.209244,21.9825,0.337707,0.0322815,0.0435644,25.3532,0.346793,0.114239,0.0262968,1.08563,
28,1.02799,0.0645603,0.210095,22.0099,0.33405,0.0317975,0.0245413,25.3486,0.346715,0.113583,0.0275664,1.08421,
29,1.02668,0.0686265,0.211607,21.9651,0.334266,0.0314994,0.0375276,25.38,0.346828,0.113948,0.0252677,1.08496,
30,1.02715,0.0644807,0.208041,21.974,0.328722,0.0338776,0.0197917,25.3585,0.346783,0.114581,0.0301998,1.08321,
31,1.02777,0.0655321,0.211271,21.9692,0.331652,0.0381767,0.013032,25.3654,0.346799,0.11373,0.0299013,1.08361,
32,1.02762,0.0753372,0.212908,21.982,0.33311,0.0432003,0.0326526,25.354,0.346729,0.113954,0.022123,1.08356,
33,24.4395,3.04123,3.24779,87.7232,1.91243,65.5875,413.862,11.9523,0.259308,0.640797,0.333377,3.30452,
34,1.03094,0.0677254,0.211164,21.9541,0.330461,0.0308968,0.0804168,25.3673,0.346887,0.113658,0.0229742,1.08102,
35,46.0614,2.01079,10.2627,393.024,2.73569,76.3334,33.0183,9.60016,0.395394,1.3658,0.644872,0.448209,
36,1.02733,0.0664616,0.210848,21.9586,0.333066,0.0324634,0.0195515,25.3716,0.346866,0.113846,0.0253001,1.08416,
37,1.03026,0.0659329,0.211256,21.9116,0.33977,0.0396898,0.0749618,25.3933,0.346978,0.114223,0.0264775,1.08517,
38,1.02854,0.0710979,0.208625,21.9317,0.332658,0.0316491,0.0435022,25.3798,0.346978,0.114675,0.0270099,1.08386,
39,1.02773,0.0651052,0.21467,21.9615,0.339737,0.031611,0.0294698,25.3763,0.346806,0.113027,0.0271336,1.08528,
40,1.02706,0.0645259,0.210625,21.9774,0.327608,0.036757,0.0223533,25.3624,0.346775,0.1138,0.0306272,1.08441,
41,1.02291,0.0649758,0.210296,21.9888,0.327309,0.0389036,0.172702,25.3558,0.346706,0.114447,0.0274896,1.08431,
42,116.66,5.71475,8.57665,140.977,2.17909,47.1312,861.817,72.0797,0.143641,1.12386,2.63673,7.27493,
43,1.03061,0.0731155,0.210379,21.9504,0.330048,0.0309308,0.0986974,25.3689,0.346881,0.114404,0.0264342,1.08341,
44,1.02511,0.0646075,0.213524,21.9779,0.337134,0.0304958,0.14171,25.3688,0.346703,0.113634,0.0275656,1.08459,
45,1.02719,0.0678477,0.214467,21.9932,0.333943,0.0325347,0.0208075,25.3486,0.346673,0.113192,0.0244072,1.08344,
46,1.0286,0.0644371,0.209942,21.9417,0.337429,0.0331684,0.0695784,25.3777,0.346914,0.114063,0.0322055,1.0849,
47,1.02635,0.0673862,0.215171,21.9288,0.330205,0.0353116,0.0755246,25.3775,0.34686,0.113322,0.0276501,1.08353,
48,1.02623,0.0647469,0.21085,21.9884,0.33171,0.0333777,0.0388288,25.3499,0.346757,0.113675,0.0265258,1.08392,
