Individual,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.roll_center.z,Heave.front.motion_ratio_heave_l,Heave.front.scrub_radius_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_l,Roll.front.side_view_swing_arm_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.02369,0.0215462,0.0921485,10.9286,0.0325864,0.0120152,0.0178506,26.2528,0.411962,0.000761547,0.218119,0.118347,1.27291,
1,0.0231589,0.0297315,0.0933295,10.9259,0.0323382,0.0156036,0.00738708,26.2589,0.412003,0.000107771,0.216982,0.119477,1.27224,
2,0.0255825,0.0064715,0.0965312,11.0141,0.0306235,0.0115734,0.0325876,26.1749,0.411643,0.000515651,0.215835,0.116475,1.27607,
3,0.0233986,0.00836817,0.0951344,11.0222,0.0288809,0.008959,0.0174245,26.1783,0.411655,0.000752879,0.216763,0.12586,1.27662,
4,0.0256619,0.00597167,0.0914875,10.9298,0.0322947,0.0112062,0.0106329,26.254,0.412076,9.21265e-05,0.21899,0.14517,1.27694,
5,0.0243301,0.00619014,0.0928508,10.9155,0.031267,0.0131418,0.0433456,26.2622,0.41209,0.000626958,0.219579,0.118265,1.27497,
6,0.0258447,0.0179416,0.0919001,10.8476,0.0327698,0.0157076,0.0277662,26.3187,0.412454,0.00109048,0.219408,0.128192,1.27527,
7,0.0285477,0.0185431,0.0946935,11.0324,0.030493,0.00991741,0.0132998,26.1699,0.411543,0.000592042,0.2166,0.116728,1.27451,
8,0.0271695,0.0104614,0.0919001,10.8215,0.0322715,0.0199295,0.0205983,26.3419,0.41255,0.000673827,0.220067,0.141728,1.2774,
9,0.0244301,0.0264617,0.0973409,10.9356,0.0333925,0.0211247,0.0167574,26.2464,0.4119,0.000670323,0.215164,0.115255,1.27393,
10,0.0241229,0.0160275,0.0916075,10.862,0.0368232,0.0327295,0.0163838,26.2972,0.412301,0.000179851,0.218863,0.134947,1.27546,
11,0.0243503,0.0105495,0.0927032,10.9315,0.0320252,0.0138652,0.0403201,26.2486,0.412011,0.00118509,0.217959,0.116821,1.27678,
12,0.0232104,0.00588189,0.0934878,10.959,0.0372099,0.0157003,0.0304265,26.2445,0.411873,0.000516331,0.217124,0.10528,1.27698,
13,0.028813,0.0297605,0.0923515,10.8097,0.0346773,0.019289,0.0280744,26.3624,0.412625,0.000599515,0.21923,0.10832,1.27576,
14,0.0240942,0.0169912,0.0935644,10.9422,0.0368783,0.01134,0.0280253,26.2496,0.411984,0.000617913,0.217269,0.115634,1.27773,
15,0.0242443,0.00615901,0.0918098,10.9516,0.0365738,0.0209812,0.0163779,26.2335,0.411944,0.000706041,0.218759,0.139569,1.27611,
16,0.0239292,0.0124632,0.0958194,10.9652,0.033999,0.00880899,0.0278134,26.24,0.411765,0.000689594,0.215607,0.118486,1.27441,
17,0.0237676,0.0158311,0.0923761,10.8505,0.0285803,0.0243836,0.039382,26.321,0.412345,0.00144936,0.217556,0.129985,1.27574,
18,0.0233644,0.0129894,0.0917267,11.0415,0.0283511,0.00980391,0.0248323,26.1555,0.411598,0.000699087,0.219567,0.136799,1.27637,
19,0.0364644,0.00769237,0.0912528,10.9121,0.0306013,0.0283063,0.0135504,26.2479,0.412127,0.000118362,0.219055,0.15671,1.27751,
20,0.0287191,0.00798192,0.0917775,10.8517,0.0339472,0.0121094,0.0463371,26.3127,0.412288,0.00096078,0.218749,0.13803,1.27839,
21,0.0343471,0.0170746,0.0922567,10.8106,0.0287401,0.0227989,0.0457777,26.3518,0.412458,0.000876541,0.217618,0.121522,1.27813,
22,0.0234553,0.0127,0.0918304,10.9736,0.0309243,0.0118284,0.0509822,26.1947,0.411731,0.00160216,0.218569,0.136535,1.27608,
23,0.029179,0.00721687,0.0916844,10.8384,0.0325474,0.0109216,0.0137812,26.3625,0.412318,0.000469947,0.218067,0.140058,1.27758,
24,0.0236321,0.0174756,0.0922092,10.932,0.0330107,0.0371614,0.0187955,26.2511,0.411982,0.000650917,0.218765,0.121674,1.27732,
25,0.0254003,0.00936069,0.0915043,10.83,0.0293581,0.0246676,0.0318792,26.3376,0.412545,0.000830779,0.220314,0.14594,1.27647,
26,0.0337218,0.00817035,0.0915367,10.858,0.0312625,0.0325747,0.0196134,26.3139,0.412473,0.000234085,0.219347,0.138368,1.2775,
27,0.0307022,0.0134661,0.0919919,10.7929,0.0348074,0.0315417,0.0121341,26.3797,0.412686,0.000419118,0.217909,0.140282,1.2782,
28,0.024552,0.010735,0.0927221,11.0279,0.0323389,0.0120442,0.0281206,26.1837,0.411586,0.000692549,0.218185,0.118566,1.27569,
29,0.0285742,0.0225232,0.0917859,10.8893,0.0328996,0.0173265,0.020163,26.2888,0.412313,0.000189055,0.221057,0.135994,1.27646,
30,0.0241244,0.0260109,0.0927575,10.9489,0.0323913,0.0122218,0.0463875,26.2379,0.411935,0.00148888,0.217664,0.114399,1.27317,
31,0.0234244,0.0108966,0.0936058,10.9025,0.0319686,0.00960766,0.0346706,26.2815,0.412034,0.000888593,0.216442,0.123092,1.27721,
32,8.9573,2.61047,1.57446,210.471,1.56749,75.8834,704.788,10.335,0.371908,23.522,0.618382,3.81515,4.58129,
33,0.0241816,0.0155125,0.091938,10.9068,0.0349169,0.0173093,0.10303,26.2724,0.412055,0.0036396,0.218317,0.129004,1.27466,
34,0.0231118,0.00598337,0.0933647,10.9364,0.0334524,0.0158681,0.0528559,26.2412,0.411958,0.00153729,0.217114,0.134442,1.27613,
35,0.0236757,0.0299716,0.0945159,10.849,0.0314869,0.0267208,0.054644,26.3304,0.412272,0.00190939,0.215869,0.114752,1.27345,
36,75.3573,3.76498,1.22977,208.641,2.22775,89.8356,1549.41,16.2053,0.196901,51.7054,1.19821,1.0588,6.83373,
37,0.0295272,0.00842839,0.091803,10.8308,0.031778,0.0300855,0.0583997,26.3306,0.412388,0.00172697,0.218231,0.135123,1.27864,
38,0.0245464,0.0138718,0.0939493,10.9516,0.0304638,0.0128738,0.0269798,26.2494,0.411918,0.000988681,0.216812,0.118402,1.27629,
39,0.023288,0.0307058,0.0935135,10.8448,0.0349655,0.0303354,0.0864819,26.3169,0.412224,0.00261279,0.216267,0.117613,1.27303,
40,0.023609,0.0231987,0.0931343,10.9079,0.0281073,0.0159395,0.0274943,26.2564,0.412068,0.000548308,0.217221,0.124558,1.27449,
41,0.0274216,0.00645426,0.0923893,10.8497,0.0306632,0.0230418,0.0420845,26.3355,0.412354,0.00159236,0.218213,0.119068,1.27789,
