Individual,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.camber_angle_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,1.71907,3.18699,0.294224,0.0979833,0.0243119,9.32206,0.372778,0.30811,21.8286,0.124522,1.22945,0.0845677,0.296741,
1,1.7182,3.18624,0.295882,0.0976115,0.0241724,9.31952,0.372792,0.308129,21.8312,0.124917,1.2298,0.0843969,0.29722,
2,1.71834,3.18527,0.29642,0.0995931,0.0240418,9.31886,0.372702,0.308141,21.8311,0.124294,1.23024,0.0845513,0.296752,
3,1.71784,3.18716,0.297397,0.0963469,0.0246901,9.32102,0.372821,0.308114,21.8306,0.125003,1.22932,0.0841981,0.296717,
4,1.71899,3.18589,0.295632,0.0968288,0.0245096,9.31705,0.372992,0.308144,21.8349,0.125812,1.23029,0.0846302,0.296376,
5,1.71903,3.18649,0.297394,0.0993244,0.0244837,9.31719,0.372872,0.308151,21.8323,0.125003,1.2301,0.0839234,0.296037,
6,1.71717,3.18661,0.298459,0.0962333,0.0244323,9.32228,0.372806,0.308108,21.831,0.124964,1.22959,0.0838614,0.297144,
7,1.71839,3.18725,0.296885,0.0969879,0.0246322,9.31693,0.372853,0.308138,21.835,0.125386,1.22934,0.0843037,0.296518,
8,1.72173,3.1861,0.289359,0.0969826,0.0245757,9.31412,0.373159,0.308177,21.837,0.126487,1.231,0.0872145,0.296881,
9,1.71778,3.18687,0.297871,0.0967096,0.0243361,9.31895,0.372746,0.308129,21.8335,0.12488,1.22963,0.0840574,0.297325,
10,1.71286,3.1853,0.307076,0.0985191,0.0248182,9.32324,0.372566,0.308086,21.8272,0.123628,1.22928,0.0823973,0.297805,
11,1.71652,3.18584,0.300329,0.0966389,0.024666,9.31651,0.372868,0.30813,21.8352,0.125295,1.22999,0.0833829,0.297446,
12,1.71834,3.18654,0.297449,0.0979574,0.0245273,9.31945,0.37275,0.308135,21.8326,0.1248,1.22967,0.0841826,0.296375,
13,1.71778,3.18603,0.295667,0.0954853,0.0244932,9.32109,0.372921,0.308125,21.8334,0.125809,1.23025,0.0843794,0.297651,
14,1.71722,3.18588,0.299867,0.0978938,0.0249316,9.32015,0.372722,0.308128,21.8308,0.124456,1.22987,0.0846154,0.296578,
15,1.71701,3.18647,0.298986,0.0960891,0.0243922,9.32096,0.372706,0.308118,21.833,0.124875,1.22975,0.0833636,0.297431,
16,1.71844,3.18591,0.29609,0.0968505,0.0242804,9.31964,0.372637,0.308132,21.8346,0.124347,1.23018,0.0846846,0.297533,
17,1.71897,3.18554,0.295543,0.0977196,0.024531,9.32147,0.372852,0.308131,21.8308,0.125224,1.23103,0.0840695,0.297458,
18,1.71781,3.18819,0.297995,0.0971524,0.0247664,9.32214,0.372884,0.308103,21.8298,0.125523,1.22909,0.0831423,0.296854,
19,1.71995,3.18721,0.29401,0.0962646,0.0241105,9.32263,0.37313,0.308123,21.8298,0.126598,1.23018,0.0850621,0.296366,
