Individual,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_l,Roll.front.side_view_swing_arm_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,1.02659,0.477529,0.0107002,0.0739531,0.160531,11.9997,0.0709772,27.7467,0.334081,0.0214155,1.06078,0.0136282,1.20681,
1,1.02302,0.477114,0.0106737,0.074128,0.16058,12.0033,0.0706205,27.7416,0.334048,0.0217094,1.06536,0.0147664,1.20669,
2,1.02248,0.476573,0.0106299,0.0748664,0.160424,12.0052,0.0707554,27.7385,0.334033,0.0216491,1.06614,0.0155553,1.20681,
3,1.02287,0.476727,0.0107197,0.0757252,0.160632,12.0005,0.0705551,27.7438,0.334059,0.0217924,1.06551,0.0141794,1.20679,
4,1.02296,0.477716,0.0106806,0.0740387,0.160754,12.0031,0.0706429,27.7413,0.334046,0.0221883,1.0653,0.0145998,1.20647,
5,1.02764,0.477686,0.0106677,0.0740391,0.160504,11.9986,0.070856,27.7468,0.334082,0.0213133,1.05995,0.015001,1.20684,
6,1.02282,0.476973,0.0106682,0.0743914,0.160798,12.003,0.0708492,27.7422,0.334045,0.0221021,1.06557,0.0138467,1.20677,
7,1.02515,0.477467,0.010655,0.0744542,0.160575,11.9972,0.0706881,27.7467,0.334086,0.0218865,1.06282,0.0155969,1.20684,
8,1.02617,0.477982,0.0108028,0.0749357,0.160868,11.9976,0.070852,27.7466,0.334086,0.0218666,1.06141,0.0145361,1.20658,
9,1.02022,0.477031,0.0106853,0.073705,0.160872,12.0068,0.0708391,27.7383,0.334017,0.0227753,1.06869,0.0137675,1.20665,
10,1.02143,0.477489,0.010749,0.0744191,0.160992,12.0021,0.0707865,27.7417,0.334046,0.0224258,1.06734,0.0143509,1.20654,
11,1.02315,0.477498,0.0106578,0.0740116,0.160432,12.002,0.0707163,27.7432,0.334056,0.022362,1.06521,0.0142293,1.20684,
12,1.02698,0.478513,0.0107307,0.0741704,0.160718,11.9994,0.0706726,27.7465,0.334081,0.0217604,1.06037,0.0138186,1.20665,
13,1.02287,0.476759,0.0106214,0.0756177,0.160797,12.0011,0.0704878,27.742,0.334053,0.0217691,1.06575,0.0158514,1.20678,
14,1.02296,0.477943,0.0106901,0.0742494,0.161026,12.0043,0.0705511,27.7406,0.334035,0.0219599,1.06562,0.0141532,1.20648,
15,1.02579,0.47848,0.0106911,0.0740094,0.160877,12.0008,0.0710551,27.7439,0.334073,0.0219613,1.06193,0.0143269,1.20664,
16,1.02264,0.477777,0.010674,0.0742158,0.16073,12.003,0.0705897,27.7413,0.334043,0.0223087,1.066,0.0148348,1.2065,
17,1.0232,0.477007,0.010649,0.0749407,0.1612,12.0041,0.0709766,27.7385,0.33404,0.0218766,1.06535,0.0159984,1.2067,
18,1.0255,0.477633,0.0107026,0.0750574,0.160898,12.0011,0.0706848,27.7427,0.334059,0.0214699,1.06263,0.0154793,1.20667,
19,1.02311,0.477332,0.0106329,0.0742645,0.161048,12.0017,0.0698953,27.7435,0.334053,0.0214827,1.06541,0.0154657,1.2066,
20,1.02556,0.477328,0.0106676,0.0738983,0.160859,11.9996,0.0706523,27.7457,0.334076,0.0217561,1.06235,0.0153046,1.20686,
21,1.02314,0.47714,0.010655,0.0747637,0.16095,12.0029,0.0706823,27.7418,0.334047,0.022044,1.0653,0.0144742,1.20677,
22,1.02269,0.477061,0.0106406,0.0753745,0.160819,11.999,0.0710706,27.7435,0.334069,0.0225958,1.06569,0.0153843,1.20669,
23,1.02534,0.477458,0.0107377,0.0744651,0.160767,11.9986,0.0704637,27.7458,0.334077,0.0218216,1.0627,0.0155715,1.20679,
24,1.02644,0.477692,0.0106976,0.0752986,0.160583,11.9965,0.0706406,27.7475,0.334092,0.0217284,1.06133,0.0154128,1.20676,
25,1.02486,0.477449,0.0107637,0.0740216,0.160976,12.0017,0.070533,27.7447,0.334065,0.0219229,1.06294,0.0139609,1.20684,
26,1.02405,0.477098,0.0107542,0.0750623,0.16098,12.0026,0.0705278,27.7429,0.334056,0.0216899,1.0641,0.0141372,1.20683,
27,1.02578,0.477909,0.010695,0.0746914,0.160939,11.9977,0.0706272,27.7463,0.334084,0.0219177,1.06212,0.0153423,1.20665,
28,1.02597,0.477739,0.0107475,0.0758935,0.160484,11.992,0.0704929,27.7533,0.334128,0.0219623,1.06141,0.0139227,1.20681,
29,1.02617,0.477895,0.0107153,0.0752527,0.160498,11.9977,0.0706564,27.7464,0.334089,0.021814,1.06157,0.0153596,1.20673,
30,1.0239,0.47714,0.0107014,0.0740259,0.16068,12.0022,0.0705041,27.7432,0.334051,0.0218791,1.06425,0.0145945,1.20673,
31,2.37084,64.115,5.79592,46.5993,0.619594,566.306,75.5018,11.3217,0.907083,73.3177,10.0864,0.754943,0.183312,
32,1.02555,0.477209,0.0106642,0.074288,0.160652,11.9987,0.0707352,27.7465,0.334079,0.0215571,1.06237,0.014763,1.20696,
33,1.02717,0.477669,0.010725,0.0742014,0.160791,11.9993,0.0706615,27.7464,0.33408,0.0213,1.06043,0.014861,1.20681,
34,3.76602,82.009,2.90144,80.7686,1.46924,323.816,324.861,1.11373,0.534011,322.908,3.07107,1.91303,1.52872,
35,1.0262,0.477126,0.0107362,0.0750718,0.16097,11.9983,0.0708291,27.7472,0.334088,0.0214329,1.06127,0.0140455,1.2069,
36,1.0257,0.477738,0.0106733,0.0742226,0.160253,11.9985,0.0706447,27.7468,0.334087,0.0218556,1.062,0.0147635,1.20685,
37,1.02646,0.477485,0.0107105,0.0741607,0.161049,11.9996,0.0707479,27.7472,0.334082,0.0217518,1.06107,0.0136217,1.20705,
38,1.02429,0.477224,0.0107326,0.0740287,0.160847,12.0028,0.0706162,27.7424,0.334051,0.0213708,1.06376,0.0146656,1.20662,
39,1.02589,0.478056,0.0106587,0.0743582,0.160657,11.9998,0.0708226,27.7439,0.334072,0.0213278,1.06204,0.0156502,1.20657,
40,1.01944,0.475981,0.0106773,0.0746543,0.16062,12.0045,0.0705605,27.7391,0.334026,0.0225035,1.06999,0.015407,1.20685,
41,1.02577,0.478147,0.0107343,0.0741674,0.160488,11.9994,0.0708356,27.7456,0.334072,0.02184,1.0621,0.0141413,1.20669,
42,1.0259,0.478087,0.0107938,0.0744063,0.160385,11.999,0.0706742,27.7474,0.334082,0.0219634,1.0616,0.0132777,1.20668,
43,1.01874,0.477299,0.0106164,0.0734693,0.160874,12.0079,0.0707446,27.7352,0.334011,0.0230651,1.0706,0.0160213,1.20629,
44,4.04341,97.1799,5.91569,9.67924,2.32874,535.623,292.833,16.9083,1.00137,292.19,10.1566,0.669277,3.41573,
45,1.0226,0.476644,0.010703,0.0740573,0.160716,12.0028,0.0707825,27.7417,0.334048,0.0216477,1.06586,0.0148519,1.20675,
46,1.02651,0.477785,0.010649,0.0741197,0.160712,11.999,0.0705881,27.7467,0.334085,0.0217811,1.061,0.0149578,1.20682,
47,1.02579,0.478517,0.0107088,0.0737432,0.160525,12.0021,0.0707907,27.7441,0.334063,0.0218147,1.06185,0.0134953,1.20663,
48,1.02486,0.477277,0.0106689,0.0741225,0.161235,12.0031,0.0708621,27.7417,0.334048,0.0218528,1.06335,0.0149498,1.20687,
49,1.02309,0.476954,0.0107398,0.0742608,0.160827,12.0009,0.0708274,27.7434,0.334057,0.0217625,1.06521,0.0145579,1.20667,
