Individual,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.00669366,0.241438,0.0548897,0.0015244,0.175413,12.5426,0.014771,0.00443096,5.87563,0.426772,0.640587,0.0127347,1.36687,
1,0.00776148,0.241401,0.0546179,0.0024451,0.175011,12.5402,0.0150978,0.00450197,5.87672,0.426797,0.640456,0.012531,1.36688,
2,0.00736076,0.241093,0.0548348,0.00205158,0.175474,12.5423,0.0153282,0.00473554,5.87496,0.426767,0.640593,0.0126624,1.3669,
3,0.00802995,0.241327,0.0542864,0.00197393,0.174856,12.5329,0.0151574,0.00454104,5.88476,0.426869,0.640856,0.0126112,1.36708,
4,0.00708524,0.241782,0.0546888,0.00164136,0.175253,12.541,0.015364,0.00468596,5.87665,0.426802,0.6408,0.012676,1.36696,
5,0.0103633,0.240593,0.0536662,0.00207864,0.17497,12.5225,0.0144787,0.00442184,5.89523,0.426913,0.640802,0.0124947,1.3671,
6,0.00601657,0.241042,0.0550104,0.00163595,0.175807,12.5479,0.0158296,0.00487543,5.87071,0.426738,0.640755,0.0123902,1.36686,
7,0.00632092,0.241446,0.0552233,0.00156173,0.175578,12.5496,0.0152706,0.00455481,5.86953,0.426729,0.640526,0.0124488,1.36697,
8,0.00724825,0.241464,0.0545357,0.00168847,0.175241,12.539,0.0150405,0.0046892,5.87925,0.426814,0.640846,0.0128621,1.36708,
9,0.00749335,0.243013,0.0541686,0.00165671,0.174403,12.5371,0.0151145,0.00493598,5.8815,0.426831,0.640028,0.0125304,1.3671,
10,0.00680686,0.241145,0.054896,0.00152487,0.175358,12.5429,0.0149869,0.00451795,5.8767,0.426784,0.640727,0.0126708,1.36695,
11,0.00793629,0.24187,0.0546692,0.00196971,0.175301,12.5393,0.0156329,0.00504636,5.87786,0.426803,0.640664,0.012253,1.36698,
12,0.00659511,0.241887,0.0547976,0.00162744,0.175527,12.5455,0.0154485,0.00508243,5.87299,0.426763,0.640697,0.0125173,1.36694,
13,0.00720923,0.241289,0.0544469,0.00160202,0.174776,12.5364,0.0153038,0.00458836,5.88378,0.426862,0.640886,0.0125437,1.36707,
14,0.0089004,0.24095,0.0538917,0.00150993,0.175188,12.5301,0.0160268,0.00593074,5.88699,0.426859,0.640815,0.0127901,1.36684,
15,0.00686732,0.241295,0.0547025,0.00204481,0.175454,12.5454,0.0154666,0.00553261,5.8733,0.42675,0.640517,0.0126978,1.36677,
16,0.00833912,0.242373,0.0542156,0.00186517,0.175347,12.5326,0.0155615,0.004686,5.88477,0.426846,0.64091,0.0125648,1.36705,
17,0.0067241,0.241577,0.0550396,0.00225074,0.175493,12.5439,0.0151822,0.0046293,5.87533,0.42677,0.640742,0.0126936,1.36679,
18,0.00773337,0.241492,0.0547659,0.00158103,0.176013,12.5388,0.0156208,0.00469446,5.87767,0.426784,0.641289,0.0136695,1.367,
19,0.00686281,0.242971,0.0545774,0.00215839,0.174844,12.541,0.015418,0.00461945,5.87805,0.426802,0.640334,0.0126377,1.36705,
20,0.00805122,0.242539,0.0545307,0.00153098,0.175162,12.5345,0.0155423,0.00490722,5.88337,0.426841,0.640813,0.0126638,1.36696,
21,0.005963,0.242733,0.0555447,0.00152771,0.175789,12.5523,0.0150756,0.0045642,5.86708,0.42671,0.640735,0.0127542,1.36663,
22,0.0087125,0.243401,0.0538064,0.00218284,0.174623,12.5295,0.0155474,0.00472413,5.88846,0.42688,0.64043,0.012322,1.3669,
23,0.00815526,0.244225,0.0541884,0.00152081,0.17487,12.5347,0.0155709,0.00472071,5.88217,0.426819,0.640211,0.0132749,1.36721,
24,0.00972433,0.241511,0.053792,0.00155016,0.174706,12.5235,0.0152333,0.00466089,5.89529,0.426933,0.640909,0.0125199,1.36741,
25,0.008146,0.241072,0.0546488,0.00203161,0.175297,12.5338,0.016816,0.00640041,5.88248,0.426831,0.640715,0.0124677,1.36709,
26,0.00772599,0.241455,0.054414,0.00171309,0.17531,12.5358,0.0146958,0.00450822,5.88456,0.426851,0.641177,0.0125703,1.36703,
27,0.00581375,0.243876,0.0554457,0.00239642,0.175534,12.5526,0.0152036,0.00460042,5.86586,0.426709,0.640469,0.0125224,1.36684,
28,0.00844807,0.241821,0.0540301,0.00225777,0.174816,12.5284,0.0153093,0.00495249,5.89063,0.426905,0.641001,0.0124269,1.36709,
29,0.00698184,0.243539,0.0550329,0.00168564,0.176228,12.5437,0.0159391,0.00501779,5.87324,0.426735,0.640757,0.0123421,1.36696,
30,0.00713341,0.243223,0.0547562,0.00151713,0.175637,12.5397,0.0152379,0.00470159,5.87827,0.426795,0.640982,0.0130362,1.367,
31,0.00763954,0.241555,0.0542682,0.00200596,0.174832,12.5333,0.0153328,0.00470212,5.88582,0.426873,0.640855,0.0123762,1.36704,
32,0.00991284,0.240486,0.0536715,0.00175128,0.175244,12.5226,0.0150063,0.00453901,5.89545,0.426904,0.6409,0.0125058,1.36718,
33,121.871,1.4646,105.812,3.04272,7.81899,87.5217,162.7,163.963,968.182,0.876719,3.02102,3.29506,5.44609,
