Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.half_track_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.half_track_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.half_track_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,55.2711,103.497,39.0752,0.534037,2.65223,67.0103,1.66041,3.62878,2.37239,24.4831,0.273478,1.41606,3.09887,28.2841,2.06043,3.91881,2.80026,39.9924,0.321198,1.64561,0.210635,27.5867,0.0195619,0.625767,0.0408836,11.2558,0.0240473,0.228799,
1,55.2711,80.2479,21.1032,0.688754,2.31409,46.5635,1.88915,2.97514,1.71778,20.3598,2.99395,1.43457,1.92483,27.3186,1.3712,1.21566,1.62425,11.8286,5.13534,0.853862,0.117357,15.7485,0.0195619,0.941438,0.0400742,9.4232,0.0259696,0.234639,
2,55.2711,91.7712,75.8979,0.60227,1.85264,42.3904,2.0402,2.69682,1.58376,35.2906,4.47695,1.43988,1.54731,22.2217,1.32589,1.15687,1.40683,70.1263,7.27052,0.837264,0.117357,15.7485,0.017345,0.595211,0.0400742,5.22014,0.0259696,0.251865,
3,55.2711,81.8237,45.0039,0.675489,1.76823,40.8434,2.32146,2.69281,1.27042,26.2635,5.24671,1.41719,1.6472,23.6172,1.48628,1.15607,1.12798,36.1304,7.12939,0.857359,0.117357,22.685,0.017345,0.61222,0.0400742,9.56288,0.0259696,0.251865,
4,55.2711,81.6236,49.7664,0.677146,1.62579,40.7966,2.50871,2.78471,1.89534,24.8144,5.84156,1.35651,1.28705,26.7763,1.63259,1.19142,2.14704,38.3812,8.37728,0.780976,0.110623,21.9808,0.0305215,0.626051,0.0400742,0.377518,0.0259696,0.251865,
5,55.2711,95.3394,97.2529,0.57973,1.92504,39.3845,2.25166,2.56676,1.51983,40.1417,5.9957,1.55418,1.60031,20.9861,1.49775,1.09062,1.44677,91.4161,7.99457,1.03896,0.117357,15.5732,0.0305215,0.622719,0.0400742,4.86594,0.0259696,0.251865,
6,55.2711,445.751,2537.39,0.123995,1.55042,42.0123,2.69314,2.78062,1.59906,386.384,7.27295,1.45865,1.45164,28.709,1.83806,1.30923,1.71698,2558.86,10.1436,0.861248,0.0192494,15.5732,0.0305215,0.598135,0.0400742,3.03457,0.0259696,0.251865,
7,55.2711,199.999,845.788,0.276356,1.79016,36.6488,2.14124,2.50026,1.56292,147.536,6.36972,1.44984,1.64921,22.4028,1.81895,1.03584,1.71879,872.648,9.57704,0.975194,0.173067,15.5732,0.0305215,0.594552,0.0400742,3.03457,0.0259696,0.190821,
8,46.2602,82.2554,50.798,0.562398,1.83502,40.1422,1.70513,2.64458,1.3356,27.8162,5.34402,1.43261,2.04499,25.5124,1.54336,1.23137,1.44068,124.433,8.28824,1.06088,0.0525758,15.5732,0.0305215,0.625132,0.0334068,1.22814,0.0259696,0.248116,
9,46.2602,92.219,166.25,0.501634,1.65511,36.5176,1.54749,2.60888,1.21784,41.691,5.72319,1.25788,1.86189,22.0109,1.6062,1.01831,1.5371,159.842,8.33112,0.999869,0.0525758,15.5732,0.0305215,0.664073,0.0254374,1.22814,0.0259696,0.248116,
