Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.half_track_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.toe_angle_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.camber_angle_gain_roll_r.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.half_track_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.camber_angle_gain_roll_r.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.half_track_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.toe_angle_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.camber_angle_gain_roll_r.best,Steering.front.tie_rod_angle_front_view_l.best,
0,53.9042,96.9714,27.7641,0.555878,1.36842,67.6082,1.95214,0.576991,0.191478,2.42767,21.1242,0.533692,1.18858,1.46549,67.1156,1.30166,0.573065,0.224224,2.94188,26.731,0.607081,0.957798,0.325364,27.5867,0.0305215,0.0288411,0.0124745,0.361363,11.0948,0.0322852,0.201602,
1,53.9042,93.5066,74.163,0.576475,1.20693,54.5359,2.36099,0.521482,1.70699,1.89441,29.6847,0.402141,1.19315,0.494737,27.7105,1.45377,0.331311,3.55275,1.74726,70.0032,0.289714,0.753165,0.235753,27.2968,0.0305215,0.0288411,0.0162845,0.204246,8.09631,0.026372,0.251518,
2,53.9042,79.6165,43.8027,0.677049,1.13705,45.3265,2.32399,0.560035,3.50048,1.99624,23.2143,0.303247,1.25471,0.404913,23.3938,1.3407,0.535248,5.23519,1.80444,36.0525,0.253559,1.00967,0.265339,26.9555,0.0305215,0.023572,0.0217856,0.204246,0.765673,0.0244509,0.251518,
3,53.9042,705.853,4432.43,0.0763676,0.994339,39.6378,2.28738,0.438769,3.71342,1.83521,655.563,0.328384,1.05472,0.390812,20.1514,1.29693,0.492597,5.58025,1.62744,4387.36,0.734516,0.970017,0.235902,26.9555,0.0305215,0.0202121,0.0217856,0.0711043,0.765673,0.0244509,0.251865,
4,53.9042,71.9452,31.0397,0.74924,1.0189,39.4397,2.19278,0.429089,3.35039,1.8846,22.4293,0.219762,0.980763,0.405712,26.5173,1.19308,0.491539,6.00762,1.73897,626.901,0.295105,0.785154,0.355302,24.7039,0.0305215,0.0116239,0.0217856,0.0711043,0.765673,0.0244509,0.251865,
5,53.1828,70.1837,26.922,0.757766,0.989231,35.3757,2.27389,0.453731,5.14189,1.65302,22.9626,0.188653,1.14497,0.316468,16.3187,1.39831,0.532462,8.51223,1.55392,15.3407,0.185221,0.910138,0.340351,13.3596,0.0305215,0.00581358,0.0259696,0.0494866,8.30027,0.0244509,0.244163,
6,53.1828,84.8432,149.037,0.626836,0.933224,34.0377,1.90611,0.340298,2.49402,1.5953,42.416,0.158459,0.962015,0.300599,16.6202,1.32272,0.384288,4.94633,1.37086,143.489,0.194384,0.770904,0.239851,25.9743,0.0305215,0.00581358,0.0259696,0.233136,7.88809,0.0244509,0.244163,
7,53.1828,117.666,284.039,0.451982,1.00498,38.6136,2.26274,0.445854,4.73333,1.83106,67.3952,0.228827,1.1502,0.42836,24.1795,1.42288,0.535537,9.93361,1.56826,278.749,0.281097,0.967614,0.226087,14.3734,0.0305215,0.00581358,0.0259696,0.361363,8.07691,0.0244509,0.251592,
8,53.1828,87.0172,96.948,0.611176,1.09223,44.1274,2.13106,0.307444,3.55871,1.64304,32.8546,0.264429,1.03824,0.488349,32.8384,1.49011,0.411295,6.85783,1.45934,93.4621,0.33964,0.980572,0.24648,18.8403,0.0305215,0.00581358,0.0259696,0.232034,0.501627,0.0322852,0.251592,
9,53.1828,159.732,574.309,0.33295,0.992377,39.9322,2.33629,0.405967,4.92191,1.67672,107.989,0.254619,1.22247,0.447914,26.9296,1.52074,0.494137,9.17764,1.61338,575.303,0.329172,1.07678,0.239286,14.1027,0.0305215,0.00581358,0.0259696,0.232034,3.92681,0.024909,0.251592,
