Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_r.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_r.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_r.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,55.3974,110.605,36.9449,0.50086,3.68427,8.57932,2.42089,66.7049,23.1039,1.89193,1.26171,0.520598,1.05433,1.38271,2.4009,25.9524,2.51466,71.9085,29.8994,1.92295,1.42255,0.595718,1.20499,1.3663,0.300083,0.0778011,0.0305215,27.5867,11.137,0.0205958,0.0529086,0.0322852,0.188898,1.08431,
1,55.3974,125.75,163.141,0.440535,2.95726,25.9543,2.62456,49.833,25.0215,1.46248,14.9554,0.35776,1.20707,1.37689,2.10094,139.883,1.31849,26.47,33.0891,1.06562,38.3437,0.278692,0.789715,0.173641,0.233738,0.0778011,0.0305215,18.6272,8.95173,0.0205958,0.129848,0.0240805,0.188898,1.00883,
2,55.3974,105.173,49.0818,0.526725,2.83082,7.13228,2.74725,43.2378,20.9125,1.44871,24.1171,0.28563,1.06242,1.39878,2.28639,30.4993,1.33716,18.0737,12.7058,1.39302,35.3307,0.204516,0.609849,0.194599,0.300083,0.0778011,0.0305215,24.4916,9.0378,0.0152479,0.129848,0.0240805,0.188898,1.08431,
3,55.3974,88.2881,38.3236,0.627461,2.84409,2.3753,2.57388,39.2546,19.6709,1.45653,17.4237,0.238696,1.09806,1.35229,2.22437,6.14004,1.24336,17.5253,5.98611,1.29092,36.0306,0.19891,0.606077,0.161304,0.156344,0.0778011,0.0305215,18.9603,8.3794,0.0205958,0.113553,0.0240805,0.188898,1.08431,
4,55.3974,129.934,205.642,0.426349,2.37161,11.8794,2.78951,37.7179,54.1619,1.45538,16.8358,0.228824,1.14679,1.34714,1.55017,38.5436,1.29594,17.7864,181.4,1.54731,38.9552,0.202357,0.679068,0.177622,0.221446,0.0778011,0.0305215,17.0606,11.161,0.0205958,0.113553,0.0240805,0.188898,1.06327,
5,55.3974,101.822,156.092,0.54406,2.20853,27.7737,2.52754,35.2356,19.7521,0.946659,10.8462,0.176811,1.05531,1.29969,1.39708,131.569,1.58839,18.2599,34.5942,0.833739,27.4552,0.206742,0.626469,0.151715,0.149271,0.0372756,0.0305215,25.1335,8.09326,0.0981605,0.0546223,0.0234068,0.188898,0.985769,
6,55.3974,94.1683,72.3293,0.58828,2.39628,5.05719,2.37045,40.1978,24.3722,0.917443,16.1896,0.227219,1.13818,1.30196,2.04703,27.5197,1.66613,25.1762,37.0601,0.715983,33.3649,0.283155,0.727728,0.148021,0.149271,0.0372756,0.0305215,25.8869,8.21613,0.0981605,0.0546223,0.0234068,0.188898,1.03108,
7,55.3974,94.5822,82.5517,0.585706,2.48728,3.55243,2.156,34.4549,34.6412,1.15133,13.5689,0.172403,1.06888,1.32884,1.89082,11.998,1.56332,16.5222,63.3145,1.20821,35.6505,0.179191,0.627947,0.155384,0.221446,0.0372756,0.0305215,17.8469,8.13568,0.0605252,0.0546223,0.0234068,0.188898,1.06176,
8,55.3974,76.0765,40.0004,0.728179,2.2343,3.01335,2.25438,32.6935,19.3284,0.983078,13.0933,0.152489,0.969816,1.35395,2.13728,6.64268,1.61893,16.6899,15.6426,1.04666,33.5741,0.178046,0.627875,0.140939,0.174499,0.0532076,0.0305215,15.6672,5.70006,0.02497,0.0546223,0.0322852,0.188898,0.962196,
9,54.7565,99.6569,178.375,0.54945,1.63219,25.1972,1.86688,30.4271,19.9797,0.985704,17.3248,0.13428,0.747917,1.36106,1.61188,148.949,1.45159,9.71753,3.1643,1.16693,43.8579,0.114613,0.562452,0.140391,0.106964,0.238021,0.0305215,12.6347,3.63687,0.0244028,0.0546223,0.0322852,0.188898,1.07062,
10,54.3511,85.3625,124.156,0.63671,1.46119,1.71092,1.7368,31.7116,38.7468,0.947523,6.85092,0.137301,0.678647,1.3808,1.37224,23.9478,1.31781,10.6648,115.446,1.15855,27.3349,0.132562,0.507247,0.120066,0.106964,0.0348337,0.0305215,20.9741,12.0316,0.0244028,0.0546223,0.0322852,0.187245,1.13907,
11,54.3511,97.3476,141.611,0.55832,1.6199,21.5116,1.53261,33.3715,24.8437,0.793222,11.406,0.148,0.752296,1.36871,2.18446,112.6,1.34667,15.8504,35.3537,1.18531,30.6517,0.179557,0.512443,0.142908,0.0877835,0.103063,0.0305215,26.5608,8.00694,0.0244028,0.0546223,0.0261456,0.188898,1.10293,
12,54.2634,87.7417,67.5891,0.618445,2.11141,3.60536,1.69206,38.8444,28.7533,1.05524,9.2453,0.206785,0.849125,1.37875,2.83295,22.9629,1.62307,26.5165,37.8088,1.66659,30.6535,0.278876,0.72536,0.148816,0.0877835,0.103856,0.0305215,11.9277,8.11315,0.0244028,0.0546223,0.0249899,0.188898,1.06368,
13,54.2634,77.1913,52.2937,0.702973,1.37592,2.92109,1.26866,35.7647,20.872,0.895868,11.9126,0.176787,0.639384,1.3643,1.90731,14.0698,1.25085,21.8268,10.3098,1.29368,31.429,0.232965,0.584457,0.10677,0.0877835,0.103856,0.0305215,19.2635,8.13178,0.0157529,0.0546223,0.0322852,0.188898,1.13781,
14,53.6934,83.5069,58.6108,0.642981,1.47244,1.8998,1.40119,34.1579,23.4827,1.25763,17.5803,0.166441,0.684015,1.40447,1.89042,6.86265,1.40981,17.8375,15.0659,1.8011,43.5286,0.196731,0.633678,0.134259,0.0877835,0.103856,0.0305215,19.6486,8.03788,0.0244028,0.0546223,0.0322852,0.188898,1.09042,
15,52.9606,85.1734,87.141,0.621797,1.38776,11.9279,1.01646,34.241,24.9599,0.793093,8.66601,0.157953,0.642799,1.38054,2.06272,41.8192,1.33985,18.7062,24.6727,1.23549,28.9017,0.201652,0.629465,0.139729,0.0877835,0.103856,0.0305215,24.7089,7.83205,0.0244028,0.0546223,0.0322852,0.148762,1.02528,
16,52.9606,120.345,183.251,0.440073,1.73045,31.2412,1.2878,37.469,31.1633,0.764159,14.3516,0.196477,0.817835,1.32308,2.42477,137.332,1.57109,23.6833,77.6849,0.940874,34.1927,0.257724,0.81049,0.12844,0.0595198,0.0786769,0.0260421,19.3832,8.061,0.0244028,0.0243234,0.0322852,0.188898,1.04138,
17,52.9606,68.8595,44.7698,0.769111,1.16246,1.42285,0.928762,31.8582,20.1532,0.467769,10.8011,0.137782,0.609082,1.31829,1.7886,30.1839,1.46277,16.4444,11.2012,0.451594,35.5385,0.1757,0.611967,0.101241,0.0947949,0.0786769,0.0260421,24.648,7.84583,0.0241298,0.0243234,0.0322852,0.188898,0.959514,
18,52.9606,286.191,1357.64,0.185053,1.28746,9.6863,0.886204,32.3613,232.733,0.660652,6.3634,0.21055,0.651201,1.35123,1.81646,32.2841,1.24978,10.9194,1349.97,1.06628,27.6493,0.529201,0.610433,0.121236,0.0947949,0.0936288,0.00999225,24.6632,9.22234,0.014615,0.0243234,0.0541405,0.207194,1.0689,
