Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,57.9936,417.737,158.1,0.138828,1.35271,18.5066,332.691,15.8044,1.91565,1.34645,7.08606,25.2353,0.429347,10.6796,1.10334,1.58674,1.23597,25.5971,243.349,20.4676,1.58715,0.755532,8.10374,17.0477,0.447434,10.853,1.3441,1.74354,0.148535,0.0724153,27.5867,0.0916775,0.0305215,0.124471,0.0619855,1.59737,0.238433,7.9565,0.15212,0.294603,
1,57.9936,365.951,132.833,0.158473,1.62959,48.6491,249.082,15.2627,1.70199,1.2526,3.69928,31.4211,0.379629,10.1759,0.949575,1.74849,1.11679,72.2061,113.945,11.7069,1.16927,0.546032,3.78081,22.3181,0.182415,2.60756,0.694455,0.738305,0.0852948,0.0724153,27.5867,0.0916775,0.0305215,0.124471,0.0619855,1.45398,0.0836133,4.20191,0.15212,0.575809,
2,57.9936,309.809,67.791,0.187192,1.60541,33.8273,214.332,15.4662,1.65162,1.03147,2.87236,26.5535,0.321118,9.88363,0.86633,1.39784,1.01158,43.711,74.554,11.0306,1.15046,0.43691,2.27537,18.0775,0.113278,2.46451,0.701335,0.774815,0.0929121,0.0724153,27.5867,0.0916775,0.0305215,0.124471,0.0619855,2.15464,0.0958847,4.20191,0.0811423,0.275105,
3,57.9936,283.942,69.8817,0.204244,1.63261,41.6622,168.216,14.5699,1.53383,1.18082,2.48737,38.889,0.260963,10.8949,0.895619,1.71889,1.25406,43.8957,66.9049,12.0365,1.17724,0.494731,2.04247,28.4159,0.116136,4.2023,0.617723,1.07572,0.0196848,0.129848,27.5867,0.0916775,0.0305215,0.124471,0.0619855,2.15464,0.017713,7.26713,0.0811423,0.311884,
4,57.9936,253.965,59.7503,0.228353,1.29225,37.3932,144.241,14.3557,1.34417,1.0496,3.04831,38.4229,0.206374,10.3042,0.775742,1.53182,0.975998,39.8505,54.1591,10.3153,1.12917,0.467229,2.15605,20.4642,0.113716,2.91969,0.58331,0.74188,0.0196848,0.129848,27.5867,0.0916775,0.00441211,0.124471,0.0619855,2.15464,0.012464,5.75333,0.0811423,0.311884,
5,57.9936,226.549,44.7949,0.255987,1.41725,34.1429,122.607,13.3553,1.4302,1.10221,3.21383,36.3246,0.185867,10.5229,0.733833,1.51316,0.89352,30.6317,42.176,9.58142,1.05166,0.403226,2.37278,17.2188,0.0986045,2.98868,0.45406,0.742451,0.018202,0.129848,27.5867,0.0916775,0.00441211,0.124471,0.0717981,2.15464,0.0149415,2.71649,0.0902574,0.382767,
6,57.9936,217.395,50.5704,0.266766,1.70033,47.7353,97.8306,12.4952,1.32613,1.00436,2.56799,35.6299,0.180883,14.681,0.694847,1.54844,1.01821,42.4497,39.7747,8.15613,1.15799,0.353473,2.19386,20.5447,0.128347,23.5572,0.449608,0.757026,0.0196848,0.129848,24.9139,0.0916775,0.00441211,0.37775,0.0717981,2.15464,0.0149415,1.81201,0.136608,0.398108,
7,57.9936,194.691,37.8335,0.297876,1.65003,46.4846,84.4735,13.3473,1.42314,1.08003,2.9164,28.7297,0.142027,11.7387,0.953491,1.75175,1.04023,34.5681,37.4604,8.12982,1.14753,0.380486,2.50053,12.0537,0.119155,4.66592,0.727298,0.858427,0.0190002,0.129848,16.9565,0.0916775,0.00441211,0.357918,0.0717981,2.15464,0.00929503,1.63652,0.136608,0.385554,
8,57.9936,182.295,37.0137,0.318131,1.53624,38.9876,80.524,11.7823,1.45184,0.969537,2.87589,28.4209,0.146689,12.8261,1.00154,1.77217,0.945493,30.6713,33.7502,7.08514,1.14849,0.384357,3.06832,12.7467,0.0948224,4.44902,0.646762,0.715178,0.201637,0.129848,24.9139,0.0916775,0.0305215,0.311812,0.0717981,2.15464,0.0154233,2.91208,0.153091,0.364284,
9,57.9936,170.862,67.0722,0.339418,1.42453,37.2301,65.3582,12.4181,1.32785,0.940644,1.9881,30.668,0.158614,16.866,0.784825,1.69685,0.734502,36.0389,30.4475,10.1819,1.21229,0.436297,1.93227,15.3236,0.122815,21.1647,0.654762,0.852686,0.0729762,0.129848,24.9139,0.0916775,0.0305215,0.140351,0.0717981,2.10351,0.0154233,9.36525,0.0747123,0.18944,
10,57.9936,142.533,25.6179,0.406878,1.31053,28.2325,55.8057,6.62548,1.23282,0.880456,1.72475,30.7942,0.163549,13.6614,0.639089,1.46259,0.808916,21.8099,20.6253,4.45062,1.23829,0.422933,1.61289,17.5248,0.105914,4.80722,0.545836,0.517492,0.0729762,0.129848,24.7759,0.0916775,0.0305215,0.0650378,0.0717981,0.336829,0.0165244,4.03553,0.0891366,0.465576,
11,57.9936,128.922,21.8889,0.449833,1.36696,21.2257,53.4731,6.16893,1.31587,0.954949,1.66053,26.0969,0.170991,14.4094,0.711403,1.36779,0.982647,17.8469,16.9279,4.28393,1.31433,0.479913,1.24203,16.6909,0.104654,3.16543,0.535612,0.468291,0.0559192,0.129848,24.7759,0.0916775,0.0305215,0.225733,0.0717981,0.336829,0.017713,9.99403,0.0889149,0.457853,
