Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,60.6675,398.315,161.255,0.15231,1.36286,16.9615,313.526,4.26473,13.4357,2.07939,1.23576,6.60058,0.408403,25.1554,10.6896,1.01243,1.58257,1.20257,20.3093,208.145,4.32848,12.3206,2.36146,0.630947,7.93422,0.421849,21.727,9.50721,1.17279,0.997546,0.0938004,0.129848,27.5867,2.67387,0.0916775,0.0305215,0.256761,0.225325,0.232277,1.36221,8.01531,0.125018,0.319676,
1,60.6675,392.334,174.921,0.154632,1.71708,71.3111,245.616,6.50892,13.7687,1.96248,1.00441,3.25334,0.39451,34.0247,10.2204,0.979505,1.57335,1.20012,108.741,92.7944,5.08655,12.2042,1.04348,0.553391,3.94761,0.166328,22.2333,2.25188,0.611414,0.732952,0.026026,0.129848,27.5867,2.67387,0.0916775,0.0305215,0.256761,0.225325,0.113909,1.36221,8.01531,0.0210869,0.444419,
2,60.6675,307.741,107.78,0.197138,1.31886,43.6737,200.371,5.1463,9.92608,1.99244,0.94432,2.93099,0.315193,28.5366,10.1619,0.909553,1.51451,0.808998,74.9158,77.2187,3.60044,10.6146,1.02386,0.411749,1.92927,0.148585,19.7818,2.07219,0.639761,0.644153,0.026026,0.129848,27.5867,2.67387,0.0916775,0.0305215,0.183663,0.225325,0.0429564,1.48749,8.01531,0.0210869,0.571734,
3,60.6675,289.616,70.6744,0.209476,1.33624,47.1971,173.062,5.91167,9.35808,2.15313,0.902595,2.96014,0.280005,33.726,10.3151,0.882568,1.53121,0.931089,46.9412,49.3496,3.50143,7.43704,0.971993,0.404086,1.88502,0.0966684,20.7776,2.00281,0.566402,0.712575,0.026026,0.129848,27.5867,2.67387,0.0916775,0.0305215,0.0895766,0.0600069,0.0429564,1.48749,8.66941,0.0210869,0.382857,
4,60.6675,238.474,50.6336,0.254399,1.81595,27.8353,142.145,6.48979,9.66546,2.23152,1.01631,3.09355,0.21699,30.9115,10.5501,0.893905,1.60844,1.37344,33.0811,43.1136,4.52053,8.13614,0.968721,0.394327,2.1395,0.125501,21.3881,2.2138,0.617249,0.848399,0.026026,0.129848,27.5867,1.584,0.0916775,0.0305215,0.303031,0.115691,0.00240952,0.187816,7.22945,0.0210869,0.362557,
5,60.6675,217.183,47.9531,0.279338,1.6508,30.1081,118.483,7.18234,10.9438,2.34763,0.961773,2.86467,0.153623,29.4601,10.7152,0.901801,1.41033,1.29237,21.8593,37.3106,4.50118,7.85011,1.07693,0.407887,2.10335,0.120602,22.4575,2.36204,0.569487,0.856326,0.026026,0.129848,27.5867,1.584,0.0916775,0.0305215,0.281965,0.0572482,0.00240952,0.187816,7.22945,0.0210869,0.243833,
6,60.6675,187.757,40.4332,0.323116,1.99638,33.0394,99.3836,6.52289,10.4489,2.20892,0.885311,2.43527,0.111459,16.539,11.7728,0.882412,1.5309,1.50367,24.1942,29.0814,3.46773,6.7964,1.11388,0.402669,2.17016,0.10529,15.651,2.67312,0.564087,0.897969,0.0162753,0.129848,27.5867,1.584,0.0916775,0.0305215,0.175835,0.0572482,0.00135867,0.187816,7.40697,0.0210869,0.243833,
7,60.6675,180.946,48.109,0.335279,1.91586,35.6856,86.6691,6.69056,12.3991,2.54016,0.894497,2.96516,0.10835,16.2678,11.9548,1.02081,1.83452,1.48462,28.5582,29.1772,4.94002,10.7904,1.32009,0.523221,2.26434,0.0989758,19.8725,2.94507,0.630642,1.15622,0.0162753,0.129848,25.518,1.584,0.0916775,0.0305215,0.175835,0.114336,0.00135867,0.176177,5.38439,0.0210869,0.243833,
8,60.6675,182.881,160.113,0.331732,2.27658,26.9388,97.1509,7.76716,10.8778,2.56989,1.08155,2.72782,0.14522,14.9485,13.678,0.951745,1.76719,1.91681,31.8744,97.2333,6.12204,7.68037,1.34908,0.539538,2.22142,0.189676,27.7631,3.19299,0.669359,1.00171,0.0162753,0.129848,27.5867,1.584,0.0916775,0.0305215,0.175835,0.114336,0.00135867,0.176177,10.3401,0.062447,0.268101,
9,60.6675,149.583,77.4022,0.405578,1.95412,22.3062,70.8336,8.08219,9.48728,2.26243,1.0179,2.52179,0.159292,12.0621,16.0248,0.876927,1.99406,1.60472,39.1422,30.8761,4.49272,7.88887,1.43902,0.442632,1.98455,0.125933,19.2794,8.61217,0.602766,0.948975,0.0737361,0.129848,25.4044,1.6805,0.0916775,0.0305215,0.175835,0.114336,0.00135867,0.579389,10.6291,0.0757476,0.387687,
10,60.6675,143.246,84.8364,0.423518,2.25747,25.0599,61.4813,7.87677,9.33493,1.72589,1.03604,2.37728,0.214036,12.2695,16.6939,0.946983,1.97242,1.59997,42.2606,30.7989,4.49402,8.54382,1.46315,0.441962,2.15063,0.133925,16.9127,5.30456,0.738612,0.747396,0.0737361,0.129848,25.4044,1.6587,0.0916775,0.0305215,0.175835,0.098449,0.00501464,0.579389,11.7147,0.104244,0.387687,
11,60.6675,130.988,66.8517,0.463152,1.99292,20.7795,58.3811,6.02396,7.78439,1.32363,0.9779,2.4903,0.241879,10.7301,17.1555,1.07801,2.02901,1.52317,36.6773,29.3091,3.3752,5.73768,1.22637,0.460422,2.19951,0.110075,10.9549,5.0855,0.659684,0.711146,0.108908,0.129848,27.5867,1.51088,0.0916775,0.0305215,0.221213,0.098449,0.00501464,0.579389,11.2449,0.0708053,0.47639,
12,60.6675,123.937,96.1832,0.489503,2.25093,14.4387,59.0706,5.56316,7.46648,1.33725,0.902169,2.50014,0.293039,8.19537,18.6989,1.09383,2.12645,1.81312,18.1983,75.2694,2.55116,5.27189,1.11235,0.403259,1.72711,0.126306,7.3531,5.22132,0.668348,0.692616,0.108908,0.129848,27.5867,1.32927,0.0916775,0.0305215,0.221213,0.168411,0.106401,0.35401,13.1486,0.0708053,0.533294,
13,60.6675,131.89,121.029,0.459985,2.10834,21.6607,49.2838,6.16219,7.67381,1.34419,0.949065,2.43273,0.330051,12.2264,24.3516,1.30915,2.05813,1.33068,39.2112,40.0863,5.56777,7.75423,1.31087,0.44699,1.41803,0.116739,23.066,33.2312,0.729206,0.530631,0.180841,0.129848,27.5867,0.37064,0.0916775,0.0305215,0.269068,0.233386,0.135278,0.35401,12.9566,0.131511,0.777772,
