Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,56.675,463.241,168.686,0.122345,360.219,4.46086,26.5364,2.20391,1.52117,7.14324,0.445255,25.1921,1.45972,19.8775,10.8447,0.995025,2.3419,259.057,3.79718,32.3516,2.50805,1.16907,8.86927,0.464511,23.3106,1.87743,27.2632,11.0952,1.13438,2.04485,23.5943,2.67387,0.0916775,0.0305215,0.511366,0.147115,0.0643425,0.759228,0.0830031,0.0528845,6.72249,0.118207,0.214306,
1,56.675,366.441,104.28,0.154663,254.25,5.42335,28.9357,2.31133,1.47091,3.25866,0.346817,26.2317,1.49554,29.0329,9.8036,1.01869,2.86258,107.516,2.56822,27.4212,1.12381,0.47768,4.6334,0.168929,17.911,1.39049,41.1861,2.47994,0.675934,2.43281,23.5943,2.67387,0.0916775,0.0305215,0.511366,0.0905738,0.0268665,0.759228,0.0991313,0.0528845,6.72249,0.118207,0.397339,
2,56.675,318.741,63.0319,0.177809,219.381,5.24124,17.6738,2.27249,1.40586,2.49474,0.290219,27.6233,1.24065,27.7297,9.94762,1.04262,2.39722,56.0006,2.22126,19.4738,1.18076,0.462786,2.10971,0.12449,15.6801,1.04873,35.9587,2.09084,0.603475,1.47932,23.5943,2.67387,0.0916775,0.0305215,0.511366,0.147115,0.0239365,1.25916,0.011129,0.0528845,7.44372,0.118207,0.473662,
3,56.675,285.368,44.5903,0.198603,184.847,4.99716,16.0918,2.32407,1.3971,3.18257,0.221606,32.3489,1.08225,24.6887,10.3378,1.1528,2.69645,57.2948,2.22304,18.7478,1.19848,0.447964,2.26138,0.134861,13.7339,0.98972,19.5658,2.30914,0.606308,1.62841,23.5943,2.67387,0.0916775,0.0305215,0.511366,0.147115,0.0209128,1.25916,0.0647576,0.0537114,7.44372,0.118207,0.556676,
4,56.675,273.596,67.5347,0.207149,159.993,5.92572,14.1794,2.35236,1.37498,3.5946,0.16324,35.3281,1.05551,35.4364,10.4763,1.14742,2.56948,44.1444,3.98806,13.3867,1.1601,0.411512,2.38295,0.118643,20.2827,1.26345,35.7415,2.73133,0.660805,1.41732,23.5943,2.10624,0.0916775,0.0305215,0.397194,0.13732,0.019564,0.345807,0.0647576,0.129848,0.706626,0.0879677,0.272948,
5,56.675,241.764,50.7118,0.234423,143.252,6.09051,12.8124,1.93236,1.3634,3.39742,0.123804,28.839,1.07907,28.6627,10.8471,1.01566,2.3494,37.088,4.37649,8.7433,1.23344,0.448566,2.29853,0.10199,19.7079,1.31087,21.9905,2.50362,0.625183,1.22762,23.5943,1.93264,0.0916775,0.0305215,0.364735,0.13732,0.0142841,0.345807,0.0647576,0.129848,5.16446,0.0529643,0.154694,
6,56.675,221.894,48.4804,0.255415,122.194,6.48324,10.6678,1.74429,1.31741,2.57341,0.127915,26.2441,1.02428,35.675,10.9152,0.867381,2.06002,40.1198,4.53227,5.77205,1.2782,0.530601,1.87367,0.103324,22.4689,0.927244,30.2526,3.16244,0.556232,0.957387,23.5943,1.93264,0.0916775,0.0305215,0.329324,0.118337,0.00966967,0.345807,0.0701334,0.129848,1.54146,0.0529643,0.272948,
7,56.675,212.683,56.2199,0.266477,113.22,5.45159,11.8764,1.38245,1.22302,2.48877,0.134309,24.9856,0.901238,36.9644,11.4059,0.75479,1.89408,38.0079,3.75936,9.3659,1.18182,0.545023,1.65256,0.109371,18.4514,0.716711,30.2363,3.05566,0.476215,0.961582,23.5943,1.93264,0.0916775,0.0305215,0.397194,0.089597,0.00914098,0.345807,0.0237792,0.129848,4.78028,0.0529643,0.201422,
8,56.675,177.337,40.9898,0.319589,88.9032,4.59394,9.254,1.2799,1.15825,2.7227,0.185982,19.5312,1.03828,32.4861,13.5384,0.830211,1.81479,36.605,3.1252,5.6622,1.17051,0.542629,1.64855,0.153612,16.6747,0.719048,24.9529,5.48757,0.520451,0.876497,15.0911,1.1277,0.0916775,0.0305215,0.326132,0.146477,0.00914098,0.345807,0.0701334,0.129848,7.38072,0.063177,0.272948,
9,56.675,154.523,39.8729,0.366774,71.734,5.72079,8.2327,0.879753,0.97017,2.21436,0.233923,17.4849,1.02173,27.6259,16.1153,0.609165,1.68035,28.4219,3.9045,5.12479,1.01689,0.510464,1.72131,0.139257,16.0238,0.607919,22.5613,6.17141,0.531325,0.770859,15.0911,1.1277,0.0916775,0.0305215,0.289572,0.105465,0.0142841,0.672511,0.0128997,0.129848,10.1649,0.0500044,0.150991,
