Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,33.0921,439.64,164.291,0.0752709,350.304,4.54431,29.5797,2.03108,1.36316,6.77306,0.420661,22.7752,1.53151,17.1554,0.94672,2.21528,374.922,1.45998,26.375,2.2934,1.09071,6.61978,0.447516,16.2195,1.33132,21.228,1.09098,2.68539,23.5943,2.67387,0.0916775,0.0305215,0.181047,0.220432,0.0586854,0.733668,0.00901042,0.074066,0.177191,0.191814,
1,33.0921,389.888,137.65,0.0848758,271.141,6.50768,26.9229,2.33124,1.32336,3.44851,0.365574,29.297,1.79163,43.8528,0.976287,1.93004,103.502,5.05835,25.059,1.19549,0.564434,2.89495,0.180855,24.0424,1.50212,69.8595,0.500013,1.17374,23.5943,2.03483,0.0916775,0.0305215,0.0940762,0.220432,0.0241289,0.733668,0.210107,0.074066,0.169733,0.304761,
2,33.0921,337.352,77.622,0.0980935,234.524,5.37862,24.5127,2.39685,1.21643,2.71672,0.326336,26.2147,1.78641,35.4387,1.03418,1.80691,74.9891,3.13028,20.9671,1.16377,0.500645,2.25575,0.109221,19.4085,1.37297,45.637,0.48921,1.23618,23.5943,2.03483,0.0916775,0.0305215,0.181047,0.150694,0.0241289,0.733668,0.0238925,0.129848,0.177191,0.555348,
3,33.0921,318.308,73.4715,0.103963,217.204,5.42836,17.8661,2.42115,1.04585,2.92128,0.31289,29.5078,1.77267,36.8401,1.12004,1.86732,60.0354,2.99215,17.6846,1.24007,0.430934,2.60462,0.109416,21.7145,1.35649,44.1162,0.572964,1.02913,23.5943,2.03483,0.0916775,0.0305215,0.13926,0.0918682,0.0241289,0.225267,0.0238925,0.129848,0.177191,0.555348,
4,33.0921,296.859,75.8846,0.111474,185.519,5.70851,18.5161,2.03107,1.12594,3.29292,0.288812,31.1671,1.8129,44.3073,1.17521,1.91418,75.6314,3.50811,14.4001,1.31098,0.396168,3.14102,0.11514,19.7254,1.47459,46.2822,0.546448,1.15912,23.5943,1.51506,0.0916775,0.0305215,0.273349,0.106117,0.0241289,0.541924,0.0105849,0.129848,0.188898,0.555348,
5,33.0921,269.119,59.6962,0.122965,155.704,5.65821,20.0754,1.67336,1.07511,2.89607,0.232472,31.5287,2.12372,45.0927,1.09587,1.96303,60.6875,3.48507,15.9454,1.17688,0.427005,2.91251,0.128001,20.8732,1.59856,44.3794,0.546477,1.26096,23.5943,1.51506,0.0916775,0.0305215,0.201749,0.106117,0.0156074,0.541924,0.0345239,0.129848,0.188898,0.19972,
6,33.0921,241.91,77.8504,0.136795,134.246,5.61602,19.1751,1.86691,1.03684,2.97807,0.212772,26.8389,1.89468,45.1045,1.04991,1.88972,56.2647,3.5817,15.9442,1.26041,0.438956,3.07425,0.123233,22.4632,1.52195,46.6564,0.567886,1.13672,14.6654,1.45786,0.0916775,0.0305215,0.273349,0.106117,0.0156074,0.541924,0.0103178,0.129848,0.11293,0.14829,
7,33.0921,215.109,44.7157,0.153839,118.919,5.22983,19.5592,1.83955,1.0304,2.73768,0.183715,18.121,1.56982,43.3927,0.951493,1.57452,49.3599,3.32437,13.3507,1.16068,0.360895,2.54408,0.126806,22.2351,1.37936,29.6465,0.602096,1.0558,14.6654,1.45786,0.0916775,0.0305215,0.317427,0.106117,0.00651122,0.541924,0.0103178,0.129848,0.0812803,0.14829,
8,33.0921,221.255,128.027,0.149565,117.344,5.09731,20.0207,2.19067,1.52297,3.06845,0.203867,15.4193,1.34275,52.4067,0.986106,1.65195,74.4439,2.99957,14.2254,1.34203,3.45993,2.42372,0.18732,19.3066,1.29211,46.5706,0.639483,1.06742,16.2722,1.51506,0.0916775,0.0305215,0.430255,0.351195,0.0115944,0.316168,0.0343191,0.129848,0.11293,0.14829,
9,33.0921,185.342,68.7218,0.178546,102.834,4.41923,15.5454,2.00877,0.982851,3.12561,0.196838,11.8093,1.14126,40.5239,1.00119,1.7537,49.7602,2.32348,13.5054,1.37124,0.593074,1.99494,0.123756,15.3736,1.03794,30.1814,0.627939,0.902097,21.4103,0.842721,0.0916775,0.0305215,0.470946,0.454132,0.00722706,0.316168,0.0205887,0.129848,0.0750162,0.14829,
