Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,34.0667,465.872,170.832,0.0731247,362.519,32.5611,1.74087,1.53312,7.80388,25.1607,1.28685,1.43314,23.2396,0.986471,7.60661,389.373,35.8297,2.07426,1.21289,5.39532,15.5483,1.38782,1.71393,30.4267,1.14763,8.79242,23.5943,0.0916775,0.0305215,0.456098,0.0765635,1.5293,0.402614,0.081743,0.129848,0.115092,1.85261,
1,34.0667,425.541,159.537,0.0800552,293.429,30.1241,1.67071,1.37578,4.01379,29.1615,1.19943,1.49197,54.7262,0.92207,7.42665,115.927,25.4914,1.10359,0.749832,4.66864,22.9351,0.614464,1.09715,80.7957,0.574986,4.66862,23.5943,0.0916775,0.0305215,0.215394,0.0765635,1.4274,0.0475573,0.0832101,0.129848,0.115092,1.85261,
2,34.0667,345.253,78.8133,0.0986719,234.376,28.4659,1.61563,1.10107,3.05223,27.097,0.881301,1.87383,38.6462,0.982946,7.16046,87.2067,23.1464,1.15566,0.674411,2.36203,20.2331,0.469876,1.65664,49.3144,0.596012,5.28537,23.5943,0.0916775,0.0305215,0.108402,0.00746441,1.4274,0.042066,0.0832101,0.129848,0.115092,0.805063,
3,34.0667,308.076,106.797,0.110579,191.298,26.417,1.69189,1.11591,2.82947,30.3172,0.737863,1.44929,42.5819,0.942018,8.69505,75.8373,20.8132,1.24829,0.505821,2.1875,22.9366,0.398397,1.49295,55.7209,0.630457,5.20816,23.5943,0.0916775,0.0305215,0.108402,0.0765635,1.4274,0.0365384,0.0156513,0.129848,0.115092,1.00683,
4,34.0667,260.059,65.219,0.130996,150.521,22.09,1.55604,1.05364,2.70159,26.1396,0.636657,1.00682,44.9588,0.785662,8.60889,59.4945,18.282,1.19786,0.579817,2.05978,18.5579,0.397224,0.922122,45.7802,0.595045,4.97005,23.5943,0.0916775,0.0305215,0.092286,0.0765635,0.97355,0.029785,0.0156513,0.129848,0.0559937,0.368121,
5,34.0667,232.943,58.2831,0.146245,123.69,20.7115,1.37704,1.07143,2.27749,24.6081,0.551828,1.44522,48.8196,0.734443,7.65636,55.1662,16.1104,0.968033,0.551264,1.8736,20.2342,0.40546,1.18366,41.7078,0.59056,4.74834,5.48513,0.0916775,0.0305215,0.092286,0.162604,0.361425,0.0179757,0.0156513,0.129848,0.0559937,0.368121,
6,34.0667,243.139,103.701,0.140112,118.426,18.1654,1.70403,1.08734,2.42043,30.7068,0.62945,1.24583,61.0726,0.868638,6.81217,59.6217,14.7823,1.26137,0.611865,1.91789,26.7421,0.442127,1.06175,64.202,0.655615,4.20788,9.7713,0.0916775,0.0305215,0.092286,0.105015,0.791378,0.0179757,0.0156513,0.129848,0.0559937,0.311348,
7,34.0667,202.319,49.3902,0.168381,105.573,15.297,1.6219,0.919298,2.41121,18.3376,0.583982,1.46405,48.6687,0.834935,6.60733,51.6642,11.5968,1.12096,0.497786,2.01433,20.0284,0.400108,1.1622,44.1634,0.596625,3.78992,10.1717,0.0916775,0.0305215,0.092286,0.0918618,0.791378,0.0179757,0.0345389,0.129848,0.0559937,1.16193,
8,34.0667,186.473,59.3594,0.18269,85.6539,15.1889,1.67961,0.853136,2.45609,21.3327,0.786932,1.37162,49.7675,0.827332,6.55493,54.0757,11.2091,1.14231,0.527658,2.12538,18.076,0.548722,1.11871,35.4265,0.585387,3.84138,10.1717,0.0916775,0.0305215,0.092286,0.0918618,0.791378,0.0179757,0.0345389,0.129848,0.0606892,1.16193,
9,34.0667,172.815,53.0125,0.197128,72.1424,16.48,2.00289,0.740998,2.00009,19.6349,0.742382,1.20581,50.1848,0.850607,6.83008,41.4546,11.9031,1.11299,0.479242,1.57464,14.0105,0.429116,0.935649,34.6434,0.575962,4.18483,7.18647,0.0916775,0.0305215,0.092286,0.0918618,1.64792,0.0179757,0.0526609,0.129848,0.0606892,0.800216,
