Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,28.9762,437.868,169.328,0.0661756,354.887,22.7289,1.7295,1.44897,7.06765,26.0278,0.433758,1.37055,21.1616,1.01208,138.975,24.6942,2.11355,1.1069,6.60534,19.4489,0.458658,1.69603,30.0585,1.19045,23.5943,0.0916775,0.0305215,0.225395,0.338069,2.15464,0.103907,0.0380117,0.129848,0.172049,
1,28.9762,325.367,83.381,0.0890569,240.293,19.4903,1.45767,1.24773,4.04569,27.5321,0.329752,1.39506,28.5766,0.999,82.5623,19.0274,0.998528,0.613967,4.16104,23.6205,0.137901,1.03877,32.2468,0.620967,23.5943,0.0916775,0.0305215,0.122703,0.338069,2.15464,0.0431227,0.0504907,0.129848,0.151142,
2,28.9762,312.075,97.7674,0.0928501,207.355,16.3929,1.41775,1.15234,4.39326,27.9977,0.293973,1.43898,50.4586,1.17398,77.5484,12.9975,0.928498,0.504257,2.77078,17.831,0.139635,1.07617,54.6551,0.678859,23.5943,0.0916775,0.0305215,0.122703,0.235987,2.15464,0.0431227,0.0504907,0.129848,0.0999485,
3,28.9762,270.653,57.5715,0.10706,184.279,13.7943,1.31932,1.08775,4.45764,29.1181,0.246194,1.22008,33.9054,1.2258,59.1161,11.4279,0.91549,0.476239,2.64966,17.2533,0.126467,1.00405,34.9321,0.747271,23.5943,0.0916775,0.0305215,0.122703,0.235987,1.52741,0.0431227,0.0504907,0.129848,0.151142,
4,28.9762,259.697,61.3827,0.111577,175.516,10.4254,1.56349,1.23613,4.65325,26.8577,0.252417,1.44445,36.6769,1.07076,48.4832,7.58836,1.03006,0.537067,2.82567,18.4509,0.106243,1.12921,31.8054,0.634615,23.5943,0.0916775,0.0305215,0.122703,0.164222,1.52741,0.0431227,0.0504907,0.129848,0.151142,
5,28.9762,241.702,56.092,0.119884,155.457,15.294,1.68722,1.14382,5.21622,23.8829,0.233701,1.66318,36.1208,1.00341,56.574,13.6893,1.01636,0.426249,2.88403,16.5855,0.101362,1.19866,31.3898,0.637007,10.6461,0.0916775,0.0305215,0.464372,0.627068,1.52741,0.0100903,0.24184,0.129848,0.0581774,
6,28.9762,229.876,58.7378,0.126051,135.574,17.9179,1.93069,0.954573,5.7084,24.8184,0.195345,2.07995,39.6575,1.03904,53.9311,16.0368,1.12406,0.407833,2.93377,18.9247,0.10455,1.70844,34.0517,0.676383,10.6461,0.0916775,0.0305215,0.352521,0.0677158,1.16966,0.0100903,0.0516325,0.129848,0.0581774,
7,28.9762,203.771,42.2379,0.142199,117.216,21.4301,2.13407,1.03129,6.2121,21.5391,0.170048,2.04339,30.8229,1.17265,49.9998,18.0663,1.06074,0.446933,3.00083,14.3024,0.0954542,1.76846,27.0918,0.640236,10.6461,0.0916775,0.0305215,0.288989,0.0677158,1.09694,0.0100903,0.0516325,0.129848,0.0581774,
8,28.9762,184.947,34.277,0.156673,104.904,21.0645,1.94009,0.969295,5.61347,18.3003,0.176263,2.11356,28.7755,1.09028,47.9795,19.6131,1.05123,0.375166,3.37374,15.192,0.10444,1.70821,24.813,0.641447,10.6461,0.0916775,0.0305215,0.323197,0.0677158,0.332567,0.0100903,0.049879,0.129848,0.072682,
9,28.9762,178.081,39.6098,0.162713,98.1897,21.1139,1.70486,0.906082,5.96566,14.279,0.162771,2.2196,32.3145,1.22496,47.2072,19.2813,0.914742,0.362692,3.42147,11.7755,0.117851,1.95063,31.4829,0.581986,16.8648,0.0916775,0.0305215,0.149068,0.0677158,0.332567,0.0140183,0.049879,0.129848,0.188898,
10,28.9762,174.628,44.0893,0.165931,89.5031,19.2801,1.70277,0.981701,5.33488,14.6689,0.16024,2.42875,39.3449,1.22235,46.531,17.177,0.98007,0.344187,3.42572,11.7837,0.117995,2.03382,39.9529,0.669576,10.3382,0.0916775,0.0305215,0.149068,0.0294143,0.332567,0.0140183,0.049879,0.129848,0.0342828,
11,28.9762,179.49,83.0373,0.161436,92.197,17.7359,1.92446,0.961904,4.61548,14.6196,0.196098,2.37546,43.669,1.1952,56.1372,15.0172,1.07223,0.430089,3.20257,11.8044,0.154818,2.07889,48.1733,0.667341,13.0481,0.0916775,0.0305215,0.149068,0.0148744,0.332567,0.0115993,0.0125398,0.129848,0.0647916,
12,28.9762,144.622,45.3809,0.200358,69.15,19.1976,1.81198,1.16171,4.00141,14.4936,0.206322,1.81327,31.7748,1.01118,41.9269,17.5356,1.21089,2.1995,3.08867,10.6913,0.156324,1.87738,30.8971,0.721388,13.0481,0.0916775,0.0305215,0.149068,0.137778,0.332567,0.00485099,0.049879,0.129848,0.0450707,
13,28.9762,132.232,45.6747,0.219131,55.2605,18.2066,2.00273,0.819123,3.87162,15.8579,0.273609,1.6631,33.1299,1.14688,37.637,12.9185,1.20719,0.480794,2.98766,9.2631,0.172396,1.81783,27.5233,0.716408,11.4516,0.0916775,0.0305215,0.149068,0.137778,0.62216,0.0115993,0.0837591,0.129848,0.0450707,
14,28.9762,109.846,34.4622,0.263788,38.4416,17.1338,2.36448,0.747642,3.35752,16.2042,0.338392,1.29965,28.6745,1.28466,29.864,13.5513,1.27589,0.340108,2.52633,9.10142,0.150155,1.48388,25.0587,0.652898,10.1649,0.0916775,0.0305215,0.149068,0.137778,0.62216,0.0204237,0.0219555,0.129848,0.0450707,
15,28.9762,98.8149,76.627,0.293237,36.6674,14.0984,1.97364,0.748203,2.84543,16.8534,0.393758,1.37312,22.6152,1.24629,32.4658,13.4333,1.18976,0.379926,2.56032,12.788,0.119452,1.44217,38.9345,0.652699,10.1649,0.0916775,0.0305215,0.211316,0.110598,0.527435,0.105633,0.0397761,0.129848,0.111731,
16,28.9762,97.1442,98.4227,0.29828,44.2445,12.1886,1.96998,0.678603,2.23617,16.379,0.390744,1.08032,16.8587,1.11759,69.4855,11.7822,1.14498,0.308478,1.85044,20.5563,0.103877,1.17561,17.1727,0.669416,10.1649,0.0916775,0.0305215,0.211316,0.110598,0.527435,0.181081,0.00257287,0.129848,0.0594378,
17,28.9762,119.196,159.376,0.243097,53.8903,12.6908,1.9832,0.838827,2.13869,13.8446,0.396019,1.21893,31.1106,1.08388,76.7042,16.1945,1.16412,0.542604,1.66703,16.1077,0.121142,1.28251,65.5354,0.596068,12.5091,0.0916775,0.0305215,0.211316,0.110598,0.527435,0.108657,0.0330909,0.129848,0.0594378,
18,28.9762,112.42,190.694,0.257748,50.672,9.61881,1.89417,0.915799,2.61889,18.1113,0.398718,1.1205,25.8614,1.20875,78.9908,14.1184,1.13755,0.66645,1.92174,48.4211,0.121615,1.10687,54.7951,0.592769,12.5091,0.0916775,0.0305215,0.211316,0.110598,0.190734,0.206732,0.0397761,0.129848,0.0594378,
19,28.9762,93.0945,163.662,0.311255,50.987,7.68607,1.7764,1.16871,2.35528,12.2367,0.454626,0.9906,14.3638,1.07535,144.726,10.301,1.1517,3.19062,2.5754,13.5545,0.283704,1.00144,13.5027,0.621818,12.5091,0.0916775,0.0305215,0.211316,0.110598,0.516348,0.243707,0.0609219,0.129848,0.0594378,
20,25.1666,57.3144,13.6272,0.439098,24.0682,4.81566,1.6457,0.763989,2.14746,8.6675,0.457015,0.935584,12.6017,1.21155,10.8144,5.46977,1.06311,0.434425,1.49875,8.85389,0.082041,0.796585,10.1854,0.710105,11.6223,0.0916775,0.0305215,0.274099,0.0911797,0.527435,0.322238,0.0180539,0.129848,0.0594378,
21,23.277,48.9926,13.124,0.475111,19.0608,3.81585,1.19922,0.784744,2.37364,8.4664,0.473589,0.832357,10.6341,1.35189,8.71824,2.40927,1.03997,0.210823,1.4148,6.28108,0.0708533,0.82962,8.26124,0.712522,9.69111,0.0916775,0.0305215,0.414271,0.0911797,0.268819,0.280851,0.0129226,0.129848,0.0594378,
22,23.277,69.7964,131.511,0.333498,32.2821,5.33877,1.03675,0.859142,2.21725,12.5406,0.500031,0.763276,13.0281,1.2304,88.7471,8.14154,0.924005,0.640142,1.62755,17.9498,0.129865,0.618352,21.6657,0.722078,9.69111,0.0916775,0.0305215,0.414271,0.0911797,0.268819,0.334229,0.0129226,0.129848,0.0272939,
23,23.277,48.9107,62.6508,0.475907,17.7858,4.49407,0.959468,0.742778,1.98759,7.63666,0.489342,0.637482,12.9787,1.19884,15.0024,8.79782,0.97694,0.241031,1.3622,8.75195,0.0558699,0.61924,39.5209,0.767499,11.7059,0.0838787,0.0305215,0.341444,0.182404,0.268819,0.382207,0.0129226,0.129848,0.0272939,
24,23.277,81.1262,189.199,0.286923,45.6848,6.4231,1.1472,0.751234,2.25863,8.44176,0.503749,0.67997,14.1839,1.05179,131.886,14.3076,1.11492,0.330814,2.27888,16.7452,0.179567,0.775808,45.0412,0.73699,11.7059,0.0838787,0.0305215,0.315338,0.180746,0.268819,0.128936,0.0180539,0.129848,0.0272939,
25,23.277,60.2407,130.213,0.386399,30.0785,5.51806,1.02432,0.778847,1.95248,7.91898,0.488712,0.583251,10.8581,1.03937,85.9953,10.6529,0.903233,0.351525,1.15532,16.9165,0.107196,0.671133,38.8619,0.723387,11.4529,0.0838787,0.0305215,0.288793,0.190665,0.268819,0.155731,0.0137047,0.129848,0.0227104,
26,23.1257,42.5608,62.35,0.543356,17.827,6.25605,1.01599,0.775362,1.61917,6.00726,0.477241,0.423446,7.31453,0.84481,21.9148,17.2495,0.819647,0.347616,0.989015,11.8527,0.0586237,0.363496,21.3329,0.59801,11.4529,0.0916775,0.0305215,0.170628,0.190665,0.149933,0.195166,0.0180539,0.129848,0.0227104,
27,23.1257,49.661,119.678,0.46567,21.1731,6.04615,0.749311,0.822833,1.58483,5.91345,0.477277,0.462992,11.6553,0.775869,48.563,21.1035,0.556656,0.289043,0.754291,7.52341,0.0367915,0.294605,47.8351,0.558126,11.1661,0.0916775,0.0305215,0.288793,0.220851,0.149933,0.34918,0.0180539,0.129848,0.0227104,
28,21.8193,62.3072,146.811,0.350189,30.2831,5.31983,0.994452,0.916965,1.84606,7.92777,0.480264,0.505078,13.2808,0.752921,73.5173,10.946,0.867819,0.431895,1.62152,21.5467,0.0748827,0.369928,45.8104,0.603282,11.4529,0.0916775,0.0305215,0.288793,0.220851,0.149933,0.142205,0.0180539,0.129848,0.0193461,
29,20.3439,81.4331,186.773,0.249823,38.9104,8.06098,1.02928,0.994589,1.87706,13.082,0.504275,0.518674,15.6674,0.788575,100.688,18.1546,0.917396,0.520723,2.48575,35.0243,0.136604,0.387537,41.9393,0.775594,11.4529,0.66586,0.0882937,0.422003,0.237059,0.149933,0.197127,0.0180539,0.579352,0.0193461,
