Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,28.9762,435.78,161.917,0.0664926,1.60778,19.7738,347.732,2.05328,29.8306,1.37162,6.58602,25.3024,0.430533,1.09156,1.96297,28.5745,200.821,2.36743,40.4367,0.963924,6.14048,21.8986,0.452778,1.27581,0.127932,0.129848,23.5943,0.0305215,0.0916775,0.29331,0.24052,0.796776,0.104837,0.188898,
1,28.9762,374.954,123.144,0.0772792,1.49903,54.3175,249.42,1.83923,24.6443,1.3146,3.769,36.7539,0.326128,1.06999,1.18058,71.6814,90.9096,1.24599,23.9741,0.597616,3.26962,28.9029,0.177124,0.632883,0.127932,0.129848,23.5943,0.0305215,0.0916775,0.275005,0.24052,0.796776,0.0154866,0.188898,
2,28.9762,373.526,155.763,0.0775747,1.69172,69.6159,229.126,2.11898,22.1355,1.28382,3.20285,42.9365,0.319925,1.09488,1.42455,88.9768,80.9959,1.41811,21.1247,0.549824,2.30657,28.6316,0.144259,0.623598,0.127932,0.129848,23.5943,0.0305215,0.0916775,0.364121,0.0281185,0.796776,0.0154866,0.0436475,
3,28.9762,337.055,123.614,0.0859687,1.45297,72.2112,188.701,2.05867,20.4818,1.14702,3.17964,46.4379,0.246424,1.13801,1.22611,83.3746,77.297,1.303,18.9461,0.502895,2.46105,28.0013,0.165358,0.673714,0.00686755,0.129848,23.5943,0.0305215,0.0916775,0.364121,0.0281185,2.15464,0.0154866,0.124641,
4,28.9762,268.595,67.4628,0.107881,1.39821,44.9992,154.622,2.23184,18.5346,0.992546,3.11578,41.2629,0.212615,1.22468,1.24622,47.583,59.9052,1.13687,18.3765,0.396029,2.65354,25.0556,0.128872,0.657759,0.00686755,0.129848,9.52222,0.0305215,0.0916775,0.251194,0.0281185,2.15464,0.00880291,0.061554,
5,28.9762,248.409,142.778,0.116647,1.86119,51.6156,133.822,2.22447,20.1491,1.06368,3.2788,33.0164,0.242708,1.13533,1.77897,51.9666,86.6125,1.12232,22.9212,0.554083,2.81785,26.3665,0.201461,0.740066,0.00686755,0.129848,9.39513,0.0305215,0.0916775,0.251194,0.0281185,0.893354,0.00880291,0.061554,
6,28.9762,236.147,151.389,0.122704,1.70441,49.3811,122.571,2.03077,18.0724,1.42727,3.89305,35.7013,0.239929,1.12581,1.63611,36.7471,139.835,1.20922,17.4142,2.24885,3.25119,24.2131,0.313508,0.752094,0.00686755,0.129848,9.39513,0.0305215,0.0916775,0.456472,0.0281185,0.851712,0.00410408,0.061554,
7,28.9762,188.83,69.5299,0.153451,1.54486,48.3101,76.8841,2.02373,24.9674,0.986622,2.66309,30.2476,0.239992,0.962516,1.32271,36.5714,64.1433,1.25725,25.7076,0.494128,2.2714,23.6493,0.197798,0.744894,0.00686755,0.129848,9.39513,0.0305215,0.0916775,0.300333,0.226884,0.851712,0.00410408,0.061554,
8,28.9762,151.587,50.9066,0.191152,1.30087,37.025,52.26,2.04177,26.7225,0.974743,2.27986,27.9081,0.297261,0.777024,1.35867,30.0507,35.4913,1.11787,22.0959,0.338633,2.23896,25.0237,0.177215,0.716535,0.00620587,0.129848,9.39513,0.0305215,0.0916775,0.3964,0.101949,0.893354,0.00880291,0.061554,
9,28.9762,133.349,35.1131,0.217296,1.13968,27.7242,43.0235,1.76435,29.1098,0.945198,1.64176,27.0712,0.304191,0.625189,0.999952,26.0497,27.7755,1.07418,24.6973,0.306918,1.61427,19.2209,0.152211,0.517877,0.00620587,0.129848,8.20788,0.0305215,0.0916775,0.384503,0.124271,0.997892,0.00880291,0.061554,
