Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,54.0012,455.387,176.838,0.118583,1.43881,19.5446,351.833,2.04548,31.2342,1.29667,6.86924,26.0185,0.42915,10.9686,1.09052,2.61828,1.24012,26.5321,148.763,1.38315,42.3116,0.874867,6.86307,29.9531,0.465463,11.3679,1.26362,3.15575,0.0753775,0.129848,23.5943,0.0305215,0.0916775,0.154589,0.602251,0.770154,0.122993,6.76269,0.188898,0.509296,
1,54.0012,366.343,118.536,0.147406,1.50057,47.495,241.929,2.03895,25.0717,1.09223,3.39213,29.9458,0.326609,10.1966,0.772663,2.58169,0.967762,65.332,116.76,1.08559,25.3379,0.663245,3.43902,21.6064,0.168155,3.56295,0.675473,1.56863,0.210128,0.129848,23.5943,0.0305215,0.0916775,0.128985,0.083064,0.770154,0.0461218,4.49383,0.149923,0.396489,
2,54.0012,299.733,62.3525,0.180164,1.59075,36.3993,193.38,1.83623,20.2885,0.963136,2.14698,29.387,0.267534,10.3549,0.698005,2.42021,1.09859,37.0117,76.1032,1.16799,18.9804,0.438644,2.27216,19.8588,0.124819,3.40905,0.542792,1.57954,0.136052,0.129848,23.5943,0.0305215,0.0916775,0.241011,0.083064,1.51277,0.0461218,1.74043,0.149923,0.535397,
3,54.0012,267.802,49.7975,0.201646,1.7963,43.4483,160.795,1.96871,12.2121,1.03118,1.88209,30.8471,0.211248,10.7139,0.52481,2.37163,1.38357,34.7535,47.4787,1.19081,13.617,0.49672,1.59066,19.6294,0.115703,3.18915,0.458172,1.35638,0.0242767,0.129848,23.5943,0.0305215,0.0916775,0.346383,0.083064,0.35832,0.0112927,6.97413,0.0696657,0.657733,
4,54.0012,244.809,54.9783,0.220585,1.76612,53.8205,132.804,1.89282,12.571,0.853068,1.86548,25.7246,0.20026,10.8994,0.47181,1.93997,1.31296,46.9702,50.6339,1.18691,9.79787,0.44652,1.46504,20.5048,0.117873,5.35994,0.340084,1.23226,0.0481615,0.129848,5.39212,0.0305215,0.0916775,0.0505365,0.0348209,0.35832,0.0112927,2.22157,0.0696657,0.514498,
5,54.0012,227.851,45.4468,0.237002,1.9119,48.4574,125.179,1.70164,9.71846,0.816785,2.07463,25.0525,0.183641,10.5443,0.476346,1.73422,1.53152,41.2744,46.4078,1.19466,7.39264,0.407556,1.34253,19.4035,0.11419,4.15307,0.325463,0.915807,0.0481615,0.129848,5.39212,0.0305215,0.0916775,0.201956,0.0348209,0.35832,0.0112927,0.087159,0.033644,0.262337,
6,54.0012,212.496,43.5259,0.254128,1.85379,50.1357,109.72,1.88439,10.4634,0.878911,1.67798,22.621,0.159632,10.801,0.583038,1.7171,1.62827,36.5729,44.4449,1.37345,7.76749,0.42707,1.27861,16.8418,0.132415,4.20884,0.365514,1.01557,0.0228786,0.129848,5.39212,0.0305215,0.0916775,0.201956,0.0348209,0.13529,0.00557696,0.087159,0.033644,0.321829,
7,54.0012,194.178,38.8103,0.278102,1.50501,47.2955,94.1841,1.92262,11.1304,0.823802,1.81555,20.1371,0.175252,12.7036,0.563781,1.92089,1.25355,33.6382,39.5629,1.38763,8.16749,0.438535,1.3943,17.2021,0.139386,7.56258,0.289552,1.1678,0.0207858,0.129848,8.08854,0.0305215,0.0916775,0.201956,0.0348209,0.13529,0.00109128,0.978626,0.0495573,0.64055,
8,54.0012,182.1,38.8274,0.296546,1.9292,46.0966,83.0756,1.84536,11.6918,0.820201,1.89345,16.7625,0.216916,15.2097,0.506993,2.05195,1.1526,33.3031,44.8831,1.34872,8.49682,0.408198,1.29148,15.6119,0.159178,12.1437,0.300568,1.19292,0.0207858,0.129848,8.08854,0.0305215,0.0916775,0.142115,0.0348209,0.464661,0.00557696,4.83166,0.0495573,0.49215,
9,54.0012,173.84,69.3808,0.310637,2.29993,38.4068,73.6539,1.61058,11.2376,0.915585,2.02403,16.7263,0.248033,24.1689,0.48887,2.05939,1.36018,26.2301,41.6575,1.22798,8.36225,0.466138,1.44627,15.4826,0.157442,61.8125,0.339359,1.09635,0.0207858,0.129848,8.08854,0.0305215,0.0916775,0.142115,0.190305,0.464661,0.0212406,6.59874,0.0495573,0.346373,
