Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,54.131,480.069,174.222,0.112757,355.467,1.82502,27.9739,1.29168,7.68776,25.1929,0.416916,1.57509,44.4986,10.7039,1.13743,2.2986,357.778,1.5317,36.2217,0.593487,5.92864,15.2048,0.442983,1.69015,49.7051,10.5882,1.27041,2.69625,23.5943,0.0305215,0.0916775,0.161318,0.175593,0.772974,0.067697,0.0178169,0.259696,6.84697,0.161886,0.552014,
1,54.131,444.283,178.513,0.121839,279.844,1.61209,26.9589,1.22013,3.42993,25.7043,0.36549,1.53507,90.5776,9.61344,1.17455,2.24716,101.85,1.10139,20.8757,0.535988,4.8978,19.2487,0.163752,1.10576,143.438,2.59779,0.54675,1.46563,23.5943,0.0305215,0.0916775,0.161318,0.124521,0.772974,0.0266811,0.0178169,0.259696,5.12529,0.161886,0.303613,
2,54.131,361.171,90.9775,0.149876,230.496,1.79979,26.2327,1.20041,3.65042,30.0779,0.279829,1.39394,53.4583,9.38445,0.99957,2.19775,73.6084,0.9698,19.2671,0.496023,2.12158,22.9038,0.149314,1.01813,77.0729,2.51228,0.563473,1.3536,23.5943,0.0305215,0.0916775,0.161318,0.175593,0.772974,0.0115277,0.0178169,0.259696,4.51677,0.14873,0.406759,
3,54.131,338.91,86.986,0.159721,197.584,2.22276,21.9758,1.08854,2.86563,37.0623,0.261757,1.37053,61.7618,9.62214,1.07985,2.01498,64.2918,1.10168,14.7651,0.375067,1.87695,24.5906,0.143102,1.26436,66.0737,3.11609,0.495116,1.13883,23.5943,0.0305215,0.0916775,0.161318,0.11112,0.772974,0.0115277,0.0178169,0.259696,3.39548,0.188898,0.406759,
4,54.131,328.391,97.5172,0.164837,166.08,2.22382,20.4586,0.947901,2.83562,36.6176,0.241387,1.11197,83.8998,10.989,0.908255,2.0768,68.1157,0.997128,12.9003,0.396876,1.84858,24.4443,0.163363,0.968459,80.9295,9.15177,0.567577,1.33789,23.5943,0.0305215,0.0916775,0.161318,0.0735157,0.673975,0.0115277,0.0178169,0.259696,0.836213,0.149108,0.406759,
5,54.131,364.194,166.304,0.148632,163.33,1.99627,22.2584,1.07991,2.96172,41.3876,0.225288,1.36054,115.317,11.5874,0.862536,1.82669,61.274,1.10364,11.3912,0.450118,1.84882,23.1166,0.14138,0.976152,124.272,13.2018,0.540521,1.06598,16.1504,0.0305215,0.0916775,0.161318,0.175593,1.26901,0.0115277,0.0607156,0.259696,3.39548,0.0658877,0.333835,
6,54.131,301.911,96.3094,0.179294,145.698,2.25346,21.4038,0.91623,2.74651,38.8468,0.184132,1.28657,76.9069,9.1168,0.92263,1.62915,52.3546,1.096,11.2327,0.43261,1.90728,22.3453,0.121422,0.850765,91.9117,4.0182,0.581407,0.983376,23.5943,0.0305215,0.0916775,0.161318,0.212996,1.26901,0.0115277,0.0607156,0.259696,3.39548,0.11935,0.157243,
7,54.131,277.415,77.6677,0.195127,122.144,2.22633,16.4215,0.794993,2.69382,41.2258,0.171745,1.30852,77.7736,9.57103,1.10549,1.97774,45.6563,1.25942,10.6218,0.365282,1.71316,20.6895,0.114168,0.866793,65.5558,5.11544,0.657083,0.839387,14.9784,0.0305215,0.0916775,0.161318,0.187042,2.15464,0.00588118,0.0942797,0.259696,3.39548,0.11935,0.157243,
8,54.131,279.779,108.015,0.193477,118.11,2.14697,19.6257,0.939594,2.74266,34.5276,0.180685,1.30238,87.1601,10.1939,0.996714,1.85306,45.8332,1.2371,17.1401,0.386397,1.71701,18.4051,0.111652,1.04466,86.4343,4.42011,0.68725,0.980214,23.5943,0.0305215,0.0916775,0.185719,0.129807,2.15464,0.00588118,0.0942797,0.259696,1.61637,0.11935,0.157243,
9,54.131,274.537,115.994,0.197172,105.904,1.96116,21.0938,1.01419,2.74884,27.7129,0.202309,1.36946,92.5865,17.0877,0.969053,1.88765,44.9526,1.17343,18.7281,0.433732,1.88851,20.1332,0.151553,1.13488,92.5331,31.4453,0.630549,0.933424,7.53497,0.0305215,0.0916775,0.185719,0.129807,1.49061,0.0022019,0.0942797,0.259696,1.61637,0.0317268,0.157243,
