Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,54.4847,466.974,197.908,0.116676,333.291,2.03056,28.3137,1.62196,5.46982,0.42687,23.4819,10.5774,1.67898,56.901,0.987377,2.193,356.807,1.37585,38.5082,3.28062,6.81469,0.451813,15.5993,10.8881,2.0944,80.5916,1.14963,2.69295,23.5943,0.0305215,0.0916775,0.111497,0.119278,0.268612,1.51373,8.05624,0.0144864,0.613422,0.188898,0.285505,
1,54.4847,406.507,158.827,0.134031,229.787,2.06352,18.6529,0.962882,3.18829,0.338676,28.13,9.88012,2.0286,108.819,0.769785,1.88598,96.9828,1.06654,21.4431,0.502999,3.07979,0.124479,20.5896,2.28802,1.93495,160.634,0.555821,1.14764,23.5943,0.0305215,0.0916775,0.111497,0.119278,0.107055,1.51373,8.05624,0.0381496,0.613422,0.157159,0.285505,
2,54.4847,404.759,169.534,0.13461,213.281,1.68992,16.9728,1.00178,2.79385,0.314581,29.7747,9.74725,1.92405,124.567,0.81471,1.87765,69.4244,1.02074,17.3777,0.470117,2.25667,0.107944,20.8368,2.49229,1.61548,163.039,0.565195,0.97421,23.5943,0.0305215,0.0916775,0.111497,0.119278,0.0334798,1.51373,4.70491,0.172535,0.613422,0.168802,0.761896,
3,54.4847,394.048,210.553,0.138269,190.255,1.89049,15.5159,0.969949,3.37033,0.27337,30.7965,10.0575,2.02585,136.389,0.814061,1.68946,68.681,1.21908,14.0085,0.540086,2.38613,0.111599,21.0466,2.66864,1.57774,187.993,0.566907,0.925484,23.5943,0.0305215,0.0916775,0.111497,0.153255,0.0407892,2.15464,3.10125,0.172535,0.613422,0.165683,0.664593,
4,54.4847,379.392,150.554,0.143611,184.278,1.53716,16.2206,0.938686,3.36416,0.257629,29.1951,10.8941,1.82713,128.024,0.926787,1.92815,72.3565,1.04452,14.475,0.472194,2.31723,0.109351,21.2872,3.23946,1.89629,150.837,0.590262,1.08515,23.5943,0.0305215,0.0916775,0.099834,0.149686,0.0284512,0.512723,6.99045,0.0299562,0.613422,0.0752818,0.731779,
5,54.4847,375.123,172.343,0.145245,175.408,1.68116,13.4133,1.00375,4.04838,0.250302,32.152,10.7089,1.97621,131.969,0.87135,1.6414,60.7471,1.12472,12.2996,0.448449,2.60498,0.104789,23.0444,3.17466,1.50292,158.938,0.50678,0.993828,23.5943,0.0305215,0.0916775,0.111497,0.153255,0.0284512,2.15464,1.20318,0.172535,0.613422,0.147476,0.281927,
6,54.4847,373.967,185.106,0.145694,183.267,1.54903,12.965,1.07565,3.54972,0.235006,26.6915,10.8129,2.07771,128.84,1.03962,1.86371,58.0079,1.1741,11.9962,0.580034,2.00282,0.111085,18.8016,2.65793,1.68097,168.93,0.622274,0.958329,23.5943,0.0305215,0.0916775,0.0740253,0.0919639,0.0173702,0.892482,8.25243,0.179917,0.613422,0.188898,0.730175,
7,54.4847,337.86,118.845,0.161264,163.543,1.62008,12.4699,0.907111,3.44088,0.218855,28.9299,10.9067,2.05475,111.165,0.800807,1.80363,52.4495,1.02549,11.8743,0.39499,2.25029,0.102996,19.023,2.7381,1.84118,116.507,0.578261,1.15713,23.5943,0.0305215,0.0916775,0.279821,0.153255,0.0112743,2.15464,5.07905,0.0357555,0.613422,0.174324,0.491646,
8,54.4847,308.833,101.623,0.176421,150.097,2.22244,10.3549,0.904536,3.90059,0.193367,33.4441,10.8882,1.944,92.5784,0.674072,1.63207,46.5421,1.2461,8.9106,0.409795,2.15668,0.106168,23.2706,2.67939,1.56951,95.0724,0.513126,0.868244,23.5943,0.0305215,0.0916775,0.257323,0.222439,0.0211795,0.314059,6.85911,0.194429,0.613422,0.101419,0.208725,
9,54.4847,302.137,116.993,0.180331,140.664,2.16651,11.2001,0.933081,4.01544,0.170319,28.9838,11.3108,1.75861,98.6752,0.627051,1.63163,43.2996,1.15342,8.48622,0.453527,2.22488,0.0990108,18.8446,2.59313,1.42856,106.601,0.502551,0.85591,23.5943,0.0305215,0.0916775,0.279821,0.308558,0.0208363,0.314059,8.71026,0.0218341,0.613422,0.0622904,0.48492,
