Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,54.6707,576.158,267.847,0.0948883,370.867,2.10242,26.3741,1.32239,7.70253,0.434827,22.1368,11.0952,1.65619,125.343,4.12747,0.938623,2.05754,125.456,2.0038,36.3756,1.18943,6.64762,0.450047,20.8797,11.4633,1.91888,182.813,4.78154,1.11061,2.55267,23.5943,0.0305215,0.0916775,0.0931022,0.303113,0.0265186,0.744998,7.42309,0.24781,0.779089,0.0202723,0.127116,0.20819,
1,54.6707,589.919,331.817,0.0926748,293.292,2.00314,24.0511,1.06221,4.07613,0.385699,19.5752,9.89813,1.68431,223.811,7.42252,0.812756,1.8454,101.753,1.24786,21.7968,0.577692,3.81885,0.122746,17.3709,2.57701,1.75358,289.266,10.3368,0.507618,1.2934,23.5943,0.0305215,0.0916775,0.0931022,0.303113,0.0547618,0.744998,7.42309,0.0824577,0.779089,0.0202723,0.182998,0.304067,
2,54.6707,585.024,362.726,0.0934502,275.969,1.79518,24.7045,1.23292,3.31681,0.364138,21.1173,9.81399,2.03393,234.003,7.75883,0.839931,2.07454,87.2155,1.31546,24.2175,0.646676,2.59485,0.154337,16.8576,2.49783,1.75313,341.131,11.4403,0.547007,1.43106,23.5943,0.0305215,0.0916775,0.0931022,0.0505749,0.0604135,0.744998,5.40503,0.142928,0.779089,0.0202723,0.0461406,0.304067,
3,54.6707,557.56,346.078,0.0980535,263.523,1.95763,25.2113,1.30841,3.6891,0.33803,21.5931,14.7151,2.048,213.047,7.05582,1.05002,2.02341,88.0622,1.1986,25.5305,0.531598,3.09464,0.147521,20.9635,32.8961,1.68412,317.688,10.445,0.673871,2.31289,23.5943,0.0305215,0.0916775,0.0931022,0.110121,0.0216519,0.744998,7.80673,0.0098041,0.779089,0.0202723,0.182998,0.0813938,
4,54.6707,624.377,483.532,0.0875604,267.914,1.84199,23.1396,1.22675,3.04615,0.362583,21.9888,9.98146,1.69445,281.151,9.34349,0.897318,1.7888,67.1446,1.14878,20.268,0.857456,2.15009,0.139536,21.1409,5.27614,1.66628,410.754,14.4497,0.582224,1.42302,23.5943,0.0305215,0.0916775,0.0931022,0.303113,0.0575281,0.744998,7.80673,0.0521321,0.779089,0.0202723,0.182998,0.0481688,
5,54.6707,435.939,202.886,0.125409,255.752,1.61676,18.3924,1.03853,2.88007,0.335374,20.4844,9.76217,1.60016,117.814,3.8992,0.842246,1.52212,55.7468,1.1895,17.5546,0.495639,1.98099,0.0881185,17.2297,2.27225,1.59736,240.931,8.47073,0.540644,1.10441,23.5943,0.0305215,0.0916775,0.0931022,0.151739,0.090012,0.624027,7.80673,0.0550894,0.779089,0.0202723,0.182998,0.304067,
6,54.6707,503.415,283.651,0.1086,250.694,1.6743,22.7495,1.02446,3.45485,0.336258,20.1075,10.1971,1.96729,181.979,6.03639,0.866166,2.32797,63.3489,1.17683,25.8391,0.48787,2.26572,0.118034,16.6985,2.37726,1.86309,242.85,7.98883,0.511035,2.48157,23.5943,0.0305215,0.0916775,0.262156,0.303113,0.0414056,0.744998,7.80673,0.0635927,0.779089,0.0202723,0.182998,0.450135,
7,54.6707,399.346,144.441,0.136901,255.381,1.41312,13.7256,1.05066,3.59393,0.328502,17.244,9.86016,1.79241,89.5361,2.95938,0.927138,1.53338,52.747,1.05887,16.5861,0.550265,2.18038,0.0904407,13.7319,2.26283,1.79751,165.717,5.36163,0.502824,1.20594,23.5943,0.0305215,0.0916775,0.240077,0.13182,0.090012,0.214595,7.67314,0.0609941,0.779089,0.0202723,0.182998,0.379429,
8,54.6707,469.375,265.684,0.116476,221.739,1.80727,14.1029,1.09407,3.02406,0.261061,23.5998,10.1766,1.69655,183.247,6.08112,0.919542,1.62506,57.0143,1.06356,12.9771,0.569363,2.01768,0.123676,16.0062,2.51745,1.44875,246.481,9.36163,0.524155,1.08137,23.5943,0.0305215,0.0916775,0.240077,0.303113,0.0113522,1.54544,7.74745,0.00889825,0.779089,0.0202723,0.124002,0.287655,
9,54.6707,400.911,165.285,0.136366,218.889,1.76785,12.8531,0.988329,2.80928,0.268842,22.2301,9.89715,1.57664,123.294,4.08565,0.825122,1.42572,52.9938,1.13983,12.1756,0.485461,1.92453,0.10932,13.8469,2.27748,1.36319,191.848,5.9794,0.477032,0.92636,23.5943,0.0305215,0.0916775,0.240077,0.027474,0.0564125,1.54544,7.86521,0.0332162,0.779089,0.0202723,0.124002,0.130883,
