Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,54.4046,410.389,139.532,0.132568,1.28133,5.66787,326.151,2.15207,24.9192,21.123,0.400441,1.46398,5.79074,10.2038,5.64967,2.03184,3.55376,1.06705,7.47959,345.904,2.54182,33.5352,16.8758,0.413559,1.87184,9.16843,10.4488,9.08593,2.54362,4.03262,0.269319,0.119821,23.5943,0.0305215,0.0916775,0.753768,0.191117,0.101622,0.0519393,7.19315,0.0405445,0.205764,0.550528,
1,54.4046,343.206,94.0703,0.158519,1.20553,2.61055,242.696,1.67652,17.5908,30.3148,0.33437,1.42342,15.3123,9.90858,15.2675,1.96591,2.89932,0.513971,3.84003,106.853,1.1548,17.3849,26.1988,0.138726,1.15817,24.411,2.29735,24.4454,1.22997,1.69109,0.212938,0.119821,23.5943,0.0305215,0.0916775,0.753768,0.0113428,0.166396,0.0519393,8.0284,0.0405445,0.296985,0.550528,
2,54.4046,287.835,63.9093,0.189013,1.0389,2.03537,191.359,1.59733,13.7951,32.3394,0.252963,1.12826,14.4776,10.6834,14.4386,1.96884,2.72059,0.421867,1.91344,70.6863,1.0955,12.0411,22.8896,0.149096,1.10913,16.8856,3.92592,17.1262,1.1091,1.49506,0.471274,0.119821,23.5943,0.0305215,0.0916775,1.11243,0.00533695,0.0910273,0.0519393,6.39816,0.0405445,0.587763,0.500225,
3,54.4046,257.202,52.8007,0.211524,1.00978,2.42254,164.291,1.24378,9.93668,29.8906,0.172912,1.27639,15.8517,10.3749,15.8131,1.74774,3.17103,0.438366,1.71435,54.5735,0.97033,7.54263,16.7471,0.150914,1.30036,16.7536,3.95992,16.7478,0.896789,1.48612,0.349982,0.134476,23.5943,0.0305215,0.0916775,1.11243,0.00186675,0.120354,0.0519393,6.27048,0.0405445,0.587763,0.629661,
4,54.4046,232.997,43.3822,0.233499,1.03892,2.58321,133.778,1.15547,11.3574,30.0406,0.135498,1.38463,18.104,10.2163,18.0075,1.75869,3.43666,0.465981,1.52733,50.8636,1.0658,7.94158,15.5377,0.12333,1.13931,15.2877,4.35623,14.9375,0.893668,1.44969,0.349982,0.137601,23.5943,0.0305215,0.0916775,1.11243,0.00533695,0.0207126,0.0519393,3.52553,0.0405445,0.407324,0.629661,
5,54.4046,209.634,39.6568,0.259521,0.840206,2.2147,109.701,1.05949,11.7164,28.6977,0.116313,1.42367,18.9778,11.3808,18.8611,1.64394,3.00132,0.415448,1.40996,43.8662,1.05157,6.75812,21.2083,0.106617,1.12918,15.0849,5.87298,14.9393,0.834509,1.70874,0.296871,0.137601,23.5943,0.0305215,0.0916775,1.11243,0.0045098,0.120354,0.0519393,4.15551,0.0405445,0.328845,0.18051,
6,54.4046,200.793,40.6,0.270948,0.667138,1.92474,105.855,0.927268,13.216,22.82,0.121205,1.73214,18.7077,11.9353,18.6793,1.42012,2.78767,0.347222,1.4735,40.5109,1.02109,7.7606,19.6131,0.100551,1.36666,13.59,4.11317,13.602,0.827931,1.58313,0.0707173,0.120779,23.5943,0.0305215,0.0916775,1.16916,0.0045098,0.120354,0.0519393,5.09459,0.0405445,0.153628,0.18051,
7,54.4046,182.295,44.637,0.298443,0.643285,2.19255,87.1365,0.757329,13.1204,19.5741,0.147262,1.40723,19.2801,14.4792,19.2508,1.67957,2.62658,0.263828,1.68221,42.8423,0.785246,7.05257,14.0504,0.113676,1.25737,14.8878,7.12785,14.8828,1.07041,1.57107,0.0707173,0.120779,15.9778,0.0305215,0.0916775,0.694268,0.0045098,0.0138548,0.0519393,5.95251,0.0405445,0.153628,0.105634,
8,54.4046,166.638,43.6212,0.326483,0.626629,2.01903,84.2876,0.839691,11.2446,14.7912,0.150133,1.392,16.0572,14.7065,16.033,1.54698,2.94364,0.18948,1.5672,39.4286,0.741753,6.92935,12.5239,0.115301,1.2641,12.9735,6.58196,13.0808,0.948435,1.54927,0.246222,0.117863,15.9778,0.0305215,0.0916775,0.694268,0.0045098,0.0138548,0.0519393,5.95251,0.0405445,0.19152,0.365563,
9,54.4046,144.125,32.3341,0.377481,0.595252,2.22158,62.8739,0.711505,11.3486,14.903,0.207869,1.45276,13.9761,17.1185,13.9499,1.53649,3.22976,0.168891,1.54634,35.2496,0.674743,6.97941,11.5239,0.132816,1.2593,10.5489,8.168,10.5538,1.02335,1.55074,0.246222,0.137601,11.5348,0.0305215,0.0916775,0.694268,0.00164694,0.0138548,0.0519393,5.95251,0.0370833,0.281129,0.377122,
