Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,54.5433,454.252,191.108,0.120073,1.22786,7.31492,333.854,1.84398,29.2503,0.421474,25.4708,10.8059,1.51078,18.4694,18.1173,3.51092,2.45415,1.4491,8.9226,365.187,1.84238,31.9469,0.459745,24.7785,11.2197,1.7139,26.603,27.3203,2.91021,2.91814,0.148407,0.418749,23.5943,0.0305215,0.0916775,0.0737567,1.50039,6.69037,0.0983785,0.129848,0.101361,0.381555,0.208588,
1,54.5433,384.876,162.587,0.141717,0.861993,4.24053,240.356,1.64133,21.1956,0.325154,26.5753,10.0313,2.19643,35.7551,35.5233,3.96588,2.20738,0.494021,3.34378,123.282,1.22036,25.154,0.148351,17.8786,2.77419,1.87289,49.1346,55.2859,2.22312,1.45363,0.148407,0.350814,23.5943,0.0305215,0.0916775,0.0737567,1.50039,4.87453,0.0983785,0.129848,0.101361,0.381555,0.260688,
2,54.5433,345.045,95.1559,0.158076,0.906208,3.62818,184.527,1.4579,18.5919,0.243504,30.6102,10.7803,2.1194,43.6482,43.3171,3.11278,2.10152,0.820411,2.5559,82.7314,1.0702,19.4858,0.138942,17.8119,4.50449,1.78247,49.7034,46.4279,2.46258,1.37865,0.0778433,0.350814,23.5943,0.0305215,0.0916775,0.0219069,1.54332,1.53729,0.0935632,0.129848,0.101361,0.221818,0.199976,
3,54.5433,329.472,87.8395,0.165547,0.969296,3.36613,195.783,1.64214,15.8886,0.263382,28.5636,10.416,2.21374,32.6779,32.5908,3.19812,1.89937,0.778075,2.61058,55.1607,1.10611,18.2646,0.105655,13.2381,2.96513,1.73225,33.4752,32.1194,2.31534,1.24166,0.104301,0.0701284,23.5943,0.0305215,0.0916775,0.0114332,2.15464,7.33535,0.0983785,0.129848,0.101361,0.381555,0.260688,
4,54.5433,309.723,84.9256,0.176103,0.970031,3.24547,188.699,1.46492,9.47543,0.249301,26.7706,10.3467,2.39821,30.9636,30.8387,2.79564,1.50588,0.793266,2.60675,51.318,1.10202,12.5819,0.0923813,15.3472,2.90734,1.82705,37.2574,37.0628,2.00149,1.07964,0.104301,0.191745,23.5943,0.0305215,0.0916775,0.00746222,2.15464,6.92853,0.0172415,0.129848,0.101361,0.381555,0.181513,
5,54.5433,275.412,58.9511,0.198042,0.872725,3.04315,170.708,1.22893,8.28732,0.211073,28.9356,10.8475,2.31929,22.3331,22.2299,2.58141,1.81376,0.772925,2.42995,47.9618,1.05481,9.74893,0.0929793,16.4722,2.885,1.71771,22.0597,22.8913,1.62103,1.03464,0.104301,0.11469,23.5943,0.0305215,0.0916775,0.0453355,2.15464,7.49177,0.0172415,0.129848,0.101361,0.381555,0.181513,
6,54.5433,284.226,75.2816,0.191901,0.743805,3.34066,148.142,1.0107,13.8666,0.175281,32.2147,10.8757,1.95863,33.7356,33.6086,2.61608,1.93794,0.240603,2.5133,52.2046,0.926325,15.7397,0.098279,21.9896,3.1074,1.72656,32.7205,32.5588,1.82143,1.26442,0.311123,0.11469,23.5943,0.0305215,0.0916775,0.00984821,2.15464,5.4169,0.0172415,0.129848,0.101361,0.381555,0.181513,
7,54.5433,266.227,66.7233,0.204875,0.754367,3.20363,161.231,1.32289,8.90584,0.188112,23.8672,11.0725,1.92519,24.6686,24.5517,2.71276,1.82306,0.231805,2.54338,49.0641,0.945085,10.0745,0.103691,17.3531,2.8676,1.62027,26.7568,25.4554,1.72741,1.04812,0.213217,0.11469,23.5943,0.0305215,0.0916775,0.00984821,2.15464,7.49177,0.0172415,0.129848,0.101361,0.381555,0.181513,
8,54.5433,246.548,63.027,0.221228,0.756197,3.04192,136.048,0.810561,12.8257,0.134348,25.0871,11.7241,1.93128,24.8304,24.7081,2.60394,2.0469,0.243096,2.54344,46.2384,0.627009,13.7316,0.100311,16.2651,3.09026,1.59984,22.1915,22.2717,1.70451,1.16397,0.376666,0.11469,23.5943,0.0305215,0.0916775,0.00984821,1.20805,7.49177,0.031661,0.129848,0.101361,0.481067,0.220366,
9,54.5433,244.965,113.477,0.222657,0.700202,2.59257,117.461,1.0185,14.0485,0.121413,27.2506,12.6226,2.24728,31.0415,30.9822,2.53436,2.34511,0.32837,2.26333,42.1251,0.760768,14.1733,0.0879372,19.8216,3.55583,1.92627,40.1003,41.2726,1.82172,1.30152,0.371392,0.157705,3.47827,0.0305215,0.0916775,0.00984821,1.38902,5.49499,0.031661,0.129848,0.101361,0.481067,0.782169,
10,54.5433,208.62,45.7391,0.261448,0.660781,2.20559,103.528,0.965815,14.1711,0.126749,24.3306,13.8909,2.15515,21.0118,20.957,2.07089,2.54603,0.202416,1.49081,33.2429,0.596944,10.8265,0.0722488,14.9733,3.69416,1.69947,21.4122,21.8714,1.44956,1.12448,0.381121,0.106752,23.5943,0.0305215,0.0916775,0.00295957,0.750207,9.2589,0.031661,0.129848,0.101361,0.300778,0.782169,
11,54.5433,195.791,46.2358,0.278578,0.658851,2.00388,93.9993,0.957308,16.0731,0.138516,23.7658,15.523,2.43373,17.7846,17.7086,2.04352,2.7013,0.184603,1.26899,33.5315,0.620888,10.4998,0.0932343,15.2687,4.85592,1.83327,16.653,16.0096,1.38252,1.05458,0.381121,0.106752,16.3556,0.0305215,0.0916775,0.00917072,0.0864913,10.2892,0.031661,0.129848,0.101361,0.255748,0.648854,
12,54.5433,189.098,67.0744,0.288439,0.576221,2.07258,76.78,0.815295,19.3869,0.182689,21.8153,18.8321,2.4349,20.6851,20.6005,2.15241,2.76415,0.152352,1.33916,31.5225,0.458217,15.1754,0.125399,20.1466,11.116,1.51596,24.685,24.0955,1.51627,1.35137,0.26223,0.0121959,16.3556,0.0305215,0.0916775,0.0108242,0.0864913,9.84409,0.031661,0.129848,0.101361,0.255748,0.410597,
13,54.5433,217.054,330.243,0.251289,0.578565,2.41238,63.643,0.917669,17.7202,0.222737,16.6012,70.4557,2.77028,18.5215,18.4459,2.05276,2.71259,0.15451,1.70674,29.3753,0.511883,11.0055,0.126879,13.6954,333.186,1.6432,23.9621,24.3412,1.33454,1.14694,0.196053,0.106752,11.9886,0.0305215,0.0916775,0.0108242,0.0864913,8.97284,0.031661,0.129848,0.101361,0.223949,0.656115,
14,54.5433,175.492,129.514,0.310803,0.592408,2.67498,66.5858,0.948243,17.0089,0.218614,18.0166,24.8219,2.3008,18.6687,18.5986,2.34968,2.70646,0.180756,2.8556,47.124,0.710944,11.1519,0.116621,22.9875,53.2059,1.65276,34.0763,34.1788,1.53308,1.10798,0.305615,0.0674175,11.9886,0.0305215,0.0916775,0.0088638,0.0864913,2.89867,0.0834779,0.129848,0.101361,0.255748,0.494448,
15,54.5433,139.762,35.708,0.390257,0.567675,2.21113,50.8091,0.960218,14.858,0.263437,9.77983,22.9211,2.85243,15.0509,15.0027,2.03692,2.44894,0.175449,1.78318,25.6761,0.549472,8.84968,0.122029,11.9406,10.1299,1.95463,15.0114,14.5975,1.40388,0.896553,0.28165,0.0725875,11.5272,0.0305215,0.0916775,0.0088638,0.0864913,10.8944,0.0834779,0.129848,0.101361,0.255748,0.691833,
