Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,30.6492,450.451,177.492,0.0680412,0.406037,22.6534,6.30316,1.27084,338.557,1.99819,27.8171,1.3271,15.6925,15.6001,12.8972,3.66376,2.26527,0.224749,27.192,5.56905,1.48983,255.773,1.69504,25.9063,1.69399,23.4301,24.1484,13.0614,4.13193,2.82142,0.0792212,0.797427,0.189987,0.134406,23.5943,0.0305215,0.0916775,0.0410518,0.0165387,0.0160213,1.37793e-15,0.332389,0.198872,
1,30.6492,398.362,135.769,0.0769381,0.320523,25.9799,3.49916,0.923661,242.015,2.14616,20.2387,1.3612,41.107,41.0774,13.4211,3.99382,2.27908,0.147232,21.7268,3.16041,0.649275,115.59,1.29259,18.5815,0.90719,49.3574,57.1012,2.21482,1.99269,1.23551,0.0120434,0.797427,0.189987,0.134406,23.5943,0.0305215,0.0916775,0.0934768,0.0165387,0.0160213,1.37793e-15,0.585594,0.591108,
2,30.6492,354.335,92.6871,0.086498,0.266039,26.0863,3.22286,0.837817,203.969,1.60351,21.043,1.46549,37.9935,37.9145,13.8818,3.91334,2.13749,0.13142,18.5566,2.54248,0.454323,82.9487,1.12439,21.0033,1.04526,42.306,41.647,3.89086,1.95457,1.29747,0.0120434,0.797427,0.189987,0.134406,23.5943,0.0305215,0.0916775,0.24369,0.0165387,0.0160213,1.37793e-15,0.275424,0.22167,
3,30.6492,349.354,120.917,0.0877312,0.223543,29.1483,3.67556,0.98139,186.427,1.72986,18.1812,1.43549,44.1009,44.0685,13.1117,4.0495,2.22116,0.138203,21.5611,2.49927,0.47275,66.0238,1.22751,18.9732,1.03232,52.5313,53.6895,2.41661,1.87653,1.3018,0.00212391,0.390465,0.0272598,0.134406,23.5943,0.0305215,0.0916775,0.0295178,0.0165387,0.0160213,1.37793e-15,0.379357,0.22167,
4,30.6492,301.011,87.2705,0.101821,0.197939,28.8625,4.00096,0.862839,169.557,1.64986,15.5728,1.45413,29.7597,29.7318,12.9813,4.02512,2.35446,0.129136,19.717,2.87157,0.47514,61.1302,1.1463,17.6716,0.881567,37.2824,36.1928,2.62183,1.87117,1.35791,0.00212391,0.624947,0.0272598,0.0751079,23.5943,0.0305215,0.0916775,0.258134,0.0525447,0.0160213,1.37793e-15,0.629661,0.174606,
5,30.6492,261.546,55.3227,0.117185,0.135594,28.4864,4.21635,0.905247,142.393,1.43366,17.0599,1.33247,23.2113,23.1896,12.5927,4.28365,2.30591,0.126321,17.5951,2.90523,0.414014,48.5465,1.10484,19.1017,1.06287,20.3885,19.6854,2.53756,1.85142,1.19134,0.00212391,2.15464,0.0272598,0.0751079,23.5943,0.0305215,0.0916775,0.0318915,0.129848,0.101361,1.37793e-15,0.629661,0.174606,
6,30.6492,257.269,83.9643,0.119133,0.129561,32.0423,3.72774,0.899985,125.225,1.5946,14.536,1.19876,29.5703,29.5152,12.5315,4.00608,2.29189,0.112057,24.453,2.67777,0.35817,41.0839,1.22407,13.742,1.02988,32.1723,33.7726,3.58911,1.68321,1.05626,0.00212391,2.15464,0.0272598,0.0751079,20.0486,0.0305215,0.0916775,0.0658847,0.129848,0.101361,1.37793e-15,0.629661,0.174606,
7,30.6492,215.007,55.0073,0.14255,0.149813,30.1036,3.84024,0.875814,94.7252,1.38796,12.9944,1.23238,25.8435,25.8242,11.3182,4.51001,2.2015,0.134636,24.8512,2.71867,0.358267,46.1556,1.25009,10.9132,0.954151,23.0539,22.5631,4.67816,1.76255,0.956334,0.00212391,1.40449,0.0272598,0.0485026,4.14074,0.0305215,0.0916775,0.118767,0.129848,0.101361,1.37793e-15,0.329047,0.174606,
8,30.6492,196.603,56.4564,0.155894,0.15743,23.045,4.56963,1.00844,82.8927,1.06116,13.5005,1.06381,26.0181,25.9851,10.4194,4.98452,1.89765,0.138854,23.5656,2.42709,0.318054,39.1845,0.898119,12.0359,0.796994,27.0904,27.0622,5.04983,1.39588,0.887363,0.00212391,1.40449,0.207597,0.0751079,4.14074,0.0305215,0.0916775,0.0677948,0.129848,0.101361,1.37793e-15,0.629661,0.174606,
9,30.6492,192.153,108.988,0.159504,0.205505,14.8214,4.53089,1.00134,82.5046,1.208,9.87797,1.09587,30.8734,30.8872,7.86187,5.395,1.88986,0.196301,18.0173,2.10838,0.252372,89.9371,1.10738,9.47453,0.748696,26.2424,27.3876,4.31959,1.45333,0.553818,0.00212391,1.40067,0.207597,0.317542,20.3235,0.0305215,0.0916775,0.154716,0.129848,0.101361,1.37793e-15,0.629661,0.178551,
