Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center_gnd.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,1.07158,0.00952017,1.27921,2.76438,0.0130502,0.991759,24.1063,8.80091e-05,0.0162642,0.780662,
1,1.07158,0.00951996,1.27921,2.76438,0.0130468,0.991759,24.1063,8.85564e-05,0.0162671,0.780665,
2,1.07158,0.00951879,1.27921,2.76438,0.0130445,0.991759,24.1063,8.79897e-05,0.0162817,0.780665,
3,1.07158,0.00952205,1.27921,2.76438,0.013064,0.991759,24.1063,8.80141e-05,0.0162407,0.780657,
4,1.07158,0.00951962,1.27921,2.76438,0.0130554,0.991759,24.1063,8.72625e-05,0.0162706,0.780663,
5,1.07158,0.00952179,1.27921,2.76438,0.0130628,0.991759,24.1063,8.81093e-05,0.0162439,0.780661,
6,1.07158,0.00951913,1.27921,2.76438,0.0130547,0.991759,24.1063,8.76662e-05,0.016277,0.780664,
7,1.07158,0.00952114,1.27921,2.76438,0.0130652,0.991759,24.1063,8.69058e-05,0.0162512,0.78066,
8,1.07158,0.009522,1.27921,2.76438,0.0130695,0.991759,24.1063,8.71352e-05,0.0162406,0.780658,
9,1.07158,0.00951879,1.27921,2.76438,0.0130584,0.991759,24.1063,8.75402e-05,0.0162814,0.780665,
10,1.07158,0.00951721,1.27921,2.76438,0.0130435,0.991759,24.1063,8.74738e-05,0.0163014,0.78067,
11,1.07158,0.00951996,1.27921,2.76438,0.0130606,0.991759,24.1063,8.73978e-05,0.0162664,0.780662,
12,1.07158,0.00951468,1.27921,2.76439,0.0130219,0.991759,24.1062,8.85954e-05,0.0163341,0.780688,
13,1.07158,0.00951886,1.27921,2.76438,0.0130489,0.991759,24.1063,8.79186e-05,0.01628,0.780675,
14,1.07158,0.00951006,1.27921,2.76437,0.0130047,0.991759,24.1062,8.63727e-05,0.0163944,0.780686,
15,1.07158,0.0095158,1.27921,2.76438,0.0130312,0.991759,24.1063,8.77803e-05,0.0163192,0.780682,
16,1.07158,0.00952077,1.27921,2.76438,0.0130601,0.991759,24.1063,8.75756e-05,0.0162561,0.780664,
17,1.07158,0.00951868,1.27921,2.76438,0.013057,0.991759,24.1063,8.67132e-05,0.0162823,0.780662,
18,1.07158,0.0095222,1.27921,2.76438,0.0130743,0.991759,24.1063,8.66506e-05,0.0162377,0.780657,
19,1.07158,0.00951267,1.27921,2.76438,0.0130259,0.991759,24.1062,8.63e-05,0.0163597,0.780679,
20,1.07158,0.00951572,1.27921,2.76438,0.0130397,0.991759,24.1063,8.67476e-05,0.0163198,0.780675,
21,1.07158,0.00952132,1.27921,2.76438,0.0130717,0.991759,24.1063,8.69967e-05,0.0162492,0.780657,
22,1.07158,0.00951801,1.27921,2.76438,0.0130537,0.991759,24.1063,8.72807e-05,0.0162911,0.780666,
23,1.07158,0.00952099,1.27922,2.76438,0.0130678,0.991759,24.1063,8.7874e-05,0.0162542,0.780653,
24,1.07158,0.00951827,1.27921,2.76438,0.0130562,0.991759,24.1063,8.68673e-05,0.0162874,0.780666,
25,1.07158,0.00951976,1.27921,2.76438,0.0130574,0.991759,24.1063,8.77641e-05,0.0162685,0.780671,
26,1.07158,0.00952043,1.27921,2.76439,0.013067,0.991759,24.1063,8.81635e-05,0.0162602,0.780671,
27,1.07158,0.009523,1.27921,2.76438,0.0130816,0.991759,24.1063,8.68978e-05,0.0162282,0.780653,
28,1.07158,0.00951153,1.27922,2.76438,0.013021,0.991759,24.1062,8.63912e-05,0.016375,0.78068,
29,1.07158,0.0095187,1.27921,2.76438,0.0130538,0.991759,24.1063,8.71668e-05,0.0162819,0.78067,
30,1.17189,6.30501,3.05339,22.9888,1029.19,1.00129,8.8706,20.5379,3.11057,6.12408,
31,1.07158,0.00952305,1.27922,2.76438,0.0130823,0.991759,24.1063,8.63843e-05,0.0162271,0.780654,
32,1.20219,6.96159,2.80174,18.317,912.034,0.986837,10.2778,18.2235,2.49799,10.9894,
33,1.08643,9.24164,3.0943,31.5219,176.021,1.03041,12.3232,3.52327,6.04362,5.17481,
34,1.07158,0.00951988,1.27921,2.76438,0.0130498,0.991759,24.1063,8.84785e-05,0.0162681,0.780664,
35,1.07159,0.00950656,1.27921,2.76437,0.0129689,0.991759,24.1062,8.73877e-05,0.016443,0.78069,
36,1.07158,0.00952013,1.27921,2.76438,0.013056,0.991759,24.1063,8.717e-05,0.0162641,0.780662,
37,1.07158,0.00951477,1.27921,2.76438,0.0130208,0.991759,24.1062,8.81101e-05,0.0163325,0.780688,
38,1.07158,0.00952094,1.27921,2.76438,0.0130503,0.991759,24.1063,8.83047e-05,0.0162549,0.780659,
39,1.07158,0.00952307,1.27921,2.76438,0.0130681,0.991759,24.1063,8.82826e-05,0.0162283,0.780654,
40,1.07158,0.00952175,1.27921,2.76438,0.0130645,0.991759,24.1063,8.83076e-05,0.0162446,0.780658,
41,1.07158,0.00952054,1.27922,2.76438,0.0130581,0.991759,24.1063,8.75486e-05,0.0162592,0.780663,
42,1.07158,0.00952016,1.27921,2.76438,0.013051,0.991759,24.1063,8.77204e-05,0.0162641,0.780663,
43,1.07158,0.0095277,1.27921,2.76438,0.0130995,0.991759,24.1064,8.82414e-05,0.0161726,0.780635,
44,1.07158,0.00951923,1.27921,2.76438,0.0130546,0.991759,24.1063,8.70217e-05,0.0162751,0.780666,
45,1.07158,0.00951738,1.27921,2.76438,0.0130442,0.991759,24.1063,8.715e-05,0.0162987,0.780672,
46,1.07158,0.00952016,1.27921,2.76438,0.0130567,0.991759,24.1063,8.79418e-05,0.0162642,0.780663,
47,1.07158,0.00951121,1.27921,2.76437,0.0130032,0.991759,24.1062,8.66469e-05,0.0163798,0.780676,
48,1.07158,0.00951536,1.27921,2.76438,0.0130258,0.991759,24.1063,8.69148e-05,0.0163249,0.780674,
49,1.07158,0.00952208,1.27921,2.76437,0.0130729,0.991759,24.1063,8.67668e-05,0.0162402,0.780646,
