Individual,Heave.front.roll_center_gnd.z,Heave.front.side_view_swing_arm_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.motion_ratio_heave_l,Roll.front.camber_angle_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,1.13402,0.601888,0.00245248,56.8544,0.488246,0.999062,27.5597,0.00423929,0.0250333,2.67676,
1,1.13401,0.601881,0.0024591,56.8545,0.488248,0.999062,27.5597,0.00423872,0.025041,2.67669,
2,1.13402,0.601884,0.00245964,56.8544,0.488243,0.999062,27.5597,0.0042388,0.025046,2.67677,
3,1.13403,0.601926,0.00245831,56.8544,0.488248,0.999062,27.5596,0.00424291,0.0250398,2.67678,
4,1.13402,0.6019,0.00245412,56.8544,0.488246,0.999062,27.5597,0.00423993,0.0250391,2.67675,
5,1.13401,0.601869,0.00246001,56.8544,0.488242,0.999062,27.5597,0.00423801,0.0250422,2.67672,
6,1.134,0.601866,0.00245735,56.8545,0.48824,0.999062,27.5597,0.00423713,0.0250387,2.67665,
7,1.13401,0.601898,0.00245424,56.8544,0.488248,0.999062,27.5597,0.00423947,0.0250418,2.67673,
8,1.13399,0.601847,0.00246248,56.8545,0.48824,0.999062,27.5598,0.00423722,0.0250437,2.67662,
9,1.13401,0.601893,0.00245496,56.8544,0.48825,0.999062,27.5597,0.00423918,0.0250388,2.67672,
10,1.13402,0.601913,0.00245303,56.8544,0.488244,0.999062,27.5597,0.0042414,0.0250405,2.67676,
11,1.13401,0.601902,0.00245591,56.8544,0.488246,0.999062,27.5597,0.00423892,0.0250409,2.67673,
12,1.13402,0.601898,0.00246015,56.8544,0.488244,0.999062,27.5597,0.00423946,0.0250422,2.67674,
13,1.134,0.601867,0.00245674,56.8545,0.488245,0.999062,27.5597,0.00423762,0.025041,2.67666,
14,1.13402,0.601904,0.00245438,56.8544,0.488242,0.999062,27.5597,0.00424047,0.0250405,2.67675,
15,1.134,0.601879,0.00245419,56.8545,0.488244,0.999062,27.5597,0.00423692,0.0250383,2.67665,
16,1.134,0.601876,0.00246009,56.8545,0.488241,0.999062,27.5597,0.00423842,0.0250434,2.67665,
