Individual,Heave.front.side_view_swing_arm_angle_l,Heave.front.motion_ratio_heave_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,0.00501165,1.38024,0.000678295,3.30725,4.81415e-05,18.2334,0.156345,0.244232,4.94308,
1,0.00490522,1.38043,0.000661006,3.30724,4.95994e-05,18.2334,0.156345,0.244249,4.94308,
2,0.00492317,1.38018,0.000668219,3.30725,5.30178e-05,18.2335,0.156345,0.244456,4.94305,
3,0.00502132,1.38027,0.000658185,3.30736,4.60764e-05,18.2334,0.156345,0.244202,4.9431,
4,0.00497939,1.38018,0.000674488,3.30753,4.78796e-05,18.2334,0.156345,0.244149,4.94314,
5,0.00499433,1.38033,0.000676938,3.30719,4.93739e-05,18.2334,0.156345,0.244402,4.94305,
6,0.00498469,1.38025,0.000669296,3.30726,4.84344e-05,18.2334,0.156345,0.244402,4.94306,
7,0.00495294,1.38036,0.000666894,3.30726,5.12057e-05,18.2334,0.156345,0.244358,4.94306,
8,0.00493996,1.38033,0.000674769,3.30719,5.30116e-05,18.2334,0.156345,0.244481,4.94304,
9,0.00492461,1.38033,0.000666188,3.30732,4.9414e-05,18.2334,0.156345,0.244358,4.94308,
10,0.00491171,1.38042,0.000669555,3.30717,4.9547e-05,18.2334,0.156345,0.244458,4.94304,
11,0.0049762,1.38027,0.000677715,3.30728,5.12938e-05,18.2334,0.156345,0.244415,4.94306,
12,0.00493977,1.38035,0.000671613,3.30725,5.28432e-05,18.2335,0.156345,0.244406,4.94306,
13,0.00498506,1.38032,0.000673838,3.30742,4.63508e-05,18.2334,0.156345,0.244231,4.94311,
14,0.00500956,1.38042,0.000670796,3.30735,4.50765e-05,18.2334,0.156345,0.244208,4.9431,
15,0.00488533,1.38049,0.000672598,3.30722,5.15708e-05,18.2334,0.156345,0.244412,4.94305,
16,0.00487558,1.38033,0.000675261,3.30737,5.34405e-05,18.2334,0.156345,0.244412,4.94307,
17,0.00498884,1.3804,0.000667649,3.30727,4.84738e-05,18.2334,0.156345,0.244368,4.94307,
18,0.00499514,1.38043,0.000672433,3.30717,4.98181e-05,18.2334,0.156345,0.244451,4.94304,
19,0.00495287,1.38042,0.000669496,3.30725,4.86842e-05,18.2334,0.156345,0.24442,4.94306,
20,0.00493147,1.38045,0.0006727,3.30722,4.80644e-05,18.2334,0.156345,0.244453,4.94305,
21,0.00496017,1.38032,0.000672999,3.30734,5.07255e-05,18.2334,0.156345,0.244415,4.94307,
22,0.00501342,1.38047,0.000661297,3.30733,5.14518e-05,18.2334,0.156345,0.244237,4.94309,
23,0.00493172,1.38031,0.000674918,3.30738,5.19195e-05,18.2334,0.156345,0.244389,4.94308,
24,0.0048846,1.38032,0.000675021,3.30735,5.18082e-05,18.2334,0.156345,0.244481,4.94306,
25,0.00493914,1.38045,0.000673727,3.30744,4.4947e-05,18.2334,0.156345,0.244228,4.94311,
26,0.00493459,1.38049,0.000671368,3.30743,4.756e-05,18.2334,0.156345,0.244194,4.94312,
27,0.00491598,1.38053,0.000673355,3.30725,5.071e-05,18.2334,0.156345,0.244383,4.94306,
28,0.00502435,1.38048,0.000669717,3.30748,3.77534e-05,18.2334,0.156345,0.244097,4.94314,
29,0.00502174,1.3805,0.000674,3.30714,5.18268e-05,18.2334,0.156345,0.24447,4.94303,
30,524.603,57.4296,5.19766,127.383,10.4955,24.5194,0.283923,2.14806,2.2674,
31,0.004956,1.38034,0.000680996,3.3075,4.98184e-05,18.2334,0.156345,0.244048,4.94315,
32,0.00495815,1.38038,0.000674387,3.30743,4.84437e-05,18.2334,0.156345,0.244203,4.94311,
33,20.9972,70.7512,6.38818,77.8727,0.419896,12.3575,0.289747,3.45083,10.2942,
34,0.00495746,1.38045,0.000679223,3.30726,4.91989e-05,18.2334,0.156345,0.244412,4.94306,
35,0.00495578,1.38051,0.000669157,3.30723,4.8451e-05,18.2334,0.156345,0.244313,4.94307,
36,139.564,27.0463,9.92667,174.94,2.79255,542.269,0.568409,2.45456,5.32414,
37,0.00493656,1.38041,0.000674355,3.30735,4.826e-05,18.2334,0.156345,0.244457,4.94306,
38,0.00494075,1.38055,0.000673778,3.3072,5.08678e-05,18.2334,0.156345,0.244463,4.94304,
39,0.0049942,1.38017,0.00066328,3.30738,4.81411e-05,18.2334,0.156345,0.244173,4.94311,
40,0.00501219,1.38043,0.000672123,3.30734,4.85063e-05,18.2334,0.156345,0.244355,4.94308,
41,0.00497465,1.38034,0.000678857,3.30736,4.89555e-05,18.2334,0.156345,0.244354,4.94308,
42,0.0140932,1.38016,0.000677989,3.30751,0.000228042,18.2336,0.156347,0.244375,4.94307,
43,0.00497121,1.38052,0.000675389,3.30732,4.95782e-05,18.2334,0.156345,0.244406,4.94307,
44,630.148,23.6655,9.03189,128.688,12.6142,16.7102,0.164095,6.5727,6.62749,
45,0.00499255,1.38039,0.000672104,3.3073,5.13048e-05,18.2334,0.156345,0.244408,4.94307,
46,0.00494986,1.38043,0.000668387,3.30734,5.04423e-05,18.2335,0.156345,0.244543,4.94305,
47,0.00492954,1.38027,0.000671364,3.30737,4.84863e-05,18.2334,0.156345,0.244356,4.94308,
48,0.00501744,1.38042,0.000669808,3.30729,5.00192e-05,18.2334,0.156345,0.244412,4.94306,
49,0.00492573,1.38008,0.000665894,3.3073,5.19558e-05,18.2334,0.156345,0.244307,4.94308,
