Individual,Heave.front.side_view_swing_arm_angle_l,Heave.front.motion_ratio_heave_l,Heave.front.camber_angle_gain_heave_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,0.00552402,4.30191,0.0474349,0.0127293,1.95654,6.80165e-05,24.603,0.222623,0.735429,2.78648,
1,0.00563926,4.30174,0.0474349,0.0128278,1.95659,5.52973e-05,24.6031,0.222624,0.735441,2.78638,
2,0.00558893,4.30187,0.0474349,0.0128218,1.95673,7.57348e-05,24.6031,0.222624,0.735306,2.78631,
3,0.00574587,4.30163,0.0474348,0.0128537,1.95679,6.43812e-05,24.6032,0.222624,0.735243,2.78631,
4,0.00571818,4.30192,0.0474348,0.0126912,1.95678,6.52456e-05,24.6032,0.222624,0.735254,2.78626,
5,0.00603286,4.30175,0.0474349,0.012589,1.95649,9.72723e-05,24.6031,0.222623,0.735435,2.78642,
6,0.00559059,4.30187,0.0474349,0.0128851,1.95653,5.97449e-05,24.6031,0.222623,0.735444,2.78648,
7,0.00570653,4.30216,0.0474349,0.0125374,1.95656,6.32346e-05,24.6031,0.222623,0.735387,2.78647,
8,0.00581304,4.30182,0.0474349,0.0127273,1.95651,6.65524e-05,24.6031,0.222623,0.735429,2.78651,
9,0.00603145,4.30169,0.0474349,0.0126448,1.95653,0.000102845,24.6031,0.222623,0.735365,2.7865,
10,0.0055538,4.30214,0.0474349,0.0127131,1.95668,6.35646e-05,24.6031,0.222624,0.73528,2.78646,
11,0.00556118,4.30199,0.0474348,0.0128882,1.95674,5.76423e-05,24.6031,0.222624,0.735306,2.78633,
12,0.00570036,4.30191,0.0474349,0.0128464,1.95643,6.06309e-05,24.6031,0.222624,0.735575,2.78644,
13,0.0056156,4.30201,0.0474349,0.0128533,1.95641,5.96419e-05,24.603,0.222624,0.735592,2.78645,
14,0.00555574,4.30204,0.0474349,0.0128622,1.95643,6.55491e-05,24.603,0.222623,0.735538,2.7865,
15,0.00560425,4.30223,0.0474349,0.0126325,1.95653,5.88452e-05,24.6031,0.222623,0.735419,2.78649,
16,0.00569722,4.30195,0.0474348,0.0128296,1.95659,6.47976e-05,24.6031,0.222624,0.735408,2.78639,
17,0.00566049,4.30183,0.0474348,0.0130147,1.95649,6.00765e-05,24.6031,0.222624,0.735567,2.78632,
18,0.00574986,4.30198,0.0474348,0.0127496,1.95672,7.90689e-05,24.6032,0.222624,0.735292,2.78631,
19,0.00567697,4.30208,0.0474349,0.0127617,1.95645,7.50016e-05,24.6031,0.222623,0.735506,2.7865,
20,0.00588391,4.30184,0.0474349,0.0127665,1.95669,7.63886e-05,24.6032,0.222624,0.735278,2.7864,
21,0.0057831,4.30201,0.0474348,0.0127416,1.9567,8.48049e-05,24.6032,0.222624,0.735291,2.78633,
22,0.00570881,4.30207,0.0474349,0.0128134,1.95668,8.04132e-05,24.6031,0.222624,0.735309,2.78638,
23,0.00597279,4.3017,0.0474348,0.0129039,1.95646,8.39793e-05,24.6032,0.222624,0.735535,2.78634,
24,0.00578383,4.30209,0.0474349,0.0127452,1.95665,6.99783e-05,24.6031,0.222624,0.735358,2.78637,
25,0.00580276,4.30197,0.0474348,0.0128693,1.95641,8.41851e-05,24.6031,0.222624,0.73557,2.78641,
26,0.0057833,4.302,0.0474349,0.0128857,1.95643,7.43441e-05,24.6031,0.222624,0.735572,2.78641,
27,0.00587454,4.30215,0.0474348,0.0126053,1.95651,9.20522e-05,24.6032,0.222624,0.735417,2.78646,
28,0.00578408,4.3022,0.0474349,0.0127253,1.95642,6.26347e-05,24.6031,0.222624,0.735563,2.78644,
29,0.00580121,4.30215,0.0474349,0.0127746,1.95651,7.06643e-05,24.6031,0.222624,0.735479,2.78641,
30,0.00583258,4.30195,0.0474348,0.0127344,1.95671,9.05032e-05,24.6032,0.222624,0.735291,2.78631,
31,8.69412,34.6201,0.0079666,10.078,113.343,0.173664,133.821,0.735736,0.574951,4.58156,
32,9.44258,49.9586,0.0138358,10.0147,49.1022,0.182086,70.5504,0.805335,2.63171,2.99057,
33,0.00563655,4.30174,0.0474349,0.0128988,1.95653,8.56269e-05,24.6031,0.222623,0.735433,2.78647,
34,0.00587262,4.3023,0.0474348,0.0128603,1.9566,9.1079e-05,24.6032,0.222624,0.735405,2.78635,
35,0.00546225,4.30235,0.0474348,0.0128525,1.95681,4.84223e-05,24.6031,0.222624,0.735261,2.78628,
36,0.00568492,4.30208,0.0474348,0.0128337,1.95673,8.54088e-05,24.6032,0.222624,0.735258,2.78634,
37,0.0056965,4.30159,0.0474348,0.0127342,1.95649,7.92413e-05,24.6031,0.222624,0.735544,2.78629,
38,0.0061031,4.302,0.0474347,0.0128225,1.95668,0.000111082,24.6032,0.222625,0.735299,2.78632,
39,0.0058116,4.30167,0.0474348,0.0128582,1.95674,5.50926e-05,24.6032,0.222624,0.735314,2.78628,
40,1061.05,59.1139,0.0303583,8.95009,114.538,21.1507,9.75306,0.424513,6.80281,6.0269,
41,0.0056927,4.30264,0.0474349,0.0128023,1.95645,5.62538e-05,24.603,0.222623,0.735532,2.78649,
42,0.0056599,4.30218,0.0474349,0.0128537,1.95666,5.99396e-05,24.6031,0.222624,0.735374,2.78633,
43,0.00574228,4.30184,0.0474349,0.0128494,1.95646,6.38837e-05,24.6031,0.222624,0.73553,2.78645,
44,0.00559191,4.302,0.0474347,0.012882,1.95678,7.44792e-05,24.6032,0.222625,0.735264,2.78626,
45,0.00575896,4.30182,0.0474348,0.0128497,1.95672,9.21475e-05,24.6032,0.222624,0.735261,2.78635,
46,0.00559378,4.30196,0.0474349,0.0125876,1.95684,7.471e-05,24.6032,0.222624,0.735087,2.78644,
47,0.00572792,4.30176,0.0474348,0.0127778,1.95685,6.04527e-05,24.6032,0.222625,0.735222,2.78623,
48,0.00586987,4.30243,0.0474349,0.0128603,1.9568,4.9472e-05,24.6032,0.222624,0.735224,2.78638,
