Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,2.47383,4.97077e-05,0.52148,0.206455,23.4955,0.00195511,16.7169,0.254576,3.00609,
1,2.47384,4.86877e-05,0.521484,0.206457,23.4955,0.00195552,16.7169,0.25458,3.00608,
2,2.47385,4.92406e-05,0.521489,0.206453,23.4955,0.00195524,16.7169,0.254587,3.00608,
3,2.4738,4.85984e-05,0.521508,0.206464,23.4955,0.00195563,16.7169,0.254585,3.0061,
4,2.47382,4.85334e-05,0.521499,0.206461,23.4955,0.00195502,16.7169,0.25459,3.00609,
5,2.4738,4.84772e-05,0.521505,0.206467,23.4955,0.00195571,16.7169,0.254586,3.00609,
6,2.47383,5.11838e-05,0.5215,0.206452,23.4955,0.00195576,16.7169,0.254589,3.00608,
7,2.47383,4.85348e-05,0.521498,0.206456,23.4955,0.00195549,16.7169,0.254578,3.00609,
8,2.47384,4.86331e-05,0.521498,0.206457,23.4955,0.00195538,16.7169,0.254579,3.00608,
9,2.47383,4.97401e-05,0.521499,0.206467,23.4955,0.00195568,16.7169,0.254577,3.00609,
10,2.47381,4.88082e-05,0.521497,0.206474,23.4955,0.00195602,16.7169,0.254569,3.0061,
11,2.47382,4.86738e-05,0.521493,0.20647,23.4955,0.00195611,16.7169,0.254569,3.0061,
12,2.4738,4.8577e-05,0.521504,0.20647,23.4955,0.00195633,16.7169,0.254579,3.0061,
13,2.47383,5.28797e-05,0.521491,0.206469,23.4955,0.00195676,16.7169,0.254576,3.00609,
14,2.47381,4.87247e-05,0.521498,0.20647,23.4955,0.00195673,16.7169,0.254583,3.0061,
15,2.47383,4.86492e-05,0.521497,0.206463,23.4955,0.00195567,16.7169,0.254576,3.00609,
16,2.47385,4.87794e-05,0.521498,0.206459,23.4955,0.00195547,16.7169,0.254567,3.00608,
17,2.47383,4.85129e-05,0.521501,0.206459,23.4955,0.00195589,16.7169,0.254579,3.00609,
18,2.47385,4.85254e-05,0.521508,0.206446,23.4955,0.00195532,16.7169,0.254585,3.00608,
19,2.47385,4.89471e-05,0.521502,0.20645,23.4955,0.00195565,16.7169,0.254586,3.00607,
20,2.47386,4.8496e-05,0.521499,0.206458,23.4955,0.0019555,16.7169,0.254556,3.00608,
21,2.47382,4.92742e-05,0.521513,0.206459,23.4955,0.00195579,16.7169,0.254579,3.00609,
22,2.47386,4.85164e-05,0.521499,0.206451,23.4955,0.00195566,16.7169,0.25458,3.00607,
23,2.47383,4.84781e-05,0.521511,0.206455,23.4955,0.0019554,16.7169,0.254586,3.00609,
24,2.4738,4.88937e-05,0.521505,0.206477,23.4955,0.00195775,16.7169,0.254579,3.0061,
25,2.47381,4.85773e-05,0.5215,0.206478,23.4955,0.00195658,16.7169,0.254589,3.00609,
26,2.47386,4.90457e-05,0.521497,0.206459,23.4955,0.00195606,16.7169,0.254577,3.00608,
27,2.47384,5.00846e-05,0.521502,0.206466,23.4955,0.00195617,16.7169,0.254577,3.00608,
28,2.47383,4.90145e-05,0.521509,0.206464,23.4955,0.00195585,16.7169,0.254584,3.00608,
29,2.47381,5.17224e-05,0.521504,0.206473,23.4955,0.00195648,16.7169,0.254578,3.0061,
30,2.4738,4.88448e-05,0.521512,0.206479,23.4955,0.00195676,16.7169,0.254577,3.0061,
31,52.6437,7.13002,58.8345,1641.74,23.1405,32.1279,16.3969,3.36744,9.008,
32,333.828,3.66607,64.3984,24.7373,14.3248,0.497759,76.0083,4.32991,2.49837,
33,2.47378,4.8473e-05,0.5215,0.206473,23.4955,0.00195571,16.7169,0.254579,3.00611,
34,2.47383,4.85581e-05,0.521513,0.206469,23.4955,0.00195607,16.7169,0.25458,3.00609,
35,2.47385,4.85368e-05,0.521507,0.206458,23.4955,0.00195586,16.7169,0.254577,3.00608,
36,2.47378,4.8524e-05,0.52151,0.206473,23.4955,0.00195599,16.7169,0.254579,3.00611,
37,63.8538,7.20862,61.9453,4.63469,12.2933,0.091695,83.6938,4.50615,5.45833,
38,2.47379,4.87986e-05,0.521507,0.206479,23.4955,0.00195665,16.7169,0.254584,3.0061,
39,2.47382,4.858e-05,0.521508,0.206462,23.4955,0.00195547,16.7169,0.254579,3.0061,
40,2.47383,4.89608e-05,0.521493,0.206459,23.4955,0.00195599,16.7169,0.254577,3.00609,
41,2.47377,4.84919e-05,0.521505,0.206476,23.4955,0.00195642,16.7169,0.254582,3.00611,
42,472.376,7.31252,42.4617,992.591,11.5524,19.6928,47.5371,4.30284,8.46018,
43,2.47383,5.09983e-05,0.521502,0.206459,23.4955,0.00195505,16.7169,0.254575,3.00609,
44,2.47379,4.85559e-05,0.521495,0.206468,23.4955,0.00195584,16.7169,0.254587,3.0061,
45,82.4094,5.96065,67.5537,17.2636,12.3514,0.345426,83.0934,4.95643,9.21032,
46,2.47378,4.85098e-05,0.521494,0.206474,23.4955,0.00195685,16.7169,0.254579,3.00611,
47,2.47384,4.88817e-05,0.521507,0.206461,23.4955,0.00195566,16.7169,0.254579,3.00608,
48,2.47377,4.86186e-05,0.521497,0.206465,23.4955,0.00195652,16.7169,0.254585,3.0061,
49,2.47386,4.85121e-05,0.521509,0.206456,23.4955,0.00195597,16.7169,0.254581,3.00608,
