Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_gain_roll_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
0,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
1,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
2,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
3,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
4,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
5,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
6,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
7,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
8,54.3187,3.83391,36.2221,1032.17,63.412,0.257265,1029.55,11.7092,4.18122,
9,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
10,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
11,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
12,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
13,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
14,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
15,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
16,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
17,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
18,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
19,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
20,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
21,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
22,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
23,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
24,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
25,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
26,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
27,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
28,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
29,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
30,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
31,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
