Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center_gnd.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center_gnd.z.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,38.9311,114.835,169.96,0.339017,1.85543,1.53634,13.2715,4.14268,76.4361,2.27071,11.0629,1.00871,0.221127,3.02961,0.579846,1.6112,8.01279,4.50713,186.636,2.84487,13.023,1.00003,0.262005,3.49849,0.933356,0.936855,1.06632,0.0361823,12.3727,0.0356016,0.401411,0.973378,0.00449489,0.560316,
1,38.9311,271.969,394.544,0.143145,2.07143,1.51812,11.1063,3.94885,19.252,2.01905,223.468,0.98969,4.43872,3.15664,1.82667,0.562629,8.01964,2.37347,56.9249,1.88389,441.373,0.0264014,8.67218,1.94297,0.933356,0.892289,0.933962,0.0461635,9.35127,0.0356016,0.401411,0.963326,0.00449489,0.557889,
2,38.9311,127.875,146.551,0.304447,1.78082,1.47893,13.8292,3.50896,18.5159,1.71662,80.8346,0.988621,1.61712,3.60404,0.578295,0.660911,8.73025,2.16387,6.43855,1.38557,199.745,0.0165037,4.01798,2.03675,0.933356,0.936248,0.933962,0.0461635,11.8633,0.0356016,0.401411,0.969782,0.00449489,0.560316,
3,38.9311,159.35,194.862,0.244311,1.80631,1.28448,8.66059,3.13256,22.4649,1.47648,114.222,0.990606,2.2841,3.02853,0.474327,0.529852,7.60655,2.32559,9.14211,1.39556,183.236,0.0166029,3.87945,1.68439,0.933356,0.890022,0.945517,0.0461635,12.184,0.0356016,0.401411,0.95999,0.00449489,0.560316,
4,38.9311,148.688,184.055,0.261831,1.78853,1.30251,11.0031,2.91933,19.6555,1.29247,104.474,0.986949,2.09125,3.17375,0.458388,0.380816,7.48635,2.09222,7.25439,1.11869,182.25,0.015664,3.63456,2.04411,0.933356,0.936855,1.06632,0.0461635,10.1195,0.018506,0.401411,0.972892,0.00449489,0.560316,
5,38.9311,236.355,391.463,0.164715,1.80695,1.46387,9.52198,3.39164,20.1825,1.48477,190.438,0.989187,3.77473,3.30122,0.469207,0.779333,7.43763,2.61523,6.72901,1.50335,371.29,0.0174983,7.56063,1.92652,0.933356,0.882789,1.06632,0.0461635,4.32169,0.0356016,0.401411,0.947148,0.00449489,0.560316,
6,38.9311,212.517,329.701,0.18319,1.84683,1.40906,10.6309,3.28663,20.1525,1.54857,165.413,0.988495,3.29107,3.94956,0.499395,0.579506,7.93124,2.0904,7.23123,1.23526,322.541,0.0137768,6.36591,2.56281,0.878151,0.902237,1.0121,0.0461635,9.25768,0.0356016,0.401411,0.973282,0.00449489,0.560316,
7,38.9311,165.099,286.465,0.235805,1.77233,1.24028,8.34458,3.30727,21.0274,1.39367,121.496,0.987655,2.41648,3.11329,0.470763,0.417396,6.40789,2.4572,6.38626,1.42313,287.464,0.013462,5.60149,1.665,0.933356,0.928652,0.956824,0.0461635,9.54624,0.0356016,0.401411,0.973007,0.00449489,0.560316,
8,38.9311,124.963,249.746,0.311541,1.94553,1.29695,7.71121,3.05199,21.8694,1.10034,81.7939,0.988809,1.62127,3.58336,0.433337,0.466001,6.68854,2.17621,6.13521,0.942402,246.311,0.0149723,4.94998,2.10617,1.04493,0.936855,1.06632,0.0461635,12.3586,0.0356016,0.401411,0.972399,0.00449489,0.560316,
9,38.9311,180.146,317.974,0.216108,1.93618,1.37051,8.20407,3.42707,30.3586,1.40293,126.231,0.99208,2.50774,3.71614,0.502916,0.60865,7.72855,2.71229,62.2631,1.57777,301.06,0.0218073,6.14487,2.20978,1.04493,0.674875,0.930758,0.0461635,11.1886,0.0356016,0.401411,0.957657,0.00449489,0.717708,
