Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center_gnd.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center_gnd.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,62.6137,724.578,3460.68,0.0864141,3.56302,13.7565,593.947,2.43331,12.0967,26.0266,67.8015,1.00537,0.241636,3.70552,2.70683,15.7272,3508.26,2.93137,15.2663,14.6639,71.1119,0.996553,0.318833,4.28109,0.0461635,1.2997,12.6597,0.0415565,0.230591,2.92041,1.58613,0.972624,0.00278834,0.675727,
1,62.6137,222.278,192.323,0.28169,3.74143,11.7159,25.9053,1.80775,108.993,25.6022,37.0369,0.995657,2.18133,4.29865,2.19362,7.20631,568.39,1.13109,185.993,9.78891,36.2614,0.0317214,3.37798,2.21314,0.0461635,1.2997,12.6597,0.0415565,0.447011,11.5724,1.98573,0.969557,0.00278834,0.61777,
2,62.6137,222.383,264.476,0.281558,3.48658,11.3118,21.792,1.90325,129.538,21.8242,24.3502,0.988767,2.58025,4.60776,2.22656,6.90128,15.4141,1.3354,256.052,10.3597,23.4772,0.0201535,5.11876,2.02662,0.0461635,1.2997,12.6597,0.0415565,0.447011,3.60464,1.45211,0.974349,0.00278834,0.868084,
3,62.6137,256.97,316.183,0.243662,3.68377,9.95908,22.4592,1.73417,160.408,21.7304,27.6742,0.991281,3.19449,5.13558,2.10697,6.88353,14.9471,1.23158,303.187,10.2638,20.3521,0.0207742,5.98107,2.0158,0.0461635,1.17233,7.93125,0.0225792,0.447011,7.9598,1.98573,0.974166,0.00278834,0.868084,
4,62.6137,211.889,184.797,0.295502,3.85384,13.1255,23.9483,1.8254,109.228,22.7288,29.0604,0.990975,2.18641,4.94171,2.00302,8.35345,31.9072,1.13555,186.034,11.6532,30.8259,0.0224048,3.87501,1.83928,0.0461635,1.2997,12.0426,0.0415565,0.447011,2.05046,3.41777,0.973126,0.00278834,0.868084,
5,62.6137,197.958,178.437,0.316297,3.9591,10.1516,20.7599,1.35957,100.032,24.825,29.1795,0.990973,2.00129,4.69943,2.52992,8.39508,8.9368,0.999679,165.99,10.9168,27.9411,0.0165738,3.32451,2.15374,0.0461635,1.2997,9.675,0.0415565,0.447011,9.38782,3.41777,0.974257,0.00278834,0.83411,
6,62.6137,245.127,246.764,0.255434,3.83616,12.3684,19.2134,1.41294,142.87,24.1015,32.3628,0.988258,2.85783,5.11516,2.5464,7.89399,9.0101,1.0134,235.514,10.5324,31.2075,0.0167795,4.70719,2.15758,0.0461635,0.925161,8.36401,0.0415565,0.447011,9.61178,3.41777,0.973986,0.00278834,0.855312,
7,62.6137,227.28,216.202,0.275492,3.69096,10.9666,19.8331,1.29976,129.768,23.0543,30.3757,0.988469,2.59741,4.7055,2.25371,8.02146,8.11524,0.927371,206.587,11.7627,28.899,0.0145157,4.12662,2.27872,0.0461635,1.19036,11.1097,0.0135167,0.447011,8.08458,3.41777,0.973802,0.00278834,0.867692,
8,62.6137,203.478,194.501,0.307717,3.72333,9.78358,20.2561,1.36508,110.084,26.0887,24.338,0.987313,2.20358,4.64824,2.21132,7.15515,7.85582,1.02261,186.602,10.6249,17.3575,0.0136501,3.7185,2.0615,0.0461635,1.29557,12.5741,0.0415565,0.447011,9.61178,3.41777,0.97401,0.00278834,0.868084,
9,62.6137,208.57,267.376,0.300205,3.94913,9.79374,20.0516,1.27906,122.381,22.1646,21.0296,0.987315,2.43718,4.49626,2.41794,7.1227,6.96525,0.900533,254.817,11.0176,14.0348,0.013075,5.07689,1.84154,0.0461635,1.14617,12.5741,0.0409267,0.447011,5.89042,3.35918,0.974216,0.00278834,0.868084,
10,62.6137,188.911,262.561,0.331446,3.27659,7.49452,22.1646,1.76927,100.321,21.4725,24.8316,0.991425,1.99457,4.59501,2.18641,7.68471,6.68048,1.40965,241.941,10.4869,18.2033,0.0136771,4.84278,2.01169,0.0461635,0.941411,12.5741,0.0415565,0.447011,3.94107,3.41777,0.974216,0.00278834,0.868084,
11,62.6137,255.307,402.711,0.245249,3.74782,8.64332,21.2635,1.32763,160.584,25.0102,26.2732,0.991354,3.1836,4.28203,2.23843,7.59972,7.33626,1.21582,360.48,12.0551,26.6083,0.0151754,7.2574,2.11498,0.0461635,0.929354,9.72609,0.0415565,0.447011,9.61178,1.67144,0.973886,0.00278834,0.802918,
12,62.6137,210.44,242.814,0.297537,4.11433,8.83335,23.3625,1.4282,113.685,22.8485,28.81,0.988984,2.2711,4.09878,2.39449,6.83453,21.0254,1.28181,232.356,9.98705,31.5904,0.0205515,4.60979,1.95899,0.0461635,0.931344,9.2747,0.0676763,0.447011,9.61178,2.65184,0.961699,0.00278834,0.646912,
13,62.6137,148.631,123.655,0.42127,3.90417,7.99795,24.8414,1.3652,60.0517,22.3606,21.8451,0.993275,1.20141,4.07005,2.333,7.65878,20.8105,1.06049,124.01,11.4462,20.362,0.0217434,2.53807,1.80498,0.0461635,0.931344,12.3409,0.0297728,0.447011,3.37955,1.73876,0.971772,0.00278834,0.802918,
14,62.6137,187.999,202.659,0.333054,4.02602,9.70379,21.9693,1.29962,95.0876,20.6455,27.8423,0.99424,1.90069,4.52959,2.68088,7.82087,10.6685,1.04612,188.728,9.99438,34.9135,0.0309798,3.90504,1.96909,0.0461635,0.891203,7.93263,0.0223996,0.447011,3.37955,1.42829,0.973401,0.00278834,0.802918,
15,62.6137,183.097,158.345,0.34197,3.13939,7.4338,22.1583,1.05277,96.1465,19.8561,26.2207,0.98985,1.92464,4.17521,2.82336,6.9392,6.71642,0.839262,147.798,9.44194,21.1577,0.0139953,2.96422,1.9947,0.0461635,0.931344,12.3426,0.0275289,0.447011,3.37955,3.41777,0.974216,0.00278834,0.802918,
16,62.6137,185.857,170.711,0.336891,3.17883,7.49422,22.0588,1.09454,102.166,19.5959,22.8876,0.990783,2.04463,4.34637,2.24872,6.71527,6.39527,0.817982,165.432,10.039,14.7427,0.0163633,3.33573,2.0057,0.0461635,1.08718,12.3664,0.0246296,0.447011,3.37955,2.41896,0.972984,0.00278834,0.802918,
17,62.6137,132.072,119.632,0.474086,3.25868,6.47131,29.7361,1.12092,45.8558,19.4914,20.2166,0.992021,0.917029,4.01248,2.29815,5.77584,48.8574,0.804968,110.115,8.93352,20.9838,0.0192825,2.20577,1.77243,0.0461635,1.14617,12.5741,0.0275289,0.447011,3.37955,1.88044,0.973391,0.00278834,0.802918,
