Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,41.0544,235.476,100.69,0.174346,13.9087,2.47508,46.4,139.792,25.3284,3.47949,0.277986,0.245801,3.56891,15.9464,2.71993,74.4154,118.461,28.1542,2.35746,0.319581,0.29866,4.24383,0.625085,0.222957,12.802,4.76499,2.49857,0.0243786,0.0041774,0.00568854,0.531555,
1,41.0544,306.844,218.102,0.133796,148.682,1.69827,26.6176,93.3594,26.133,3.55507,2.97546,0.177541,3.64602,252.915,1.41349,32.8111,75.9461,12.095,2.52419,5.1466,0.169461,2.35037,0.625085,0.0146965,12.2723,4.76499,2.49857,0.0461635,0.0041774,0.00535266,0.531555,
2,41.0544,279.745,210.809,0.146756,134.511,1.98251,25.901,83.0999,24.6135,2.8343,2.69188,0.167457,3.94379,217.398,1.20451,26.6698,57.702,12.6347,2.44145,4.29043,0.15777,2.03749,0.625085,0.18368,12.5056,4.76499,2.49857,0.0461635,0.0041774,0.00225693,0.531555,
3,41.0544,352.474,305.834,0.116475,204.873,1.83961,34.9958,75.2465,24.5218,3.20038,4.09602,0.216996,3.48314,289.477,1.24731,58.5991,49.7025,13.1379,2.34765,6.07138,0.170949,2.3275,0.625085,0.0401447,7.78663,4.76499,2.49857,0.0461635,0.0041774,0.00556191,0.609346,
4,41.0544,288.665,246.662,0.142222,171.123,1.78419,26.4611,54.0252,24.1965,3.10344,3.42298,0.183199,4.36489,256.304,1.21299,28.3345,41.462,12.8892,2.31351,5.11854,0.153476,2.33077,0.625085,0.18368,8.46979,4.76499,2.49857,0.0461635,0.0041774,0.00286576,0.577652,
5,41.0544,337.71,290.3,0.121567,172.656,2.22443,24.7067,97.3387,29.8185,3.41274,3.45245,0.153656,3.94671,264.69,1.82988,26.6533,106.565,15.9571,2.50489,5.28869,0.144317,2.02114,0.625085,0.0422108,9.85546,4.76499,2.49857,0.0461635,0.0041774,0.00406447,0.703055,
6,41.0544,273.214,217.467,0.150265,153.023,1.65629,24.4458,62.2138,22.0416,2.58978,3.06391,0.146028,4.03335,210.373,1.35506,26.6035,53.4871,12.5367,2.30153,4.20482,0.141518,2.18459,0.625085,0.116246,11.3892,4.76499,2.49857,0.0461635,0.0041774,0.00430804,0.70383,
7,41.0544,258.922,293.696,0.158559,146.755,1.82602,21.8372,51.7793,26.3617,2.6421,2.92371,0.139934,4.65674,269.39,1.29062,19.8702,47.465,12.6814,2.24309,5.31058,0.13169,2.16532,0.625085,0.18368,11.8332,2.01106,2.49857,0.0461635,0.0041774,0.00458013,0.934963,
8,41.0544,202.813,125.598,0.202425,105.147,1.63411,22.4508,39.9563,24.1137,2.84044,2.10591,0.164842,4.40031,130.87,1.14022,17.4527,32.0446,11.3204,2.18427,2.61716,0.12766,1.81221,0.625085,0.033828,12.7463,4.76499,2.49857,0.0461635,0.0041774,0.00458013,0.934963,
9,41.0544,263.613,293.032,0.155737,170.325,1.52165,21.2044,31.9551,27.4467,2.62802,3.39461,0.161847,4.97596,288.125,1.21566,16.0356,26.3312,13.1391,2.25178,5.68425,0.112939,1.90065,0.625085,0.0332814,12.056,4.76499,5.5616,0.0461635,0.0041774,0.00623399,0.934963,
