Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.camber_angle_gain_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.camber_angle_gain_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.camber_angle_gain_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,61.2991,247.385,224.667,0.247788,81.1255,2.56264,11.3809,113.695,30.7497,3.92164,0.0702424,0.227615,0.4183,3.23311,227.696,3.22295,13.1,108.212,33.2361,2.47292,0.0791058,0.262562,0.458131,3.68314,12.4264,0.0397448,0.846442,5.69629,7.21111,0.0461635,0.00541275,0.00654429,0.167839,0.549741,
1,61.2991,258.007,190.273,0.237587,21.2637,2.66428,107.996,87.3235,28.4078,4.31893,0.0862545,2.1611,0.447939,3.33743,62.1651,1.98957,200.492,56.0084,11.5977,2.63708,0.034327,4.01062,0.200649,1.83366,11.6563,0.0397448,0.846442,5.69629,8.40614,0.0461635,0.0101637,0.00654429,0.167839,0.520738,
2,61.2991,285.696,269.12,0.214561,22.0452,2.30982,159.431,60.2111,29.4322,4.81564,0.0752658,3.18646,0.367151,3.82232,19.0338,1.89727,276.27,45.0503,11.8772,2.53641,0.0327623,5.55352,0.206735,2.13723,3.4773,0.0397448,0.846442,0.708065,8.40614,0.0461635,0.0101637,0.00654429,0.148867,0.663609,
3,61.2991,323.048,271.716,0.189753,21.8325,2.12144,178.589,80.0428,29.0557,3.83186,0.0773889,3.57368,0.376469,3.54672,18.8984,1.74873,251.181,68.4584,12.251,2.80251,0.0311878,5.02531,0.183701,1.75716,11.1211,0.0397448,0.846442,2.12236,8.40614,0.0461635,0.0101637,0.00654429,0.138746,0.663609,
4,61.2991,237.037,272.066,0.258606,24.5421,1.96279,118.507,50.6559,30.0901,4.11811,0.0667053,2.3575,0.325223,4.41188,18.8883,1.76413,269.619,40.2678,13.1892,2.61977,0.0298682,5.31955,0.176938,2.07826,12.1281,0.0397448,0.846442,4.22408,4.23302,0.0461635,0.0101637,0.00654429,0.164602,0.663609,
5,61.2991,249.621,196.513,0.245569,20.7793,1.9058,133.496,51.253,30.4601,4.57938,0.0743433,2.67302,0.338814,4.06175,14.8406,1.59115,187.191,32.207,11.943,2.53854,0.0283052,3.74823,0.163297,1.72841,12.4264,0.0397448,0.846442,4.11901,1.36664,0.0461635,0.0101637,0.00654429,0.167035,0.80216,
6,61.2991,202.54,183.131,0.302652,20.9598,1.88346,97.9814,39.8699,31.29,4.02677,0.0666075,1.96085,0.290719,4.2107,9.79374,1.67478,179.951,29.5379,11.7117,2.60282,0.0255927,3.597,0.149362,1.70374,12.4264,0.0397448,0.846442,4.11901,11.6495,0.0461635,0.0154117,0.00654429,0.162072,0.80216,
7,61.2991,239.575,266.165,0.255866,20.2272,1.91258,122.919,52.9915,30.0689,4.39868,0.0712524,2.45758,0.30559,4.22284,10.6967,1.78706,217.903,56.4717,12.7985,2.58129,0.0247825,4.35078,0.170232,1.77118,11.9687,0.0397448,0.846442,4.11901,8.24104,0.0461635,0.0154117,0.00654429,0.167035,0.606349,
8,61.2991,176.048,114.486,0.348196,19.3878,1.80013,81.4435,31.4902,30.9379,4.29286,0.0720324,1.63141,0.27487,4.71704,9.4907,1.63344,120.022,27.8732,12.8597,2.52574,0.0212664,2.4161,0.136276,1.72509,12.261,0.0397448,0.846442,2.44797,11.6495,0.0461635,0.0154117,0.00654429,0.166795,1.1451,
9,61.2991,221.96,197.055,0.276172,21.5714,1.4817,122.208,39.3658,26.6079,3.88107,0.0655013,2.44622,0.286015,4.04645,11.4099,1.38575,186.793,30.794,12.3128,2.32353,0.0249003,3.73676,0.12244,1.84749,12.7471,0.0397448,0.846442,2.56866,11.6495,0.0461635,0.0154117,0.00654429,0.166795,0.929143,
10,61.2991,272.022,243.736,0.225346,21.9595,1.56603,169.487,39.3228,27.5696,3.69936,0.06244,3.39256,0.268022,4.69421,11.2637,1.36729,237.188,31.654,11.2866,2.36686,0.0222882,4.74665,0.112988,2.0128,11.1104,0.0397448,0.846442,2.56866,11.6495,0.0461635,0.0154117,0.00654429,0.162927,0.680781,
11,61.2991,153.942,105.189,0.398197,21.9936,1.24395,68.8114,26.1829,25.5851,4.30397,0.0621485,1.37807,0.254451,4.12606,9.47912,1.1635,153.726,21.7282,11.434,2.38468,0.0206439,2.97557,0.109489,1.54424,12.7471,0.0319165,0.846442,2.56866,3.77722,0.0461635,0.0154117,0.00654429,0.165309,0.601128,
12,61.2991,130.257,57.3528,0.470601,23.0419,1.27663,45.1522,25.3473,25.3262,4.72447,0.0570817,0.904164,0.235331,4.19176,9.02283,1.1456,59.79,15.4212,10.7483,2.21898,0.0166195,1.19836,0.0807473,1.3473,13.5327,0.0370324,0.846442,2.88987,11.4936,0.0461635,0.0154117,0.00654429,0.163986,1.1451,
13,61.2991,178.097,189.684,0.344189,20.5103,1.21722,90.6309,30.0311,24.9219,4.41504,0.0629647,1.81292,0.24737,4.24752,5.70992,0.97251,190.286,38.1852,11.1978,2.13328,0.0197725,3.80097,0.1091,1.37732,9.39837,0.0397448,0.846442,1.14239,9.87184,0.0461635,0.0329425,0.00654429,0.166795,1.27574,
14,61.2991,214.388,202.782,0.285926,22.7459,1.37932,126.19,26.5988,25.7962,4.47281,0.0632857,2.52629,0.276408,4.33883,15.7227,1.2022,186.773,20.2237,11.8732,2.20714,0.0229228,3.81369,0.115928,1.54325,11.0341,0.0397448,0.846442,2.88987,11.4936,0.0461635,0.0104196,0.00654429,0.166795,0.602512,
15,61.2991,187.21,144.045,0.327435,19.7825,1.61133,102.251,26.0462,26.7434,3.95855,0.06514,2.04817,0.24064,4.4634,5.70334,1.27573,138.475,18.1251,10.4104,2.31214,0.0174109,2.80058,0.0881389,1.39842,12.9874,0.0397448,0.846442,2.88987,10.6724,0.0461635,0.0329425,0.00654429,0.162547,1.30924,
16,61.2991,208.326,327.738,0.294247,20.7062,1.39937,111.333,36.8566,26.9476,4.36467,0.0640442,2.20966,0.254154,4.19006,5.11881,1.31158,271.234,56.5505,13.4788,2.62397,0.0220497,5.36629,0.143787,1.82562,11.9478,0.0363855,0.625867,0.563262,6.82795,0.0461635,0.0329425,0.00537157,0.165632,0.664321,
