Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,65.4007,823.493,3753.31,0.0794186,27.5604,142.599,3.94651,14.8978,2.67506,588.009,0.298313,40.1333,3.3745,30.394,174.347,2.57812,11.0986,3.3199,3800.11,0.340731,42.2549,3.50987,2.90817,1.9334,0.0461635,0.846442,0.139462,12.3709,0.00654429,4.47967,0.669628,
1,65.4007,332.687,285.916,0.196583,26.8882,79.3367,3.73563,153.152,1.65103,34.7498,3.06111,26.5899,3.52285,13.5232,87.1389,2.69942,254.592,1.5934,548.23,4.90769,24.5107,1.86153,2.90817,2.70448,0.0461635,0.846442,0.0466084,4.60024,0.00654429,2.23928,0.860641,
2,65.4007,321.702,252.409,0.203296,30.2634,62.2946,3.68219,156.473,1.41919,29.4949,3.1304,31.1959,3.74818,13.2055,43.8822,2.56354,235.25,1.11846,28.6115,4.69538,20.7728,1.96698,2.90817,2.70448,0.0461635,0.846442,0.115754,10.8628,0.00654429,2.84757,0.808479,
3,65.4007,222.557,136.044,0.293861,33.485,49.6679,3.48924,77.4862,1.18893,26.3521,1.55134,25.7511,3.58499,14.5793,34.4384,2.91789,141.605,1.12015,17.3021,3.1885,17.1491,1.74479,5.85905,2.70448,0.0461635,0.691128,0.0428798,12.3709,0.00654429,1.95734,0.806389,
4,65.4007,191.876,100.146,0.340849,30.1354,45.1452,4.35003,57.3394,1.26068,27.3549,1.14809,21.6176,3.52464,15.3919,33.3805,3.14504,84.8138,1.11212,14.4116,1.65083,14.4404,1.72945,3.49685,1.96922,0.0461635,0.691128,0.0678764,12.3709,0.00654429,3.16671,0.632049,
5,65.4007,164.38,64.2047,0.397862,30.7924,33.9633,3.8077,43.5426,1.10544,26.306,0.871717,20.4414,3.54962,14.435,31.6328,3.13341,55.7173,1.03591,12.2133,1.13072,13.1795,1.44599,4.37662,0.80182,0.0461635,0.691128,0.0210809,12.3709,0.00654429,3.16671,0.718471,
6,65.4007,203.789,159.581,0.320923,27.919,36.9664,4.06095,84.0798,1.28886,26.0731,1.6824,17.8644,3.85441,16.5395,26.2796,2.98909,136.44,1.28892,9.43266,2.88678,12.2121,1.61764,1.54316,0.80182,0.0461635,0.691128,0.0364776,12.7511,0.00654429,3.16671,0.882088,
7,65.4007,158.376,72.8956,0.412946,26.9916,36.9556,3.75961,41.0001,1.09432,26.1931,0.820658,17.6704,3.89057,14.6181,50.0588,3.08366,59.533,1.26597,9.03481,1.22677,11.1654,1.56038,3.94367,0.80182,0.0461635,0.691128,0.0425338,14.7182,0.00654429,3.16671,0.882088,
8,65.4007,182.848,169.45,0.357678,29.1387,37.3977,3.61686,64.1272,0.942512,25.5657,1.28212,17.1198,3.65721,15.1901,41.1719,2.86032,120.288,0.975999,7.29759,2.52148,9.80975,1.7519,4.37662,2.52891,0.0461635,0.691128,0.0664183,14.2974,0.00654429,2.53141,0.703803,
9,57.4349,154.176,69.1217,0.372529,27.4698,31.1068,3.73775,43.0123,0.861126,24.2118,0.860623,18.7847,4.13094,16.0167,26.3993,2.86092,69.2701,0.650984,5.67442,1.37679,11.731,1.80599,4.37662,2.12893,0.0461635,0.691128,0.0370828,12.2751,0.00654429,3.16671,0.882088,
10,57.4349,173.284,187.784,0.33145,25.8667,29.7948,3.11933,67.244,0.667776,24.053,1.34367,17.8907,3.3037,15.7422,34.5707,2.61674,148.963,0.498071,5.0887,2.92584,8.55316,1.51275,5.85905,2.05176,0.0461635,0.691128,0.0370828,10.1104,0.00654429,2.52753,0.755588,
11,57.4349,146.761,64.5196,0.39135,25.0048,25.4025,2.80415,46.3616,0.570102,23.535,0.927962,18.5938,3.56101,15.4159,21.4297,2.42828,58.7245,0.482141,4.77731,1.17972,6.75597,1.58104,4.44919,2.47365,0.0461635,0.691128,0.019688,16.9772,0.00654429,2.52753,0.717547,
12,57.4349,190.172,218.981,0.302016,22.6013,30.2872,3.71639,84.6503,0.769222,22.8178,1.69148,20.4341,3.20405,15.3384,59.8317,2.79677,167.789,0.865239,5.21479,3.24029,9.98831,1.17895,5.85905,2.52891,0.0461635,0.691128,0.0193458,11.4176,0.00654429,2.52753,0.811537,
13,57.4349,144.674,81.0243,0.396994,17.5307,18.8287,4.41696,57.3086,0.699064,24.8919,1.1469,16.6381,3.21328,14.1612,18.7246,3.06404,86.0509,0.458379,5.89982,1.65666,8.26278,1.00533,2.25889,2.52891,0.0461635,0.691128,0.0482495,16.9772,0.00654429,2.52753,0.882088,
14,57.4349,159.954,170.44,0.359072,20.6026,16.772,4.17379,70.6378,0.791454,23.0031,1.41156,19.2699,3.29136,15.9241,11.4258,3.05385,156.282,0.819122,4.96824,3.13325,8.13066,0.909475,4.76875,2.52891,0.0461635,0.691128,0.0482495,8.08234,0.00654429,2.52753,1.89563,
