Individual,Heave.front.toe_angle_l,Heave.front.camber_angle_gain_roll_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
0,1.79761,5.19824,0.963315,0.760976,0.0517071,0.945904,0.0154405,2.21567,0.279499,
1,1.79688,5.19831,0.968071,0.760956,0.0513804,0.945889,0.0153952,2.21571,0.275779,
2,1.79719,5.19836,0.963592,0.76086,0.0518193,0.945899,0.0156089,2.21589,0.279246,
3,1.79714,5.19828,0.965259,0.761061,0.0517331,0.945901,0.0154816,2.21578,0.27787,
4,1.79671,5.19841,0.966003,0.761016,0.0516104,0.945892,0.0156399,2.21592,0.277364,
5,1.79729,5.19829,0.964106,0.760958,0.0519081,0.945902,0.0154858,2.21578,0.278948,
6,1.79842,5.19818,0.95761,0.761085,0.0520338,0.945921,0.0155295,2.21569,0.284244,
7,1.79795,5.19828,0.959149,0.761024,0.0520019,0.945913,0.0156305,2.2158,0.282973,
8,1.79734,5.19833,0.962935,0.761163,0.0518872,0.945902,0.0155772,2.21586,0.279728,
9,1.79766,5.19821,0.963438,0.760935,0.0519435,0.945905,0.015393,2.21562,0.279622,
10,1.79721,5.19836,0.963111,0.76109,0.0519441,0.945901,0.0156196,2.21591,0.279588,
11,1.79726,5.1983,0.963144,0.761012,0.0521178,0.945908,0.0155674,2.21588,0.279561,
12,1.79684,5.19836,0.965862,0.761074,0.0518348,0.945896,0.0155472,2.21587,0.277488,
13,1.7978,5.19829,0.959925,0.761064,0.0519746,0.945911,0.0156164,2.21583,0.282393,
14,1.79663,5.19844,0.966612,0.760852,0.0515793,0.945886,0.0156228,2.21593,0.277264,
15,1.79749,5.19826,0.962718,0.761068,0.0520549,0.945908,0.0155167,2.21579,0.280022,
16,1.79711,5.19841,0.963118,0.761247,0.0518363,0.945898,0.0156959,2.21595,0.279581,
17,1.79631,5.19838,0.970116,0.760962,0.0517126,0.945885,0.0154271,2.21583,0.274233,
18,1.79737,5.19834,0.962492,0.761299,0.0518952,0.945902,0.0156041,2.21585,0.280117,
19,1.79828,5.19824,0.957054,0.76116,0.0520932,0.94592,0.0156395,2.2158,0.284709,
20,1.79704,5.19836,0.96523,0.761276,0.0517245,0.945894,0.0155261,2.21582,0.278029,
21,1.79809,5.19832,0.957024,0.761038,0.0521824,0.945915,0.0157186,2.21588,0.284733,
22,1.79713,5.19834,0.96401,0.761003,0.0519433,0.945901,0.0155765,2.21591,0.27911,
23,1.79754,5.19835,0.960687,0.76126,0.0518967,0.945906,0.0157052,2.21592,0.281669,
24,1.79742,5.19838,0.96069,0.761029,0.0521617,0.945906,0.0157128,2.21598,0.281666,
25,1.79824,5.19822,0.95706,0.760944,0.0524829,0.945924,0.0156258,2.2158,0.284661,
26,1.79856,5.19814,0.956364,0.76103,0.0522881,0.945927,0.015541,2.21566,0.285457,
27,1.79798,5.19828,0.95927,0.761002,0.0522675,0.945911,0.0155772,2.21581,0.282872,
28,1.79751,5.19835,0.960942,0.761067,0.0522897,0.945907,0.0156348,2.21591,0.281371,
29,1.79711,5.19839,0.963088,0.761097,0.0519713,0.945899,0.0156515,2.21594,0.279844,
30,103.177,51.5342,4.04403,50.0389,1004.39,0.276779,1000,1.74467,17.6839,
31,26.1068,28.447,8.18447,61.525,1655.2,0.636204,1618.13,3.35601,72.4515,
32,1.79868,5.19824,0.953921,0.761027,0.0523047,0.945926,0.0157035,2.21582,0.287245,
33,12.7379,22.2095,10.8617,73.4486,595.91,0.471064,596.514,4.31103,15.492,
34,1.79782,5.19828,0.960256,0.76128,0.0519627,0.94591,0.015585,2.2158,0.282055,
35,298.403,45.3476,3.99056,40.484,955.437,0.455453,943.25,6.69873,61.1743,
36,1.79731,5.19828,0.964135,0.760842,0.0516991,0.945902,0.0154802,2.21577,0.279433,
37,1.79679,5.19834,0.968167,0.761001,0.0512551,0.945886,0.0154351,2.21574,0.275949,
38,1.79766,5.19824,0.962961,0.760995,0.0518924,0.945905,0.0154387,2.21569,0.279761,
39,1.79752,5.19823,0.963816,0.76106,0.0517879,0.945905,0.0154322,2.21568,0.27907,
40,1.79748,5.19828,0.963169,0.761091,0.0520511,0.945904,0.0154835,2.21575,0.279598,
41,1.79753,5.19827,0.962895,0.76117,0.0518281,0.945904,0.015504,2.21575,0.279816,
42,1.79775,5.19831,0.959488,0.761007,0.0519455,0.94591,0.0156637,2.21586,0.28316,
43,1.79776,5.19832,0.959706,0.760914,0.0520036,0.945911,0.0156685,2.21588,0.282432,
44,1.79875,5.19821,0.954604,0.760978,0.0525443,0.945926,0.0156282,2.21578,0.286559,
45,1.79719,5.19832,0.964829,0.760994,0.0517458,0.945898,0.0155108,2.21581,0.278127,
46,1.79796,5.19823,0.959484,0.761061,0.0521968,0.945917,0.0155519,2.21577,0.282779,
47,1.7972,5.19837,0.963579,0.761065,0.0518036,0.945898,0.015605,2.21588,0.279256,
48,1.79776,5.1983,0.960144,0.761032,0.0520437,0.945909,0.0156113,2.21584,0.282244,
49,1.79848,5.19834,0.953142,0.761004,0.0525996,0.945923,0.0158392,2.21598,0.288071,
