Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.motion_ratio_heave_l,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
0,1.52215,0.00122472,0.302544,0.682985,0.0940325,20.2447,23.8492,3.926,0.432451,
1,1.52216,0.00115419,0.302553,0.682981,0.0940276,20.2447,23.8492,3.926,0.432522,
2,1.52215,0.00118432,0.302585,0.682975,0.0940227,20.2447,23.8492,3.926,0.432487,
3,1.52217,0.00138896,0.302587,0.682982,0.0940154,20.2448,23.8492,3.926,0.432289,
4,1.52214,0.00128005,0.302546,0.683014,0.0940386,20.2448,23.8492,3.926,0.432397,
5,1.52217,0.00123247,0.302605,0.682983,0.0940049,20.2447,23.8492,3.926,0.432444,
6,1.52216,0.00129012,0.302601,0.682979,0.0940159,20.2448,23.8492,3.926,0.432383,
7,1.52215,0.00117663,0.302582,0.682984,0.094034,20.2447,23.8492,3.926,0.432498,
8,1.52217,0.00119404,0.302563,0.683008,0.094029,20.2448,23.8492,3.92599,0.432478,
9,1.52216,0.00123518,0.302615,0.682986,0.0940054,20.2447,23.8492,3.926,0.432441,
10,1.52216,0.00134418,0.30259,0.682982,0.0940251,20.2448,23.8492,3.926,0.432333,
11,1.52216,0.00132913,0.302622,0.682965,0.0940151,20.2447,23.8492,3.926,0.432348,
12,1.52215,0.00123858,0.30259,0.682986,0.0940284,20.2448,23.8492,3.926,0.432437,
13,1.52215,0.00123661,0.302564,0.683006,0.0940389,20.2448,23.8492,3.926,0.43244,
14,1.52216,0.00122702,0.302616,0.682964,0.0940185,20.2448,23.8492,3.926,0.432447,
15,1.52215,0.00134989,0.302571,0.682994,0.0940392,20.2448,23.8492,3.926,0.432328,
16,1.52215,0.00117786,0.302607,0.682982,0.0940212,20.2448,23.8492,3.926,0.432497,
17,1.52216,0.00119745,0.302565,0.683013,0.0940338,20.2448,23.8492,3.926,0.432477,
18,1.52216,0.00123358,0.302642,0.682973,0.094002,20.2447,23.8492,3.926,0.432442,
19,1.52216,0.00114055,0.302595,0.682996,0.0940195,20.2447,23.8492,3.926,0.432533,
20,1.52215,0.00131495,0.30259,0.683002,0.0940252,20.2448,23.8492,3.926,0.432362,
21,1.52215,0.00131162,0.302586,0.683007,0.0940237,20.2448,23.8492,3.926,0.432365,
22,1.52215,0.00123569,0.302584,0.683016,0.0940205,20.2448,23.8492,3.926,0.432439,
23,1.52216,0.00121359,0.302599,0.68301,0.0940134,20.2447,23.8492,3.926,0.432462,
24,1.52215,0.00118743,0.3026,0.683022,0.0940105,20.2448,23.8492,3.926,0.432481,
25,1.52216,0.00125644,0.302604,0.683006,0.094017,20.2448,23.8492,3.926,0.432419,
26,1.52216,0.001354,0.30263,0.682979,0.0940126,20.2448,23.8492,3.926,0.432325,
27,1.52215,0.00136879,0.302607,0.683015,0.0940161,20.2447,23.8492,3.926,0.432311,
28,1.52215,0.00109869,0.302637,0.683013,0.0939841,20.2448,23.8492,3.926,0.432572,
29,1.52216,0.00119988,0.302609,0.683007,0.0940174,20.2448,23.8492,3.926,0.432475,
30,1.52217,0.00138829,0.302601,0.682999,0.0940182,20.2448,23.8492,3.926,0.432289,
31,1.52217,0.00138927,0.302574,0.683005,0.0940426,20.2447,23.8492,3.926,0.432289,
32,1.52215,0.00149389,0.302563,0.682972,0.0940351,20.2448,23.8492,3.926,0.432191,
33,1.52216,0.00123548,0.302589,0.682986,0.0940372,20.2448,23.8492,3.926,0.43244,
34,33.3727,3.55052,1032.46,43.6616,1030,9.49647,59.9468,8.83515,16.2697,
35,1.52217,0.00121372,0.302579,0.682975,0.0940186,20.2448,23.8492,3.926,0.43246,
36,1.52216,0.0012151,0.302594,0.682991,0.0940142,20.2448,23.8492,3.926,0.43246,
37,1.52216,0.00139101,0.302563,0.682992,0.094034,20.2448,23.8492,3.926,0.432288,
38,1.52217,0.00122842,0.302589,0.682973,0.0940028,20.2447,23.8492,3.926,0.432446,
39,1.52216,0.00128708,0.30262,0.682962,0.0940066,20.2448,23.8492,3.926,0.432389,
40,1.52217,0.0011801,0.302556,0.682964,0.0940197,20.2447,23.8492,3.926,0.432492,
41,1.52218,0.00139101,0.302587,0.682981,0.0940127,20.2448,23.8492,3.92599,0.432285,
42,1.52216,0.00137493,0.302595,0.682981,0.0940101,20.2447,23.8492,3.926,0.432304,
43,1.52217,0.00122748,0.302587,0.683012,0.0940329,20.2447,23.8492,3.926,0.432447,
44,1.52217,0.00138697,0.302567,0.682983,0.0940474,20.2448,23.8492,3.926,0.432291,
45,1.52216,0.00116475,0.302634,0.682958,0.0940082,20.2447,23.8492,3.926,0.432507,
46,1.52216,0.00138991,0.302591,0.68301,0.0940393,20.2447,23.8492,3.926,0.43229,
47,1.52216,0.0011377,0.302575,0.682997,0.0940257,20.2447,23.8492,3.926,0.432536,
48,1.52215,0.00119463,0.302596,0.683006,0.0940334,20.2447,23.8492,3.926,0.432481,
49,1.52215,0.00120248,0.302619,0.682985,0.0940193,20.2448,23.8492,3.926,0.432471,
