Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.motion_ratio_heave_l,Roll.front.camber_angle_gain_roll_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
0,2.33027,1.09316,0.00910939,0.997231,11.4102,29.8484,0.000813632,3.21165,0.30633,
1,2.33025,1.09316,0.00911226,0.997236,11.4102,29.8484,0.000810948,3.21167,0.306312,
2,2.33027,1.09315,0.00909946,0.997237,11.4102,29.8484,0.000822743,3.21165,0.306341,
3,2.33027,1.09315,0.00909639,0.997236,11.4102,29.8484,0.000826361,3.21164,0.306335,
4,2.33027,1.09316,0.00909347,0.997233,11.4102,29.8484,0.000826831,3.21163,0.306345,
5,2.33027,1.09317,0.00906991,0.997232,11.4102,29.8484,0.000852331,3.21163,0.306331,
6,2.33026,1.09315,0.00911533,0.997238,11.4102,29.8484,0.000805883,3.21166,0.306325,
7,2.33027,1.09315,0.00910266,0.997238,11.4102,29.8484,0.000818981,3.21165,0.306331,
8,2.33026,1.09315,0.0091248,0.997236,11.4102,29.8484,0.000798778,3.21166,0.306328,
9,2.33025,1.09317,0.00916046,0.997236,11.4102,29.8484,0.000764055,3.21167,0.306304,
10,2.33028,1.09317,0.00904398,0.997233,11.4102,29.8484,0.000881435,3.21163,0.306341,
11,2.33027,1.09317,0.0090803,0.997237,11.4102,29.8484,0.000842587,3.21164,0.306334,
12,2.33026,1.09318,0.00912976,0.997239,11.4102,29.8484,0.000794142,3.21166,0.306307,
13,2.33027,1.09314,0.00911738,0.997237,11.4102,29.8484,0.000801645,3.21164,0.306349,
14,2.33026,1.09316,0.00912536,0.997236,11.4102,29.8484,0.000796708,3.21166,0.306325,
15,2.33025,1.09316,0.00914426,0.997235,11.4102,29.8484,0.000781414,3.21167,0.306315,
16,2.33027,1.09316,0.00905992,0.997236,11.4102,29.8484,0.00086471,3.21163,0.306343,
17,2.33028,1.09314,0.00908598,0.997235,11.4102,29.8484,0.000836572,3.21164,0.306352,
18,2.33026,1.09316,0.00912712,0.997239,11.4102,29.8484,0.000795657,3.21166,0.306313,
19,2.33027,1.09316,0.00908617,0.997235,11.4102,29.8484,0.000833375,3.21164,0.306334,
20,2.33027,1.09315,0.00909096,0.99724,11.4102,29.8484,0.000826522,3.21164,0.306346,
21,2.33026,1.09315,0.00910838,0.997238,11.4102,29.8484,0.000810685,3.21166,0.30633,
22,2.33026,1.09317,0.00910506,0.997239,11.4102,29.8484,0.000813696,3.21165,0.306319,
23,2.33026,1.09316,0.00913407,0.997239,11.4102,29.8484,0.000795011,3.21166,0.306318,
24,2.33027,1.09316,0.00906331,0.997238,11.4102,29.8484,0.000860919,3.21163,0.306343,
25,2.33026,1.09316,0.00909003,0.997233,11.4102,29.8484,0.000829855,3.21166,0.306323,
26,2.33027,1.09317,0.00908681,0.997239,11.4102,29.8484,0.000834326,3.21164,0.30633,
27,2.33027,1.09316,0.00910822,0.997239,11.4102,29.8484,0.000810205,3.21163,0.306344,
28,2.33026,1.09315,0.00913104,0.997237,11.4102,29.8484,0.000792521,3.21166,0.306334,
29,2.33026,1.09316,0.00912558,0.997239,11.4102,29.8484,0.000798098,3.21166,0.306328,
30,38.905,7.29614,960.086,32.5322,83.3646,8.7441,957.741,2.28335,10.8642,
31,2.33027,1.09314,0.00910135,0.997235,11.4102,29.8484,0.000822281,3.21164,0.306348,
32,2.33025,1.09317,0.00919265,0.997234,11.4102,29.8484,0.000734906,3.21167,0.306304,
33,2.33028,1.09317,0.00906108,0.997234,11.4102,29.8484,0.000860923,3.21163,0.306339,
34,3.07859,8.22695,45.098,18.537,40.281,79.3558,44.2863,1.08823,11.9116,
35,2.33026,1.09314,0.00910745,0.997237,11.4102,29.8484,0.00081507,3.21166,0.306338,
36,2.33026,1.09315,0.00913635,0.997236,11.4102,29.8484,0.000785881,3.21166,0.30633,
37,2.33026,1.09316,0.00912741,0.997239,11.4102,29.8484,0.000795778,3.21166,0.306322,
38,2.33027,1.09315,0.00908308,0.997236,11.4102,29.8484,0.000840873,3.21164,0.30634,
39,2.33027,1.09315,0.0091053,0.997232,11.4102,29.8484,0.000817276,3.21165,0.306341,
40,2.33027,1.09314,0.00909195,0.997235,11.4102,29.8484,0.000830729,3.21164,0.306348,
41,2.33027,1.09314,0.00910123,0.997238,11.4102,29.8484,0.000820579,3.21165,0.306349,
42,2.33027,1.09316,0.00910561,0.997229,11.4102,29.8484,0.000812788,3.21164,0.306346,
43,2.33025,1.09317,0.00916102,0.997234,11.4102,29.8484,0.00076168,3.21167,0.306312,
44,2.33027,1.09316,0.00907976,0.997235,11.4102,29.8484,0.000840847,3.21163,0.306339,
45,2.33026,1.09315,0.00915139,0.997234,11.4102,29.8484,0.000772641,3.21166,0.306326,
46,2.33027,1.09316,0.00907501,0.997235,11.4102,29.8484,0.000847675,3.21163,0.30634,
47,2.33027,1.09317,0.00905164,0.997235,11.4102,29.8484,0.000870356,3.21163,0.306336,
48,2.33028,1.09315,0.00908475,0.997236,11.4102,29.8484,0.000836811,3.21163,0.306351,
49,10.5357,9.08321,12.1411,79.8478,43.609,81.9316,5.8404,1.40876,61.7635,
