Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_gain_roll_l,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
0,1.19331,1.16026,1.11568,0.244554,0.0752865,34.9256,35.2201,4.3673,0.262291,
1,1.19331,1.16026,1.11569,0.244551,0.0752904,34.9256,35.2201,4.3673,0.262286,
2,1.19331,1.16026,1.11568,0.244552,0.0752891,34.9256,35.2201,4.3673,0.262301,
3,1.19331,1.16025,1.11569,0.244554,0.0752888,34.9256,35.2201,4.3673,0.262297,
4,1.19331,1.16025,1.11569,0.244552,0.0752878,34.9256,35.2201,4.3673,0.262298,
5,1.19331,1.16026,1.11569,0.244555,0.0752887,34.9256,35.2201,4.3673,0.262297,
6,1.19331,1.16025,1.1157,0.244553,0.07529,34.9256,35.2201,4.3673,0.262289,
7,1.19331,1.16026,1.11569,0.244552,0.0752884,34.9256,35.2201,4.3673,0.262303,
8,1.19331,1.16025,1.11569,0.244554,0.0752887,34.9256,35.2201,4.3673,0.262302,
9,1.1933,1.16025,1.11569,0.244555,0.07529,34.9256,35.2201,4.36731,0.262309,
10,1.1933,1.16025,1.1157,0.244554,0.075289,34.9256,35.2201,4.36731,0.262295,
11,1.1933,1.16026,1.11569,0.244556,0.075293,34.9256,35.2201,4.36731,0.262306,
12,1.1933,1.16025,1.11569,0.244554,0.075288,34.9256,35.2201,4.36731,0.262312,
13,1.19331,1.16026,1.11569,0.244558,0.0752911,34.9256,35.2201,4.3673,0.262301,
14,1.19331,1.16026,1.1157,0.244554,0.0752895,34.9256,35.2201,4.36731,0.262297,
15,1.1933,1.16026,1.11569,0.244557,0.0752929,34.9256,35.2201,4.36731,0.262299,
16,1.1933,1.16025,1.1157,0.244555,0.0752936,34.9256,35.2201,4.36731,0.262307,
17,1.19331,1.16025,1.11569,0.244554,0.0752916,34.9256,35.2201,4.36731,0.262307,
18,1.19331,1.16026,1.11569,0.24456,0.0752916,34.9256,35.2201,4.3673,0.262294,
19,1.19331,1.16025,1.11569,0.244555,0.0752926,34.9256,35.2201,4.3673,0.262308,
20,1.19331,1.16025,1.1157,0.244553,0.0752885,34.9256,35.2201,4.3673,0.26231,
21,1.19331,1.16025,1.11569,0.244556,0.0752885,34.9256,35.2201,4.3673,0.262312,
22,1.19331,1.16026,1.1157,0.244562,0.0752895,34.9256,35.2201,4.3673,0.262293,
23,1.19331,1.16025,1.1157,0.244555,0.0752919,34.9256,35.2201,4.3673,0.262307,
24,1.19331,1.16025,1.11569,0.244557,0.0752909,34.9256,35.2201,4.36731,0.262315,
25,1.19331,1.16026,1.11571,0.244555,0.07529,34.9256,35.2201,4.3673,0.262287,
26,1.19331,1.16026,1.1157,0.244557,0.0752903,34.9256,35.2201,4.3673,0.262302,
27,1.19331,1.16025,1.11569,0.24456,0.0752937,34.9256,35.2201,4.3673,0.262301,
28,1.19331,1.16026,1.11571,0.244559,0.0752882,34.9256,35.2201,4.3673,0.262289,
29,1.19331,1.16026,1.1157,0.244553,0.0752884,34.9256,35.2201,4.3673,0.2623,
30,37.9733,6.97688,160.147,10.3196,9.86304,47.4084,237.134,2.77975,72.2845,
31,129.736,13.7185,124.185,34.9832,35.0253,100.197,26.7468,4.29207,0.535153,
32,1.19331,1.16026,1.11568,0.244554,0.0752904,34.9256,35.2201,4.3673,0.262301,
33,1.19331,1.16025,1.11569,0.244555,0.0752885,34.9256,35.2201,4.3673,0.262315,
34,1.1933,1.16025,1.11569,0.244554,0.0752892,34.9256,35.2201,4.36731,0.262292,
35,1.19331,1.16025,1.11569,0.244555,0.0752887,34.9256,35.2201,4.3673,0.262297,
36,1.19331,1.16025,1.11569,0.244551,0.0752895,34.9256,35.2201,4.3673,0.262305,
37,1.19331,1.16026,1.1157,0.244552,0.0752889,34.9256,35.2201,4.3673,0.2623,
38,1.19331,1.16026,1.1157,0.244554,0.0752903,34.9256,35.2201,4.3673,0.262296,
39,1.19331,1.16025,1.1157,0.244555,0.0752909,34.9256,35.2201,4.36731,0.262289,
40,1.1933,1.16025,1.1157,0.244554,0.0752901,34.9256,35.2201,4.36731,0.262314,
41,1.19331,1.16026,1.11569,0.244554,0.0752869,34.9256,35.2201,4.3673,0.262301,
42,1.19331,1.16026,1.11569,0.244553,0.0752885,34.9256,35.2201,4.3673,0.262301,
43,1.1933,1.16025,1.11569,0.244553,0.0752896,34.9256,35.2201,4.36731,0.262309,
44,1.19331,1.16024,1.1157,0.244558,0.0752881,34.9256,35.2201,4.3673,0.262307,
45,1.19331,1.16026,1.11569,0.244555,0.0752886,34.9256,35.2201,4.3673,0.262297,
46,1.19331,1.16025,1.11568,0.244553,0.0752899,34.9256,35.2201,4.3673,0.262298,
47,1.1933,1.16025,1.11568,0.244554,0.0752914,34.9256,35.2201,4.36731,0.26231,
48,1.1933,1.16025,1.11568,0.244554,0.0752882,34.9256,35.2201,4.36731,0.262307,
49,33.3377,7.51426,136.369,6.66251,6.66026,109.378,24.6496,3.73579,110.133,
