Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_gain_roll_l,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
0,2.02549,0.273597,3.96543,0.00942775,3.5425,0.000804491,30.6249,3.01397,0.436587,
1,2.02549,0.273598,3.96542,0.00942203,3.54249,0.000809566,30.6249,3.01397,0.436587,
2,2.02549,0.273596,3.96542,0.00942155,3.54249,0.000810033,30.6249,3.01396,0.436591,
3,2.02549,0.273598,3.96543,0.00942284,3.54249,0.000808743,30.6249,3.01397,0.436587,
4,2.02549,0.273595,3.96543,0.00942704,3.5425,0.000805022,30.6249,3.01397,0.436588,
5,2.02549,0.273596,3.96543,0.00942554,3.54249,0.000806196,30.6249,3.01397,0.436588,
6,2.02549,0.273598,3.96543,0.00942592,3.54249,0.000805849,30.6249,3.01397,0.436586,
7,2.02549,0.273599,3.96542,0.00941742,3.54249,0.000813653,30.6249,3.01396,0.436589,
8,2.02549,0.273596,3.96543,0.00942199,3.54249,0.00080952,30.6249,3.01397,0.43659,
9,2.02549,0.273597,3.96543,0.00942147,3.54249,0.000810098,30.6249,3.01397,0.436589,
10,2.02549,0.273597,3.96543,0.0094229,3.54249,0.00080872,30.6249,3.01397,0.436589,
11,2.02549,0.273595,3.96543,0.00942371,3.54249,0.000807873,30.6249,3.01397,0.43659,
12,2.02549,0.273598,3.96543,0.00942347,3.54249,0.000808186,30.6249,3.01397,0.436587,
13,2.02549,0.273597,3.96543,0.00942216,3.54249,0.000809345,30.6249,3.01397,0.436588,
14,2.02549,0.273596,3.96543,0.00942132,3.54249,0.000810186,30.6249,3.01397,0.43659,
15,2.02549,0.273598,3.96543,0.0094225,3.54249,0.000809105,30.6249,3.01397,0.436587,
16,2.02549,0.273597,3.96543,0.00942712,3.54249,0.00080501,30.6249,3.01397,0.436588,
17,2.02549,0.273597,3.96543,0.00942348,3.54249,0.000808209,30.6249,3.01397,0.436588,
18,2.02549,0.273595,3.96543,0.0094267,3.54249,0.00080525,30.6249,3.01397,0.43659,
19,2.02549,0.273597,3.96543,0.00942185,3.54249,0.000809665,30.6249,3.01397,0.436589,
20,2.02549,0.273599,3.96543,0.00942073,3.54249,0.000810683,30.6249,3.01397,0.436586,
21,2.02549,0.273597,3.96543,0.00942002,3.54249,0.000811304,30.6249,3.01396,0.43659,
22,2.02549,0.273597,3.96543,0.00942259,3.54249,0.000808593,30.6249,3.01397,0.436588,
23,2.02549,0.273597,3.96543,0.00942237,3.54249,0.00080916,30.6249,3.01397,0.436588,
24,2.02549,0.273596,3.96543,0.00941766,3.54249,0.000813658,30.6249,3.01396,0.436591,
25,2.02549,0.2736,3.96543,0.00942062,3.54249,0.000810585,30.6249,3.01396,0.436587,
26,2.02549,0.273599,3.96543,0.0094204,3.54249,0.000810884,30.6249,3.01397,0.436586,
27,2.02549,0.273598,3.96543,0.00942274,3.54249,0.000808701,30.6249,3.01396,0.436588,
28,2.02549,0.273599,3.96543,0.00942648,3.54249,0.000805268,30.6249,3.01397,0.436587,
29,2.02549,0.273598,3.96543,0.00942349,3.54249,0.000808103,30.6249,3.01396,0.436589,
30,2.02549,0.273597,3.96543,0.00942608,3.54249,0.000805811,30.6249,3.01397,0.436589,
31,2.02549,0.273599,3.96543,0.00942178,3.54249,0.000809774,30.6249,3.01397,0.436587,
32,2.02549,0.273598,3.96543,0.00941992,3.54249,0.000811403,30.6249,3.01396,0.436589,
33,2.02549,0.2736,3.96543,0.00941854,3.54249,0.000812667,30.6249,3.01396,0.436587,
34,2.02549,0.273597,3.96543,0.00941925,3.54249,0.000812155,30.6249,3.01396,0.436589,
35,2.02549,0.273596,3.96543,0.00942214,3.54249,0.000809365,30.6249,3.01397,0.43659,
36,2.02549,0.273597,3.96543,0.00942106,3.54249,0.000810273,30.6249,3.01397,0.436588,
37,2.02549,0.273603,3.96543,0.00942396,3.54249,0.000807581,30.6249,3.01397,0.436583,
38,2.02549,0.273597,3.96543,0.00942291,3.54249,0.000808805,30.6249,3.01397,0.436589,
39,2.02549,0.273599,3.96543,0.00941804,3.54249,0.000812985,30.6249,3.01396,0.436587,
40,2.02549,0.273596,3.96543,0.00941969,3.54249,0.000811589,30.6249,3.01396,0.436591,
41,2.02549,0.273598,3.96543,0.00941875,3.54249,0.000812283,30.6249,3.01396,0.43659,
42,2.02549,0.273597,3.96543,0.00941665,3.54249,0.000814551,30.6249,3.01396,0.43659,
43,2.02549,0.273598,3.96543,0.00942257,3.54249,0.000809106,30.6249,3.01397,0.436588,
44,2.02549,0.273597,3.96543,0.00942361,3.54249,0.000807596,30.6249,3.01396,0.43659,
45,2.02549,0.273597,3.96543,0.00942255,3.54249,0.000808978,30.6249,3.01397,0.436588,
46,2.02549,0.273596,3.96543,0.0094234,3.54249,0.000807982,30.6249,3.01397,0.43659,
47,2.02549,0.273597,3.96543,0.00942034,3.54249,0.000810639,30.6249,3.01396,0.436589,
48,2.02549,0.273599,3.96543,0.00941675,3.54249,0.000814331,30.6249,3.01396,0.436589,
49,2.02549,0.273597,3.96543,0.00942432,3.54249,0.000806953,30.6249,3.01397,0.436589,
50,2.02549,0.273597,3.96543,0.00941954,3.54249,0.000812057,30.6249,3.01396,0.43659,
51,2.02549,0.273597,3.96543,0.00941696,3.54249,0.000814253,30.6249,3.01396,0.436591,
52,2.02549,0.273596,3.96543,0.0094257,3.54249,0.000805778,30.6249,3.01397,0.436589,
53,2.02549,0.273597,3.96543,0.0094228,3.54249,0.000808941,30.6249,3.01397,0.436589,
54,2.02549,0.273597,3.96543,0.00941844,3.54249,0.000812769,30.6249,3.01396,0.436591,
55,2.02549,0.273594,3.96543,0.00942131,3.54249,0.000810285,30.6249,3.01396,0.436593,
56,2.02549,0.273597,3.96543,0.00941876,3.54249,0.000812388,30.6249,3.01396,0.43659,
57,2.02549,0.273596,3.96543,0.00942153,3.54249,0.000810008,30.6249,3.01397,0.436589,
58,2.02549,0.273597,3.96543,0.00941808,3.54249,0.000813049,30.6249,3.01396,0.436589,
59,2.02549,0.273598,3.96543,0.0094185,3.54249,0.000812457,30.6249,3.01396,0.43659,
60,2.02549,0.273595,3.96543,0.00941964,3.54249,0.000811747,30.6249,3.01396,0.436591,
61,2.02549,0.273598,3.96543,0.00942085,3.54249,0.000810378,30.6249,3.01397,0.436588,
62,2.02549,0.273599,3.96543,0.00941608,3.54249,0.000814822,30.6249,3.01396,0.436588,
63,2.02549,0.273604,3.96543,0.00942213,3.54249,0.000809337,30.6249,3.01397,0.436582,
64,2.02549,0.273595,3.96543,0.00941656,3.54249,0.000814278,30.6249,3.01396,0.436594,
65,2.02549,0.273598,3.96543,0.0094253,3.54249,0.000806197,30.6249,3.01397,0.436588,
66,2.02549,0.273597,3.96543,0.00942103,3.54249,0.000810467,30.6249,3.01396,0.43659,
67,2.02549,0.273596,3.96543,0.00942491,3.54249,0.000806876,30.6249,3.01397,0.43659,
68,2.02549,0.273596,3.96543,0.0094206,3.54249,0.000810747,30.6249,3.01397,0.436591,
69,2.02549,0.273599,3.96543,0.00941167,3.54249,0.000818977,30.6249,3.01396,0.436591,
70,2.02549,0.273595,3.96543,0.00942194,3.54249,0.000809562,30.6249,3.01397,0.436591,
71,2.02549,0.273596,3.96543,0.00941886,3.54249,0.000812269,30.6249,3.01396,0.436591,
72,2.02549,0.273597,3.96543,0.00941935,3.54249,0.000811809,30.6249,3.01396,0.436589,
73,2.02549,0.273596,3.96542,0.00941316,3.54249,0.000817516,30.6249,3.01396,0.436593,
74,2.02549,0.273598,3.96543,0.00941733,3.54249,0.000813757,30.6249,3.01396,0.436589,
75,2.02549,0.273598,3.96543,0.0094163,3.54249,0.000814624,30.6249,3.01396,0.43659,
76,2.02549,0.273598,3.96543,0.0094184,3.54249,0.000812861,30.6249,3.01396,0.43659,
77,2.02549,0.273597,3.96543,0.00941634,3.54249,0.000814686,30.6249,3.01396,0.43659,
78,2.02549,0.273598,3.96543,0.0094132,3.54249,0.000817504,30.6249,3.01396,0.436591,
79,2.02549,0.273601,3.96543,0.0094159,3.54249,0.000814855,30.6249,3.01396,0.436586,
80,2.02549,0.273598,3.96543,0.00942295,3.54249,0.000808585,30.6249,3.01397,0.436588,
81,66.4005,5.55519,118.274,1647.15,20.0988,1612.05,22.2166,1.62147,22.306,
82,2.02549,0.273594,3.96543,0.0094225,3.54249,0.000809113,30.6249,3.01397,0.436591,
83,2.02549,0.273599,3.96543,0.00942585,3.54249,0.000806075,30.6249,3.01397,0.436585,
84,2.02549,0.273596,3.96543,0.00942228,3.54249,0.0008093,30.6249,3.01397,0.436589,
85,2.02549,0.273596,3.96543,0.0094194,3.54249,0.000811869,30.6249,3.01396,0.436591,
